"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","var_ctrl","var_trt","nb1_ctrl","nb1_trt","nb2_ctrl","nb2_trt","alpha_mu_ctrl","alpha_mu_trt","log_var_ctrl","log_var_trt","log_nb1_ctrl","log_nb1_trt","log_nb2_ctrl","log_nb2_trt","log_alpha_mu_ctrl","log_alpha_mu_trt","gene_symbol"
"20",0.00344609009844564,0.00607135809635737,16479,8989,1.4,2.2,3.8,24.2,1.4,2.2,2.4,22,1.71428571428571,10,1.56861591791385,3.22684399451738,0.8754687373539,1.16315080980568,1.22377543162212,3.13549421592915,0.538996500732687,2.30258509299405,"-"
"25",0.00491974724186247,0.00346903366113377,12014,19414,8,20.8,35.5,151.7,8,20.8,27.5,130.9,3.4375,6.29326923076923,3.59731226058845,5.02847521222459,2.19722457733622,3.08190996979504,3.3499040872746,4.88204405972327,1.23474446299269,1.83948068620858,"-"
"31",0.00424592428329568,0.00154019095991372,13940,26911,26.6,24.6,186.3,97.3,26.6,24.6,159.7,72.7,6.00375939849624,2.95528455284553,5.23271160945004,4.58802402715312,3.3178157727231,3.24259235148552,5.07953927274347,4.30000279919529,1.79238583943331,1.08359494160116,"Pcmt1"
"35",0.00364962387515268,0.00230387404305889,15822,24487,151.6,142.2,2563.3,4092.2,151.6,142.2,2411.7,3950,15.9083113456464,27.7777777777778,7.84944081587623,8.3170823392126,5.02782011885036,4.96424225452655,7.7885017313314,8.28172399041139,2.76684169879375,3.32423634052603,"Pcmt1"
"37",0.00246183477260198,0.00670200337891512,20532,7441,156.2,120.2,2298.7,6875.7,156.2,120.2,2142.5,6755.5,13.7163892445583,56.2021630615641,7.74053395862728,8.83589416469518,5.05751887999511,4.79744207363521,7.67019528603803,8.81826028347814,2.61859141306635,4.02895524479891,"Pcmt1"
"38",0.00085335077549729,0.00553647623387631,27325,10630,58.6,49.6,264.8,776.3,58.6,49.6,206.2,726.7,3.51877133105802,14.6512096774194,5.58274414627915,6.65582637623617,4.0876555740713,3.92395157629342,5.33368451038533,6.58988887535304,1.25811187499989,2.68452290389171,"Pcmt1"
"89",0.00190049897640163,0.00369838201726606,22909,18143,55,57.6,435.5,722.8,55,57.6,380.5,665.2,6.91818181818182,11.5486111111111,6.07878837527966,6.58451511112964,4.02535169073515,4.07073469658297,5.94411085072451,6.50158992575958,1.93415299206927,2.44656517961693,"Tab2"
"90",0.00372977843036486,0.00536542830643088,15526,11244,28.8,17.2,209.7,132.7,28.8,17.2,180.9,115.5,6.28125,6.71511627906977,5.35043532081014,4.8955984841079,3.39450839351136,2.90142159408275,5.20345708552408,4.75789127300575,1.83756900525935,1.90436114614244,"Tab2"
"143",0.00924311322590416,0.00355430008808206,3272,19053,26.8,18,442.2,98.5,26.8,18,415.4,80.5,15.5,4.47222222222222,6.09402113543307,4.60015764416455,3.32503602069659,2.94443897916644,6.03164633674081,4.40060302024682,2.7408400239252,1.49788542652835,"Ust"
"214",0.00315405358096654,3.85353860451597e-05,17564,30817,4.6,2.8,2.8,10.7,4.6,2.8,0,7.9,-0.391304347826087,2.82142857142857,1.33500106673234,2.45958884180371,1.7227665977411,1.33500106673234,0,2.18605127673809,NA,1.03724334229182,"LOC365036"
"224",0.00316117090313224,0.00579023409436586,17537,9828,53.6,55.8,582.3,1285.2,53.6,55.8,528.7,1229.4,9.86380597014925,22.0322580645161,6.36870163375959,7.15944741370076,4.00003388275086,4.03953632572711,6.27231080855048,7.11509459875138,2.28887209516465,3.09250765508564,"Sash1"
"304",0.00361293030760234,0.00122356754503924,15961,27788,4.4,1.2,26.3,2.7,4.4,1.2,21.9,1.5,4.97727272727273,1.25,3.30688670219091,1.30833281965018,1.68639895357023,0.78845736036427,3.13113691056019,0.916290731874155,1.60488209589824,0.22314355131421,"Sash1"
"576",0.00991094458885613,0.00642159733351341,2544,8064,3,4.8,27,23.7,3,4.8,24,18.9,8,3.9375,3.3322045101752,3.20680324363393,1.38629436111989,1.75785791755237,3.2188758248682,2.99071973173045,2.07944154167984,1.37054600415175,"-"
"615",0.00721007424107706,0.0030819404151006,6645,21418,6.8,1.6,37.2,5.3,6.8,1.6,30.4,3.7,4.47058823529412,2.3125,3.64283551561253,1.84054963339749,2.05412373369555,0.955511445027436,3.44680789291421,1.54756250871601,1.49751999623012,0.838329190404443,"-"
"672",0.00387265758854531,0,15070,30904,1.4,0,9.8,0,1.4,0,8.4,0,6,NA,2.37954613413017,0,0.8754687373539,0,2.24070968927596,0,1.79175946922806,NA,"-"
"673",0.00227368426027923,0.0112215929391751,21338,1099,3.6,3.6,15.3,26.3,3.6,3.6,11.7,22.7,3.25,6.30555555555556,2.79116510781272,3.30688670219091,1.52605630349505,1.52605630349505,2.54160199346455,3.16547504814109,1.17865499634165,1.84143107902529,"-"
"708",0.00643015211835378,0.0109762710413492,8266,1283,5.2,5.8,15.2,34.2,5.2,5.8,10,28.4,1.92307692307692,4.89655172413793,2.78501124223834,3.56104608260405,1.82454929205105,1.91692261218206,2.39789527279837,3.38099467434464,0.653926467406664,1.58853122761479,"-"
"774",0.00527291295783332,0.00187447947335643,11029,25942,12.6,4.6,52.3,26.3,12.6,4.6,39.7,21.7,3.15079365079365,4.71739130434783,3.9759363311718,3.30688670219091,2.61006979274201,1.7227665977411,3.70622809244855,3.12236492448736,1.14765437373571,1.55125595705136,"-"
"829",0.00532136361164616,0.0111275355975841,10881,1162,4.2,5.4,22.7,34.8,4.2,5.4,18.5,29.4,4.4047619047619,5.44444444444444,3.16547504814109,3.57794789340665,1.64865862558738,1.85629799036563,2.9704144655697,3.41444260841218,1.48268620679496,1.69459572077441,"-"
"833",0.0134553887761366,0.00440404666926444,527,14912,6.2,3.6,55.2,11.3,6.2,3.6,49,7.7,7.90322580645161,2.13888888888889,4.02891675689965,2.50959926237837,1.97408102602201,1.52605630349505,3.91202300542815,2.16332302566054,2.06727100605958,0.760286483397574,"Stxbp5"
"842",0.00147175627011369,0.00519907413912538,24886,11795,42.6,28.2,196.3,421.7,42.6,28.2,153.7,393.5,3.60798122065728,13.9539007092199,5.28472541302857,6.04666270757274,3.77505715035499,3.37416870927424,5.04148775757902,5.97761914028593,1.28314839726923,2.63575908991339,"Stxbp5"
"845",0.00709322287344923,0.00482894213098395,6854,13148,4.2,6.6,33.2,23.8,4.2,6.6,29,17.2,6.90476190476191,2.60606060606061,3.53222564406856,3.21084365317094,1.64865862558738,2.02814824729229,3.40119738166216,2.90142159408275,1.93221130469715,0.957839734787028,"Stxbp5"
"926",0.00947660839965244,0,3010,30905,2.2,0,9.2,0,2.2,0,7,0,3.18181818181818,NA,2.32238772029023,0,1.16315080980568,0,2.07944154167984,0,1.15745278869104,NA,"-"
"964",0.00999279652599393,0.00393233037590515,2457,17077,3.4,0.8,27.8,3.2,3.4,0.8,24.4,2.4,7.1764705882353,3,3.3603753871419,1.43508452528932,1.48160454092422,0.587786664902119,3.23474917402449,1.22377543162212,1.97080770067704,1.09861228866811,"-"
"969",0.0118265478617953,0.0120113598428559,1121,705,4.6,4.4,20.8,38.3,4.6,4.4,16.2,33.9,3.52173913043478,7.70454545454545,3.08190996979504,3.67122451887522,1.7227665977411,1.68639895357023,2.84490938381941,3.55248682920838,1.25895493874329,2.04181047346219,"LOC120098778"
"984",0.00253102908337568,0.00345229838874281,20234,19468,15.6,14.8,84.8,38.7,15.6,14.8,69.2,23.9,4.43589743589744,1.61486486486486,4.45201900649392,3.68135118769314,2.8094026953625,2.76000994003292,4.25134831103177,3.21486780347066,1.48972994836813,0.479251278167396,"Grm1"
"986",0.00426208599745629,0.00382200008257425,13897,17621,4.6,3.4,26.3,6.3,4.6,3.4,21.7,2.9,4.71739130434783,0.852941176470588,3.30688670219091,1.98787434815435,1.7227665977411,1.48160454092422,3.12236492448736,1.3609765531356,1.55125595705136,-0.159064694629687,"Grm1"
"1106",0.00112590917394956,0.00173276016976727,26242,26379,10.8,5.4,61.2,14.8,10.8,5.4,50.4,9.4,4.66666666666667,1.74074074074074,4.13035499974513,2.76000994003292,2.46809953147162,1.85629799036563,3.93963817246112,2.34180580614733,1.54044504094715,0.55431073570573,"-"
"1110",0.00896130541804195,0,3639,30906,1.8,0,16.2,0,1.8,0,14.4,0,8,NA,2.84490938381941,0,1.02961941718116,0,2.73436750941958,0,2.07944154167984,NA,"Epm2a"
"1132",0.000361568548116539,0.00363274926050882,29269,18531,3.4,0.6,6.3,1.8,3.4,0.6,2.9,1.2,0.852941176470588,2,1.98787434815435,1.02961941718116,1.48160454092422,0.470003629245736,1.3609765531356,0.78845736036427,-0.159064694629687,0.693147180559946,"-"
"1137",0.00259996686951257,0.00129261775696933,19830,27581,71.8,66.8,517.7,295.7,71.8,66.8,445.9,228.9,6.21030640668524,3.42664670658683,6.25132568135736,5.69272152729678,4.28771595520264,4.21656219494635,6.10233485593941,5.43764443176914,1.82621023557925,1.23158214641592,"Utrn"
"1138",0.00491996790949658,0.00178380256131389,12008,26229,2.4,3.8,6.3,17.2,2.4,3.8,3.9,13.4,1.625,3.52631578947368,1.98787434815435,2.90142159408275,1.22377543162212,1.56861591791385,1.58923520511658,2.66722820658195,0.485507815781701,1.26025364022453,"Utrn"
"1272",0.00630565434849749,0.00941353680468229,8505,2749,2.8,3.6,6.7,36.8,2.8,3.6,3.9,33.2,1.39285714285714,9.22222222222222,2.04122032885964,3.63230910262554,1.33500106673234,1.52605630349505,1.58923520511658,3.53222564406856,0.331357135954443,2.22161603046038,"-"
"1282",0.00543522278854033,0.00542078913887945,10435,11053,11.6,8.4,128.8,26.3,11.6,8.4,117.2,17.9,10.1034482758621,2.13095238095238,4.86599480426999,3.30688670219091,2.53369681395743,2.24070968927596,4.772378104972,2.9391619220656,2.31287677903059,0.756569006997441,"Ltv1"
"1293",0.00124393792709646,0.0020300752527521,25786,25442,9.8,12.6,19.7,29.8,9.8,12.6,9.9,17.2,1.01020408163265,1.36507936507937,3.03013370027132,3.42751468997953,2.37954613413017,2.61006979274201,2.3887627892351,2.90142159408275,0.0101523714640177,0.311212569861975,"Phactr2"
"1295",0.000820537988610619,0.00882460193561871,27443,3486,16.8,20.4,88.2,340.3,16.8,20.4,71.4,319.9,4.25,15.6813725490196,4.49088103958596,5.83276185591266,2.87919845729804,3.06339092202781,4.28220629939167,5.77112954811581,1.44691898293633,2.7524735461053,"Phactr2"
"1345",0.0125581398587727,0.00954261775698657,800,2554,5,6.4,44,71.3,5,6.4,39,64.9,7.8,10.140625,3.80666248977032,4.28082412916472,1.79175946922805,2.00148000021012,3.68887945411394,4.18813844150846,2.05412373369555,2.31654963334442,"Pex3"
"1346",0.00130684531835155,0.00519476892107829,25554,11804,10,7.4,79,28.3,10,7.4,69,20.9,6.9,2.82432432432432,4.38202663467388,3.37758751602302,2.39789527279837,2.12823170584927,4.24849524204936,3.08648663682246,1.93152141160321,1.03826915876064,"Pex3"
"1367",0.000666509017571332,0.00456885636769563,28042,14241,261,239.8,1138.5,15942.2,261,239.8,877.5,15702.4,3.36206896551724,65.4812343619683,7.03834484868574,9.67678768501914,5.5683445037611,5.48396671343467,6.77821590762715,9.66163252840011,1.21255654801733,4.18176360330217,"Aig1"
"1369",0.0031415240468299,0.00938803591139428,17607,2802,17.6,13.6,150.8,126.3,17.6,13.6,133.2,112.7,7.56818181818182,8.28676470588235,5.02256386496153,4.84654650556336,2.92316158071916,2.68102152871429,4.89933122453758,4.73356340075649,2.02395285606218,2.11465962830372,"Aig1"
"1473",0.00862873129971912,0.00758834158843071,4113,5486,3,4.8,9,24.2,3,4.8,6,19.4,2,4.04166666666667,2.30258509299405,3.22684399451738,1.38629436111989,1.75785791755237,1.94591014905531,3.01553490085017,0.693147180559945,1.39665714815544,"Adgrg6"
"1501",0.0037258359175616,0.00860368826492265,15533,3818,25.6,21.4,238.8,295.3,25.6,21.4,213.2,273.9,8.328125,12.7990654205607,5.47980524259341,5.69137245457952,3.28091121578765,3.10906095886099,5.36691015801365,5.6164073951712,2.11963834080617,2.54937215424123,"Vta1"
"1540",0.00958045969322079,0.0081410874568655,2909,4521,31.6,59.4,1106.3,3019.3,31.6,59.4,1074.7,2959.9,34.0094936708861,49.8299663299663,7.00967989870406,8.01311144318359,3.48431228837266,4.10098910494077,6.98072689143796,7.99324855515709,3.52663971125424,3.90861653659504,"-"
"1576",0,0.00279697335541888,31017,22472,0,0.8,0,3.2,0,0.8,0,2.4,NA,3,0,1.43508452528932,0,0.587786664902119,0,1.22377543162212,NA,1.09861228866811,"-"
"1579",0.00375865713985816,0.00875406238585528,15442,3569,1.8,2.8,6.2,10.7,1.8,2.8,4.4,7.9,2.44444444444444,2.82142857142857,1.97408102602201,2.45958884180371,1.02961941718116,1.33500106673234,1.68639895357023,2.18605127673809,0.893817876022097,1.03724334229182,"-"
"1634",0.00223685630146293,0.00508612001770213,21497,12208,148.6,166.4,4149.3,9597.8,148.6,166.4,4000.7,9431.4,26.9226110363392,56.6790865384615,8.33093589976863,9.16939336964278,5.00796506554038,5.12038615805537,8.29447454981511,9.15190585013901,3.29296649250766,4.03740529857514,"Heca"
"1655",0.000483850977080852,0.00887507874296882,28747,3435,80.2,57.8,1048.7,2376.2,80.2,57.8,968.5,2318.4,12.0760598503741,40.1107266435986,6.95625968804175,7.77367860349251,4.39691524716763,4.07414185490458,6.87678047468271,7.7490638105226,2.49122496797458,3.69164379588809,"Abracl"
"1656",0.00150720771982173,0.00596611412773395,24743,9290,6.8,7.2,9.2,27.2,6.8,7.2,2.4,20,0.352941176470588,2.77777777777778,2.32238772029023,3.33932197794407,2.05412373369555,2.10413415427021,1.22377543162212,3.04452243772342,-1.04145387482816,1.02165124753198,"Abracl"
"1683",0.00765370735929461,0.00168641129321993,5804,26519,67.6,63.8,2647.3,391.2,67.6,63.8,2579.7,327.4,38.1612426035503,5.13166144200627,7.88167320369109,5.97177191376225,4.22829253473184,4.17130560335823,7.85581595894509,5.79423237757827,3.64182040903604,1.63542947458629,"Ccdc28a"
"1693",0.00186230089752561,0.00491650721677109,23150,12841,30.4,26,162.8,222.5,30.4,26,132.4,196.5,4.35526315789474,7.55769230769231,5.09864617141897,5.40941141405362,3.44680789291421,3.29583686600433,4.89335213348152,5.28573858434118,1.47138503509073,2.02256589328783,"LOC102549339"
