"dataset","method","crossing_percentile"
"control","empirical",0.470826534480178
"control","nb_gene_wise",NA
"control","nb_fitted",NA
"control","nb_final",NA
"treatment","empirical",NA
"treatment","nb_gene_wise",NA
"treatment","nb_fitted",NA
"treatment","nb_final",NA
"combined","empirical",NA
"combined","nb_gene_wise",NA
"combined","nb_fitted",NA
"combined","nb_final",NA
