"percentile","rank_index","lo_rank","hi_rank","n_bin","mu","variance","iod_emp","cv2_emp","iod_nb","cv2_nb","diff_emp","diff_nb","alpha_gene_wise"
0.01,317,1,317,317,13.2,201.5,15.2307692307692,0.985543628808864,28.8484445947073,1.82024171236927,14.0591715976331,26.8781171483383,1.72288316352431
0.02,633,318,633,316,9.4,106.1,11.3622159090909,0.98256481231434,25.3137300755525,2.14338763476342,10.1244700198003,23.1297171512724,2.04317815904822
0.03,950,634,950,317,8.4,105.3,11.4375,0.957409972299169,19.845471507297,1.81693894446606,10.4197530864198,17.9472319187026,1.68180380933093
0.04,1266,951,1266,316,7.8,102.7,10.8550235017626,0.951582072862117,18.7413566721354,1.4940059311957,9.72915170479806,16.9232801765341,1.42053231761625
0.05,1583,1267,1583,317,12,116.3,10.3671875,0.930555555555556,16.5331934643406,1.55457486627532,9.3411865234375,15.0157428845294,1.46993518156544
0.06,1899,1584,1899,316,11.4,101,9.49024404977649,0.931952662721893,16.9859890936036,1.63377252123048,8.57498353154125,14.9012354421598,1.5272679394308
0.07,2216,1900,2216,317,11,93.5,9.14705882352941,0.92,15.1071880367626,1.5249367064108,8.125,13.20834837124,1.43721740816519
0.08,2533,2217,2533,317,11.4,102.3,9.18396226415094,0.881102071005917,14.9720180425027,1.28917927806999,8.28235946745562,13.1116330765021,1.18584200503428
0.09,2849,2534,2849,316,11,100.25,8.99032738095238,0.858524952680797,13.9407498269358,1.27787537311359,8.11770833333333,12.0134520542902,1.19315353161561
0.1,3166,2850,3166,317,10,84.3,8.44230769230769,0.918367346938775,13.3710926448859,1.35099368225064,7.20746527777778,11.4817842567057,1.2227939526943
0.11,3482,3167,3482,316,9.8,84.95,8.15123211446741,0.853781863062065,13.0899640002041,1.2274761304247,7.48269316159589,11.3866903653298,1.1152216951539
0.12,3799,3483,3799,317,10.8,89.5,8.21739130434783,0.793950850661626,12.7478817862366,1.17235192485273,7.45179584120983,11.1267237020926,1.02354400587505
0.13,4116,3800,4116,317,10.4,99.3,8.93956043956044,0.7421875,11.5428008611693,0.926372132309179,8.05917159763314,9.94108627563858,0.826372132309179
0.14,4432,4117,4432,316,10.2,86.15,8.60791925465838,0.74719666585218,11.7687115670752,1.01048341939638,7.69412282083596,10.3683187130694,0.893593063523867
0.15,4749,4433,4749,317,11.6,102.5,9.31818181818182,0.689349112426035,12.5582044526822,0.949333926036211,8.27218934911243,10.9163928786423,0.828119533970797
0.16,5065,4750,5065,316,10.4,87.75,8.58771929824561,0.682770921506,12.5180158153983,0.949320689628413,7.75980182405008,10.9978425105051,0.8250686302515
0.17,5382,5066,5382,317,11.8,99.8,9.71951219512195,0.65470041322314,11.5971313143097,0.755011284347181,8.52687789248843,10.6440996224771,0.64361740706931
0.18,5698,5383,5698,316,10.8,102.85,10.1657119476268,0.677688775581574,11.1434126531974,0.767834553538058,9.14590739929059,9.88609622868109,0.679295045785931
0.19,6015,5699,6015,317,10.4,80,9.06730769230769,0.669297028558215,10.7386098606767,0.756831914583582,8,9.39734171860184,0.671225916833801
0.2,6332,6016,6332,317,12.6,117.3,10.3333333333333,0.598977355734112,13.1447793664267,0.683655728911778,9.33320121548421,11.5603644574109,0.604943543813853
0.21,6648,6333,6648,316,11.2,100.55,9.70909090909091,0.630520219350518,11.4157078341785,0.626026173422005,8.44379489603025,10.35185318288,0.520668682752139
0.22,6965,6649,6965,317,15.4,184.3,11.4047619047619,0.592343887854132,11.7909050623542,0.555113901959857,10.6535749664938,10.8623735493143,0.458172670867011
0.23,7281,6966,7281,316,13.6,129.3,10.7379016647309,0.617799048394687,12.6653698269375,0.647286158669894,9.36734693877551,11.0373072826131,0.592208921284912
0.24,7598,7282,7598,317,15.4,162.8,11.6440677966102,0.555555555555556,11.0425291423706,0.464330165857002,10.09375,10.0659788713595,0.382052036760916
0.25,7914,7599,7914,316,18.6,181.85,11.6130973451327,0.54961545751107,12.3004890315207,0.407529692303198,10.6585399926437,11.2256808911383,0.359369757473204
0.26,8231,7915,8231,317,16.4,188.8,12.4197080291971,0.549531597743388,10.1207842440897,0.398525234117022,11.2531179138322,9.20490392116942,0.340733182423689
0.27,8548,8232,8548,317,18,251.2,13.625,0.543639053254438,11.3778559196915,0.529637973116122,12.4948979591837,10.165875086167,0.420183005623595
0.28,8864,8549,8864,316,18.4,211,12.5058983666062,0.533498517273658,10.613367065092,0.406862750438314,11.4293622712407,9.30586192085676,0.337977833605991
0.29,9181,8865,9181,317,17.6,181.5,13.3387096774194,0.513570011337868,11.4772059078939,0.398493230524151,11.6575255102041,10.1369807745523,0.313058110453307
0.3,9497,9182,9497,316,16.7,176.45,10.2241228070175,0.545709194937689,9.75794158924653,0.431645089474197,9.31272686097501,8.93105143120497,0.339128321742769
0.31,9814,9498,9814,317,16.2,190.8,11.203488372093,0.5078125,10.6397891680317,0.469091996868367,10.2244897959184,9.12358026959349,0.383402969161183
0.32,10131,9815,10131,317,20,219.3,11.2892156862745,0.522536223451459,10.1545630766973,0.38174867144828,10.6387872775746,8.72644079939269,0.3303573367828
0.33,10447,10132,10447,316,18.2,170,10.3663300693594,0.528060699960323,10.0912256711957,0.388032249752869,9.4107,8.7106053878435,0.315941724585997
0.34,10764,10448,10764,317,23.6,251.8,12.1709401709402,0.488919752144318,9.89131441459893,0.30944587976105,11.4788816180845,8.87105916176933,0.250161447394051
0.35,11080,10765,11080,316,22.8,270.1,12.4985632183908,0.470106559397558,9.82287663809889,0.267203001790386,11.4746713500215,8.96521454186515,0.224050627134188
0.36,11397,11081,11397,317,23,232.5,11,0.481569560047562,9.13631329259498,0.311010647997168,10.3999928181557,7.90096958731571,0.278970340121483
0.37,11713,11398,11713,316,24.5,295.05,12.4732827913774,0.454750016271962,9.21112113174245,0.247384749021993,11.402333620135,8.07616237114522,0.215930208015552
0.38,12030,11714,12030,317,22.8,264,11.75,0.460734059016771,9.80872563710495,0.268819799905461,10.7039136670992,8.26805059139287,0.229763614878625
0.39,12347,12031,12347,317,21.4,269.2,12.5071942446043,0.451450088126903,9.50309737788932,0.28693076110986,12.0572951710574,8.36743291996612,0.250043858802345
0.4,12663,12348,12663,316,27.4,351.65,13.0586854460094,0.435400934103603,8.28596033956827,0.224848927557473,12.6843348920505,7.18526708852107,0.171585021794279
