"crossing_id","percentile_left","percentile_right","rank_left","rank_right","crossing_percentile","crossing_rank","regime_difference_left","regime_difference_right"
"crossing_1",0.01,0.015,310,464,0.0137396065838313,425,0.026855224169006,-0.00905125899571776
"crossing_2",0.015,0.02,464,619,0.0195341283290337,605,-0.00905125899571776,0.000929996869670102
"crossing_3",0.025,0.03,774,928,0.0258402274180064,800,0.0302733501052622,-0.149876389456271
"crossing_4",0.04,0.045,1238,1394,0.0431961239481366,1338,-0.0446420166653117,0.0251957264724949
"crossing_5",0.045,0.05,1394,1548,0.0457539243134454,1417,0.0251957264724949,-0.141901461024695
"crossing_6",0.05,0.055,1548,1703,0.0549809179243827,1702,-0.141901461024695,0.00054362959811427
"crossing_7",0.055,0.06,1703,1858,0.0550714692517046,1705,0.00054362959811427,-0.0374887819039272
"crossing_8",0.065,0.07,2012,2167,0.0667948290037035,2068,-0.0264185346838007,0.0471777093853777
"crossing_9",0.07,0.075,2167,2322,0.0716034171905851,2217,0.0471777093853777,-0.0999384300148865
"crossing_10",0.085,0.09,2632,2786,0.089395029123099,2767,-0.0520581713675982,0.00716574946377438
"crossing_11",0.09,0.095,2786,2942,0.0901243959208104,2790,0.00716574946377438,-0.280856133291486
"crossing_12",0.105,0.11,3251,3406,0.108503079639686,3360,-0.149892455130267,0.0640513750815036
"crossing_13",0.115,0.12,3560,3715,0.115845920079072,3586,0.0438877256929057,-0.215520501979449
"crossing_14",0.125,0.13,3870,4024,0.12963502082749,4013,-0.408895781316362,0.0321980093427772
"crossing_15",0.13,0.135,4024,4180,0.132730799227381,4109,0.0321980093427772,-0.0267554446862483
"crossing_16",0.145,0.15,4489,4644,0.14691333090302,4548,-0.0336439213318904,0.0542758453921899
"crossing_17",0.15,0.155,4644,4798,0.151386070277414,4687,0.0542758453921899,-0.141514535069119
"crossing_18",0.17,0.175,5264,5418,0.173814288006911,5381,-0.676303703465707,0.210236198922815
"crossing_19",0.175,0.18,5418,5573,0.177603976513023,5499,0.210236198922815,-0.193446779536074
"crossing_20",0.235,0.24,7276,7430,0.236844217391112,7333,-0.0432974308715027,0.0740895731774199
"crossing_21",0.24,0.245,7430,7585,0.240641907499215,7450,0.0740895731774199,-0.503015175310489
"crossing_22",0.275,0.28,8514,8668,0.277810613883186,8601,-0.131311227722566,0.102287610787598
"crossing_23",0.28,0.285,8668,8824,0.281149525928838,8704,0.102287610787598,-0.342624540480686
"crossing_24",0.34,0.345,10526,10682,0.343227317922933,10627,-0.51674040938582,0.283832112016397
"crossing_25",0.345,0.35,10682,10836,0.347048646339098,10745,0.283832112016397,-0.408898757630281
"crossing_26",0.56,0.565,17338,17492,0.564972309432056,17491,-1.6494039601619,0.00918545658724029
"crossing_27",0.565,0.57,17492,17647,0.565231026571795,17499,0.00918545658724029,-0.189611082613326
"crossing_28",0.68,0.685,21052,21208,0.684395432902745,21189,-0.2062276236051,0.0283654508066478
"crossing_29",0.685,0.69,21208,21362,0.685238174234503,21215,0.0283654508066478,-0.567111445883724
"crossing_30",0.78,0.785,24148,24304,0.784627479936587,24292,-0.220916702198805,0.0177841730358272
"crossing_31",0.785,0.79,24304,24458,0.785183961200308,24310,0.0177841730358272,-0.465583325276039
"crossing_32",0.92,0.925,28483,28638,0.924327931198368,28617,-0.208069250864779,0.0323103223401574
"crossing_33",0.925,0.93,28638,28792,0.925587886044342,28656,0.0323103223401574,-0.242490573608376
