"dataset_name","feature_id","gene_symbol","baseMean","lfc_shrunk","regulation_direction","lfdr","pvalue","wald_pvalue","padj","empirical_p","empirical_q","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","hc_empirical_pass","deseq2_standard_call","deseq2_strong_call","deseq2_weak_call_raw","deseq2_weak_call","standard_significant","HBFSS_significant","effect_class","log2FoldChange","lfcSE","stat","raw_lfc_pass","shrunk_lfc_pass","neglog10_wald_pvalue","padj_strong_effect","padj_weak_effect","HBFSS_only_call","overlap_call","R4_1","R4_2","R4_3","R4_4","R4_5","ZT10_1","ZT10_2","ZT10_3","ZT10_4","ZT10_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","neglog10_padj","neglog10_empirical_p"
"RT4_ZT10_remainder_dataset","293008","-",145.483424251867,0.485964404598105,"upregulated",0.453632793726392,0.0025200982925837,0.0025200982925837,0.0674489528109505,0.0071655384847269,0.178609062835714,1.04227272395159,0.0439040575624545,1.35749534090703,0.0314615707382145,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",0.50578876718113,0.167428845701609,3.02091772216208,FALSE,FALSE,2.59858251989535,1,0.0314615707382145,FALSE,FALSE,204.623633478935,162.938244977068,155.673142063559,181.726823169726,147.836318934344,131.188466761618,158.971978192475,99.596882639149,111.056376194434,101.222376107368,0.0215734582950141,0.0313772386168587,0.0258803285048266,9,FALSE,1.17102478864524,2.1447511671427
"RT4_ZT10_remainder_dataset","287179","Cert1",156.706857222154,-0.427344745480305,"downregulated",0.688144366996087,0.0202516033753673,0.0202516033753673,0.230950622991006,0.0387713333759039,0.414165092421883,0.603192519851539,0.0439040575624545,1.35749534090703,0.0414414777025671,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",-0.450880683492383,0.194206712274864,-2.32165344962044,FALSE,FALSE,1.69354058679458,1,0.0414414777025671,FALSE,FALSE,123.746473810155,112.769248567235,164.164404357934,163.603123823958,99.4535236467403,170.009543660464,237.383832300926,213.421891369605,127.790898634691,154.725632049833,0.0470033409332456,0.030012220035506,0.0386394794002645,11,FALSE,0.636480861903291,1.41148926301549
"RT4_ZT10_remainder_dataset","24658","Ankrd13d",100.086279590994,1.04799789101546,"upregulated",0.00843228671058957,8.61559552169475e-07,8.61559552169475e-07,0.000207120454840742,1.18520834850866e-05,0.00264734202383022,5.16265276306259,0.0439040575624545,1.35749534090703,0.859052923897257,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",1.12918714028897,0.229468539192542,4.92087997885191,TRUE,TRUE,6.06471469815244,1,0.859052923897257,FALSE,TRUE,122.862570425797,138.075733481929,155.673142063559,92.0879858649826,178.747549256979,70.9488646772013,34.3723196091838,68.5536984399337,73.0233706483948,66.5175614419844,0.0590639778708632,0.0406392209407687,0.0496261138740973,10,FALSE,3.6837770088526,4.92620529804714
"RT4_ZT10_remainder_dataset","301149","S100a10",24.6542332231847,1.15209864730458,"upregulated",0.459359432994874,0.00357434661947205,0.00357434661947205,0.0839784317009467,0.00950297809644307,0.209940794899089,2.32970507173871,0.0439040575624545,1.35749534090703,0.963506470258496,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",1.80414530288273,0.619242512211605,2.91347132553817,TRUE,TRUE,2.44680333441997,1,0.963506470258496,FALSE,TRUE,64.0829953659732,59.4924382205097,41.0411010894836,12.7355725132423,13.4396653576676,0,6.44480992672197,6.46733004150318,18.2558426620987,24.5825770546464,0.740573850064823,0.158865566858661,0.389521743466882,11,FALSE,1.07583224008132,2.02214027174602
"RT4_ZT10_remainder_dataset","7606","-",21.1990212591049,-1.20684923118857,"downregulated",0.453632793726392,0.00277153567819787,0.00277153567819787,0.0718181304752545,0.00773753794906362,0.186989683897088,2.54813809715054,0.0439040575624545,1.35749534090703,0.980059934852443,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",-2.01550495198756,0.673630665811845,-2.99200296880564,TRUE,TRUE,2.55727952632834,1,0.980059934852443,FALSE,TRUE,5.30342030614951,11.5433089084571,4.24563114718796,11.2660833770989,9.40776575036732,68.271549029005,63.3739642794327,28.456252182614,0,10.1222376107368,0.888020687822425,0.187979853524341,0.479109250773522,12,FALSE,1.14376590434568,2.11139720795199
"RT4_ZT10_remainder_dataset","566511","-",35.6172603926894,-1.10930901594515,"downregulated",0.115881348815122,0.000118598239733122,0.000118598239733122,0.00834545049839671,0.000612159694346914,0.0402801728394748,3.56435992279532,0.0439040575624545,1.35749534090703,0.910508731990886,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",-1.29278365090253,0.335874702691189,-3.84900571714431,TRUE,TRUE,3.92592175683908,1,0.910508731990886,FALSE,TRUE,18.1200193793442,18.6468836213538,16.9825245887518,24.9813153144368,24.1913976438017,40.1597347229441,40.8171295359058,29.7497181909146,45.6396066552467,96.8842742741947,0.101198873038216,0.106377527194192,0.1037851492835,7,FALSE,2.07855021456448,3.21313526849722
"RT4_ZT10_remainder_dataset","154205","Alb",28.5359025434325,1.64120047692654,"upregulated",0.062337612404375,4.33912792821758e-05,4.33912792821758e-05,0.00407076722882433,0.000273193032537478,0.0239951014736711,5.84846776085936,0.0439040575624545,1.35749534090703,0.999999998756481,0.597777680917208,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",3.4514425484916,0.8441545285301,4.08863831424502,TRUE,TRUE,4.36259754560714,0.597777680917208,0.999999998756481,FALSE,TRUE,101.648889201199,72.811640807191,35.3802595598997,19.5931884819112,32.2551968584023,0,9.66721489008295,3.88039802490191,0,10.1222376107368,0.70964186937944,0.13512118509056,0.70964186937944,10,TRUE,2.39032373037111,3.56353038101215
"RT4_ZT10_remainder_dataset","124536","Pnpla6",23.5972767315197,-1.33654176589182,"downregulated",0.240941200139449,0.00050440386187974,0.00050440386187974,0.0227046027438239,0.00195963583527536,0.0826909969261586,3.61912070913643,0.0439040575624545,1.35749534090703,0.989501265921678,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",-1.93417566737545,0.556052179872498,-3.47840677077995,TRUE,TRUE,3.29722159698666,1,0.989501265921678,FALSE,TRUE,15.9102609184485,14.6511228453494,0,9.30676452890782,6.7198326788338,34.8051034265516,22.5568347435269,11.6411940747057,36.5116853241974,83.869968774676,0.535086068070417,0.166811717101123,0.314345944909605,11,FALSE,1.64388609242738,2.70782462732958
"RT4_ZT10_remainder_dataset","335370","-",20.5311653032471,-1.19788632697801,"downregulated",0.345406325889516,0.00187289669152093,0.00187289669152093,0.0546510521946569,0.00563905116112218,0.154569694819219,2.69379954309551,0.0439040575624545,1.35749534090703,0.967732344005303,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"intermediate",-1.76175542863245,0.566539006459015,-3.10968072550517,TRUE,TRUE,2.72748617753121,1,0.967732344005303,FALSE,TRUE,9.28098553576164,13.7631760062373,4.24563114718796,6.85761596866892,12.0956988219008,14.7252360650795,25.7792397068879,27.1627861743134,6.08528088736623,85.316002719067,0.450294321333386,0.194797278413286,0.323101708180732,11,FALSE,1.26240147217842,2.24879396519312
"RT4_ZT10_remainder_dataset","10367","Lrp3",108.63033662576,0.417836480915688,"upregulated",0.688144366996087,0.0158942352410505,0.0158942352410505,0.202724909457738,0.0318382727130213,0.381122210896977,0.625522313341058,0.0439040575624545,1.35749534090703,0.0225775338328695,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",0.437931961496164,0.181613891921476,2.41133515097794,FALSE,FALSE,1.7987603635392,1,0.0225775338328695,FALSE,FALSE,163.964077798456,136.299839803705,116.047251356471,100.904920681843,104.829389789807,81.6581272699864,87.0049340107466,98.3034166308483,100.407134641543,96.8842742741947,0.0225337090679395,0.0381916908399225,0.0293305393404558,9,FALSE,0.693092884876838,1.49705050159868
