"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","var_ctrl","var_trt","alpha_emp_ctrl","alpha_emp_trt","nb1_ctrl","nb1_trt","nb2_ctrl","nb2_trt","alpha_mu_ctrl","alpha_mu_trt","gene_symbol"
"20",0.00223088047484163,0.000516056926116696,8909,3901,4.6,1,27.8,5,1.09640831758034,4,4.6,1,23.2,4,5.04347826086957,4,"-"
"25",0.000383078835144092,0.00784673939615448,2284,26509,15.6,14.8,28.8,177.7,0.0542406311637081,0.743699780861943,15.6,14.8,13.2,162.9,0.846153846153846,11.0067567567568,"-"
"31",0.00294119439163528,0.00335956465743746,12092,14610,23.4,18.6,76.3,141.3,0.0966104171232376,0.354665279223032,23.4,18.6,52.9,122.7,2.26068376068376,6.59677419354839,"Pcmt1"
"35",0.000788201657416737,0.00137778902515023,3367,7151,120,91.2,298,806.7,0.0123611111111111,0.0860240650969529,120,91.2,178,715.5,1.48333333333333,7.84539473684211,"Pcmt1"
"37",0.00231441549284667,0.00570628390497398,9335,21512,103.4,90.2,536.8,2854.2,0.0405366475986666,0.339723010211356,103.4,90.2,433.4,2764,4.19148936170213,30.6430155210643,"Pcmt1"
"38",0.00480012170467825,0.0084164560624437,19800,27503,30,30.2,196.5,669.7,0.185,0.701175387044428,30,30.2,166.5,639.5,5.55,21.1754966887417,"Pcmt1"
"89",0.00376421306049101,0.00377760122754808,15932,16307,39.2,42.6,223.2,324.3,0.119741774260725,0.155227137472724,39.2,42.6,184,281.7,4.69387755102041,6.61267605633803,"Tab2"
"90",0.00253698941924111,0.00589663602708072,10315,21905,17.8,11,145.2,41.5,0.402095694988007,0.252066115702479,17.8,11,127.4,30.5,7.15730337078652,2.77272727272727,"Tab2"
"143",0.0095426258102212,0.00884936755088793,28882,28029,13.6,11.2,128.3,98.7,0.620134083044983,0.697544642857143,13.6,11.2,114.7,87.5,8.43382352941177,7.8125,"Ust"
"214",0.00255006652452281,0,10359,1,1.2,0,2.7,0,1.04166666666667,NA,1.2,0,1.5,0,1.25,NA,"LOC365036"
"224",0.00506767251356033,0.00447287588639806,20610,18490,47.4,43.2,780.8,442.7,0.326425608431697,0.214066786694101,47.4,43.2,733.4,399.5,15.4725738396624,9.24768518518519,"Sash1"
"304",0.00130528825887263,0.000454908484278181,5156,3202,3.4,0.6,14.3,1.8,0.942906574394464,3.33333333333333,3.4,0.6,10.9,1.2,3.20588235294118,2,"Sash1"
"576",0.0025110856307593,0.0023279039619987,10225,10324,2.2,4,9.2,42.5,1.44628099173554,2.40625,2.2,4,7,38.5,3.18181818181818,9.625,"-"
"615",0,0.000682362726417271,1,4897,0,1.4,0,9.8,NA,4.28571428571429,0,1.4,0,8.4,NA,6,"-"
"672",0.00352841861768602,0,14680,2,0.6,0,1.8,0,3.33333333333333,NA,0.6,0,1.2,0,2,NA,"-"
"673",0.00456041490678237,0.000399276141119725,18972,2783,1,0.6,5,1.8,4,3.33333333333333,1,0.6,4,1.2,4,2,"-"
