"comparison_name","selected_reason","crossing_id","crossing_rank","rank_cutoff","n_total","leading_edge_union_n","remainder_union_n"
"RT0_ZT6","last_local_amplitude_crossing_before_divergence","crossing_1",3374,3374,31553,6139,25414
"RT2_ZT8","last_local_amplitude_crossing_before_divergence","crossing_3",3572,3572,31534,6521,25013
"RT4_ZT10","last_local_amplitude_crossing_before_divergence","crossing_1",2990,2990,31658,5608,26050
"RT8_ZT14","last_local_amplitude_crossing_before_divergence","crossing_7",21725,21725,31580,28004,3576
