"percentile","rank_index","lo_rank","hi_rank","n_bin","mu","variance","alpha_gene_wise","iod_emp","cv2_emp","iod_nb","cv2_nb","diff_emp","diff_nb","log_ratio_emp","log_ratio_nb","iod_emp_scaled","cv2_emp_scaled","iod_nb_scaled","cv2_nb_scaled"
0.01,316,1,316,316,10.4,185.6,2.85140543172601,17.9007034632035,1.56787493571391,37.3353722570756,2.92549018881558,15.9426133307252,33.9612376595758,2.34180580614733,2.34180580614733,1,0.270873577993402,1,0.284966173696399
0.02,631,317,631,315,7.2,75.2,2.57117647860835,11.2592592592593,1.32194521391197,24.3861771496669,2.70957523885188,9.28507653061224,22.1263358983333,1.97408102602201,1.97408102602201,0.55699827359813,0.218627854203082,0.57582498098549,0.261888415743379
0.03,947,632,947,316,6,52.25,2.4198443319295,10.0681818181818,1.41677031611751,19.5364235885979,2.60508930994164,8.24472203959384,16.7936569195416,1.79175946922805,1.79175946922805,0.477550288118967,0.238772658425685,0.41696226466074,0.250720587960763
0.04,1262,948,1262,315,5.6,55.7,2.46228350553764,9.05555555555556,1.35847107438017,18.5867620043621,2.62426915214703,7.63324652777778,15.3980337730196,1.7227665977411,1.7227665977411,0.410005463715128,0.226387469442926,0.385854329595332,0.252770597726494
0.05,1578,1263,1578,316,5.4,54.2,2.1526528701625,8.62418831168831,1.36613310782469,18.1611319776025,2.30717744545554,7.21329639889197,14.8565839912768,1.68639895357023,1.68639895357023,0.381232138534903,0.228015204716572,0.371912024826857,0.218878708085846
0.06,1893,1579,1893,315,5.2,44.8,2.11272327320471,7.45454545454545,1.22307256235828,16.1056249226049,2.3389681156993,6.46598953524161,12.9902206991982,1.64865862558738,1.64865862558738,0.303213895954444,0.19762318178837,0.304580060414706,0.222276608014374
0.07,2209,1894,2209,316,5.3,42.3,2.16224206317691,7.66666666666667,1.2560393764325,15.5402979943368,2.33239450871507,5.85769896193772,12.7235056300626,1.66752878957881,1.66752878957881,0.317362936477942,0.204626707225428,0.286061723285757,0.221573997514795
0.08,2524,2210,2524,315,5,33.5,2.28963159557973,6.85714285714286,1.13555291319857,14.8552859890432,2.46575914822681,5.68690926275992,11.8241835415381,1.6094379124341,1.6094379124341,0.263365577745411,0.179030360299692,0.263622878403085,0.235828484620302
0.09,2840,2525,2840,316,5.8,34.75,2.05425288694977,7.04240447343896,1.28205112342103,13.3200909473227,2.21954154006996,5.21173469387755,10.1498976425971,1.75785791755237,1.75785791755237,0.275723012865687,0.210152686511336,0.213334703685556,0.209511870760213
0.1,3155,2841,3155,315,5.6,29.7,1.90974048576522,6,1.19377162629758,12.9229792967502,2.15851374373344,4.61316568047337,9.88343583452194,1.7227665977411,1.7227665977411,0.206191903793319,0.191398441643061,0.200326571478474,0.202989002786054
0.11,3471,3156,3471,316,5.8,33.75,1.82429941233364,6.32288401253919,1.15520808561237,13.0848925296972,2.07877433723637,4.27427685950413,10.027158873468,1.75785791755237,1.75785791755237,0.22772911326012,0.183205938190229,0.205630341179547,0.194466171352815
0.12,3786,3472,3786,315,4.4,21.2,1.91041224457628,5.54545454545454,1.23702422145329,11.2735243086172,2.07018536080262,3.29289940828402,7.90725709514876,1.48160454092422,1.48160454092422,0.175872531242967,0.200587095715299,0.146295599271203,0.19354815099695
