"comparison_name","analysis_label","dataset_key","feature_id","orig_id","gene_symbol","baseMean","log2FoldChange","lfc_shrunk","regulation_direction","stat","pvalue","padj","greaterAbs_pvalue","greaterAbs_padj","empirical_p","empirical_bh","empirical_q","empirical_lfdr","neglog10_empirical_p","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","standard_flag","strong_flag","weak_flag","hbfss_flag","display_standard","display_strong","display_weak","display_hbfss","final_class","lfcSE","hc_pass","R0_1","R0_2","R0_3","R0_4","R0_5","ZT6_1","ZT6_2","ZT6_3","ZT6_4","ZT6_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier"
"RT0_ZT6","Lead_RawEVS","Lead","248551","248551","Mbp",21210.6115474433,-0.507048552323348,-0.0344418138931439,"downregulated",-1.52071478498676,0.128331426816829,0.695349897743074,1,1,0.257170592650647,0.994912283748281,0.999999999999,1,0.589778694300415,0.0203130480272363,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.333427778390254,FALSE,9303.36107100121,18053.1028373312,30316.5455061336,11234.2078439058,18698.6534977467,28883.6205705199,25577.3323639969,18608.3480287623,32537.0214471985,18893.9223078373,0.13797978044727,0.127910325080477,0.133483533376593,8,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","25328","25328","-",7062.51650560475,0.0227245438783139,0.000227131121435428,"upregulated",0.019239508717705,0.984650040029413,0.996318167231369,1,1,0.988562235273226,0.999133685827716,0.999999999999,1,0.00499598433216847,1.13474352403925e-06,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",1.18113950890034,FALSE,22387.5147420719,325.435440141645,319.038865702601,1305.62661572101,11253.035815386,1005.23590213166,8355.40609514164,12090.5917399918,1216.28711161973,12366.9927281396,1.67554833453275,0.128995665249243,1.67554833453275,11,TRUE
"RT0_ZT6","Lead_RawEVS","Lead","8277","8277","Apoe",6939.27579766875,-0.698263698396598,-0.0196389360500036,"downregulated",-1.35928230772951,0.174057148167156,0.717533176838978,1,1,0.311146825588098,0.994912283748281,0.999999999999,1,0.507034625457607,0.00995762058449948,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.513700277290409,FALSE,2445.98668946449,5566.65884452813,13249.4386781169,2216.65577237313,2980.74374057248,10101.0833968081,13400.5232359683,4472.62529773353,11119.791873025,3839.2504480974,0.426220942380784,0.129024562806586,0.316802218803546,10,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","415923","415923","-",10599.2604828609,-0.579386830873203,-0.030920116168043,"downregulated",-1.53651257305125,0.124412716530226,0.695349897743074,1,1,0.252260896873085,0.994912283748281,0.999999999999,1,0.59815006453749,0.0184948694814216,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.37707913429087,FALSE,7112.94596067441,7108.19513993592,12395.3961760823,8497.48353100873,7381.8139540841,12093.1061656911,15525.8015983157,4654.28449751046,8515.54259433323,22708.0352109728,0.182832509119722,0.128452728603238,0.170683554515699,9,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","55601","55601","Bc1",16871.0117599663,-0.36815798889285,-0.0189558633204672,"downregulated",-0.977092103375862,0.328523556788627,0.774187384093929,1,1,0.466586784892858,0.994912283748281,0.999999999999,1,0.331067565862423,0.00627567152832784,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.376789442490488,FALSE,7039.33023407497,12277.48018387,15637.812709669,16705.8380482297,21990.0936542746,20724.8894627247,25493.0952998225,8372.43811875111,12923.1463617718,27545.9935264748,0.163249648604674,0.128049684373671,0.170461969087852,9,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","412143","412143","Yipf1",4238.12511927532,-0.02882671055099,-0.00141265045575586,"downregulated",-0.0712033492350363,0.943235915880792,0.98577027735003,1,1,0.957688465537039,0.999133685827716,0.999999999999,1,0.0187757432198467,2.65235622166716e-05,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.40485048611738,FALSE,3183.53293143248,4215.81629825597,7993.64148743471,3621.38635822895,1964.04520086116,4013.37477349881,7201.13064821063,1993.85621690643,3383.68468670518,4810.78259121884,0.220553360851585,0.130080022038136,0.196626352199415,7,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","156760","156760","Uchl1",2939.20731334139,-0.569612777710106,-0.0142464160715992,"downregulated",-1.04840855484488,0.294450413754349,0.760441512944642,1,1,0.434695117459224,0.994912283748281,0.999999999999,1,0.361815237822564,0.00515457041906485,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.543311836857707,FALSE,1273.69096776771,1845.27603953999,6707.66944414115,922.848896209486,1081.88930555911,4117.44625513127,5615.42483206182,1977.74128789396,4330.96311768311,1519.12298742626,0.502741331820037,0.131278301873256,0.354185683832983,10,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","111059","111059","-",2671.97914991186,0.497763944857974,0.018904929079276,"upregulated",1.08888066717571,0.276206512698142,0.757364261980066,1,1,0.417171095356694,0.994912283748281,0.999999999999,1,0.37968579027898,0.007177932937633,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.457133605052471,FALSE,2358.4812031293,2088.49621059322,7188.68188781584,2146.64654576413,1858.63034544771,1608.85049559989,4528.31136872935,1445.94863048247,2216.44759092896,1279.29722062775,0.312800639802762,0.131669322364211,0.250612429225213,8,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","179269","179269","Lcp1",9858.66839483056,-0.541044922940831,-0.0458837892416125,"downregulated",-1.78056930108117,0.0749828386102591,0.695349897743074,1,1,0.184599705328934,0.994912283748281,0.999999999999,1,0.733768996561029,0.0336681019902358,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.303860637500774,FALSE,5389.2267774686,5911.50622320454,10257.3449468507,11517.8815932825,7080.82680112727,11541.5273130391,13214.9740270435,6280.42733422327,12588.9931288379,14803.9758032281,0.0955657765183864,0.128534173863975,0.110791127677297,10,FALSE
"RT0_ZT6","Lead_RawEVS","Lead","506371","506371","Fxyd2",2838.45032634396,0.764157178733706,0.0259526650263925,"upregulated",1.6211744196845,0.104980237185135,0.695349897743074,1,1,0.227063522371642,0.994912283748281,0.999999999999,1,0.643852629343221,0.0167096916157067,0.0195442803810726,1.70898031562737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.471360249369357,FALSE,3223.81323466614,3721.38280498814,7142.543959545,2394.86107646876,1381.48942094471,1246.96557083249,4683.12543261754,1472.31851432106,1905.28655292165,1212.71669613411,0.338613291152837,0.131417087416065,0.266490887167117,8,FALSE
