"rank","feature_id","gene_symbol","region","abs_loading","mu","variance","nb1","nb2","alpha_mu","log_nb1","log_nb2","log_alpha_mu","nb_gap","nb_support","var_fit","d1","d2"
1,"1576","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.748187764246679,0.0030782019704434,-1.47193957528187e-07
2,"4318","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.745109634899656,0.00307805769716071,-1.4135260786456e-07
3,"7312","Lair1","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.742031646905241,0.00307791926522768,-1.35511258200932e-07
4,"7955","Fkrp","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.738953794422084,0.00307778667464431,-1.29669908537305e-07
5,"8860","Sdccag1-ps1","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.735876071608836,0.0030776599254106,-1.23828558873678e-07
6,"10440","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.732798472624146,0.00307753901752656,-1.17987209210051e-07
7,"10986","Zfp819","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.729720991626666,0.00307742395099218,-1.12145859546424e-07
8,"11556","Dhdh","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.726643622775045,0.00307731472580747,-1.06304509882797e-07
9,"12336","Cyfip1","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.723566360227935,0.00307721134197242,-1.0046316021917e-07
10,"13454","LOC102551177","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.720489198143984,0.00307711379948703,-9.46218105555427e-08
11,"15724","Mef2a","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.717412130681844,0.0030770220983513,-8.87804608919156e-08
12,"15997","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.714335152000165,0.00307693623856524,-8.29391112282885e-08
13,"16357","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.711258256257597,0.00307685622012885,-7.70977615646614e-08
14,"16970","Fes","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.708181437612791,0.00307678204304212,-7.12564119010343e-08
15,"19175","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.705104690224396,0.00307671370730505,-6.54150622374071e-08
16,"21269","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.702028008251064,0.00307665121291764,-5.957371257378e-08
17,"22152","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.698951385851444,0.0030765945598799,-5.37323629101529e-08
18,"22345","Hsd3b7","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.695874817184188,0.00307654374819182,-4.78910132465258e-08
19,"22963","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.692798296407944,0.0030764987778534,-4.20496635828987e-08
20,"23810","LOC120097362","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.689721817681364,0.00307645964886465,-3.62083139192716e-08
21,"25630","Vegfb","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.686645375163098,0.00307642636122557,-3.03669642556444e-08
22,"26275","Syt7","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.683568963011797,0.00307639891493614,-2.45256145920173e-08
23,"26562","Lpxn","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.680492575386109,0.00307637730999638,-1.86842649283902e-08
24,"27482","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.17199219023289,-0.677416206444687,0.00307636154640629,-1.28429152647631e-08
