"rank","feature_id","abs_pc1_loading","mu","empirical_variance.x","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","nb_gap","log_alpha_mu","combined_nb_support","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1","d2"
1,"672",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
2,"926",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
3,"1110",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
4,"4605",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
5,"6569",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
6,"6683",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
7,"7324",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
8,"7942",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
9,"7955",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
10,"8482",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
11,"8739",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
12,"8841",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
13,"9271",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
14,"9936",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
15,"10986",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
16,"10988",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
17,"11527",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
18,"12220",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
19,"16357",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
20,"16970",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
21,"17644",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
22,"18903",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
23,"19175",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
24,"19850",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
25,"21012",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
26,"21102",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
27,"22472",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
28,"22831",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
29,"23669",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
30,"24206",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
31,"24210",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
32,"24797",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
33,"24864",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
34,"24944",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
35,"25630",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
36,"25923",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
37,"26562",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
38,"26603",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
39,"26618",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
40,"27115",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
41,"27331",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
42,"30241",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
43,"31694",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
44,"32791",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
45,"33631",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
46,"35074",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
47,"35207",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
48,"35811",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
49,"36051",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
50,"36548",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
51,"36995",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
52,"37354",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
53,"38230",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
54,"38721",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
55,"39382",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
56,"39984",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
57,"40007",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
58,"42137",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
59,"42185",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
60,"42356",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
61,"43370",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
62,"44033",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
63,"44053",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
64,"45323",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
65,"45864",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
66,"45865",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
67,"46451",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
68,"49195",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
69,"51143",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
70,"51725",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
71,"51791",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
72,"53096",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
73,"53920",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
74,"56090",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
75,"56131",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
76,"57412",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
77,"58526",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
78,"58912",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
79,"59575",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
80,"60651",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
81,"61768",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
82,"61884",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
83,"62248",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
84,"62250",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
85,"62844",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
86,"64861",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
87,"64932",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
88,"65617",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
89,"65774",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
90,"66389",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
91,"66785",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
92,"67386",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
93,"67764",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
94,"67867",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
95,"67942",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
96,"68806",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
97,"69589",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
98,"71654",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
99,"71719",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
100,"73210",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
101,"73234",0,0,0,0,0,0,0,0,0,0,0,0.10312070293824,0,0,0,0,0
