"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","nb1","nb2","alpha_mu","log_variance","log_nb1","log_nb2","nb_gap","log_alpha_mu","var_smooth","d1_sm","d2_sm","nb2_smooth","nb_gap_smooth","alpha_mu_smooth","combined_nb_support"
"11500","Snrnp70",35,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.00243041424919799,-0.000213486055117915,-3.25602307099477e-10,0,0,NA,0
"11734","-",36,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.00221692802723337,-0.000213486392856869,-3.49875602620756e-10,0,0,NA,0
"11758","Kcnj11",37,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.00200344145539315,-0.00021348675486912,-3.74148898142035e-10,0,0,NA,0
"12059","Prmt3",38,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.00178995450940403,-0.000213487141154666,-3.98422193663314e-10,0,0,NA,0
"12336","Cyfip1",39,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.00157646716499272,-0.000213487551713507,-4.22695489184593e-10,0,0,NA,0
"12384","Nipa1",40,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.00136297939788592,-0.000213487986545644,-4.46968784705646e-10,0,0,NA,0
"12443","-",41,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.00114949118381034,-0.000213488445651077,-4.7124208022715e-10,0,0,NA,0
"12931","Ube3a",42,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.000936002498492669,-0.000213488929029805,-4.95515375748429e-10,0,0,NA,0
"14858","-",43,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.000722513317659627,-0.000213489436681828,-5.19788671269708e-10,0,0,NA,0
"14901","-",44,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.000509023617037914,-0.000213489968607147,-5.44061966790987e-10,0,0,NA,0
"16502","-",45,0,0,0,NA,0,0,NA,0,0,0,0,NA,0.000295533372354236,-0.000213490524805762,-5.68335262312266e-10,0,0,NA,0
"16970","Fes",46,0,0,0,NA,0,0,NA,0,0,0,0,NA,8.20425593352927e-05,-0.000213491105277672,-5.92608557833545e-10,0,0,NA,0
"17119","Pde8a",47,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.000131448846292208,-0.000213491710022877,-6.16881853354824e-10,0,0,NA,0
"17197","Homer2",48,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.000344940868801562,-0.000213492339041378,-6.41155148876497e-10,0,0,NA,0
"17276","Hdgfl3",49,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.000558433532466063,-0.000213492992333175,-6.65428444397382e-10,0,0,NA,0
"17327","Adamtsl3",50,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.000771926861559009,-0.000213493669898267,-6.89701739918661e-10,0,0,NA,0
"17379","Tlnrd1",51,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.000985420880353696,-0.000213494371736655,-7.1397503543994e-10,0,0,NA,0
"17636","-",52,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00119891561312342,-0.000213495097848338,-7.38248330961219e-10,0,0,NA,0
"17662","Folh1",53,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00141241108414147,-0.000213495848233317,-7.62521626482497e-10,0,0,NA,0
"18165","-",54,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00162590731768115,-0.000213496622891591,-7.86794922003776e-10,0,0,NA,0
"19428","Tpp1",55,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00183940433801575,-0.000213497421823161,-8.11068217525055e-10,0,0,NA,0
"19850","Dennd5a",56,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00205290216941857,-0.000213498245028026,-8.35341513046165e-10,0,0,NA,0
"20801","Arl6ip1",57,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0022664008361629,-0.000213499092506187,-8.59614808567613e-10,0,0,NA,0
"20805","Smg1",58,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00247990036252204,-0.000213499964257643,-8.83888104088892e-10,0,0,NA,0
"21012","Gprc5b",59,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00269340077276929,-0.000213500860282395,-9.08161399610171e-10,0,0,NA,0
"21107","Eri2",60,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00290690209117793,-0.000213501780580442,-9.3243469513145e-10,0,0,NA,0
"22044","Taok2",61,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00312040434202127,-0.000213502725151785,-9.56707990652729e-10,0,0,NA,0
"22297","-",62,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0033339075495726,-0.000213503693996424,-9.80981286174008e-10,0,0,NA,0
"22347","Hsd3b7",63,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00354741173810522,-0.000213504687114358,-1.00525458169529e-09,0,0,NA,0
"22472","Rusf1",64,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00376091693189241,-0.000213505704505587,-1.02952787721657e-09,0,0,NA,0
"22789","Cuzd1",65,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00397442315520749,-0.000213506746170112,-1.05380117273784e-09,0,0,NA,0
"22825","-",66,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00418793043232374,-0.000213507812107933,-1.07807446825912e-09,0,0,NA,0
"22966","-",67,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00440143878751445,-0.000213508902319049,-1.1023477637804e-09,0,0,NA,0
"22967","-",68,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00461494824505293,-0.00021351001680346,-1.12662105930168e-09,0,0,NA,0
"23297","-",69,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00482845882921247,-0.000213511155561167,-1.15089435482296e-09,0,0,NA,0
"24206","Cars",70,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00504197056426637,-0.00021351231859217,-1.17516765034424e-09,0,0,NA,0
"24252","Mrgpre",71,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00525548347448791,-0.000213513505896468,-1.19944094586552e-09,0,0,NA,0
"24364","Ano1",72,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0054689975841504,-0.000213514717474062,-1.2237142413868e-09,0,0,NA,0
"24864","Rbm14",73,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00568251291752713,-0.000213515953324951,-1.24798753690808e-09,0,0,NA,0
"25473","Arl2",74,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0058960294988914,-0.000213517213449135,-1.27226083242935e-09,0,0,NA,0
"25630","Vegfb",75,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0061095473525165,-0.000213518497846616,-1.29653412795063e-09,0,0,NA,0
"25853","Rtn3",76,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00632306650267573,-0.000213519806517391,-1.32080742347191e-09,0,0,NA,0
"26562","Lpxn",77,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00653658697364238,-0.000213521139461463,-1.34508071899319e-09,0,0,NA,0
"28553","LOC120100022",78,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00675010878968975,-0.000213522496678829,-1.36935401451447e-09,0,0,NA,0
"28759","Pcgf5",79,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00696363197509114,-0.000213523878169492,-1.39362731003575e-09,0,0,NA,0
"29511","Exosc1",80,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00717715655411984,-0.000213525283933449,-1.41790060555703e-09,0,0,NA,0
"30241","Borcs7",81,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00739068255104914,-0.000213526713970703,-1.44217390107831e-09,0,0,NA,0
"30514","-",82,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00760420999015234,-0.000213528168281252,-1.46644719659959e-09,0,0,NA,0
"31054","-",83,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00781773889570274,-0.000213529646865096,-1.49072049212087e-09,0,0,NA,0
"31074","-",84,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00803126929197363,-0.000213531149722236,-1.51499378764214e-09,0,0,NA,0
"33486","LOC686007",85,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00824480120323831,-0.000213532676852671,-1.53926708316342e-09,0,0,NA,0
"34554","Rnf217",86,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00845833465377007,-0.000213534228256402,-1.5635403786847e-09,0,0,NA,0
"34738","-",87,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00867186966784221,-0.000213535803933429,-1.58781367420598e-09,0,0,NA,0
"35099","Ube2ql1",88,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00888540626972802,-0.000213537403883751,-1.61208696972726e-09,0,0,NA,0
"35207","Adcy2",89,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00909894448370081,-0.000213539028107368,-1.63636026524854e-09,0,0,NA,0
"35342","LOC102549842",90,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00931248433403386,-0.000213540676604281,-1.66063356076982e-09,0,0,NA,0
"35804","Esr1",91,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00952602584500047,-0.000213542349374489,-1.6849068562911e-09,0,0,NA,0
"36502","Tmem181",92,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00973956904087394,-0.000213544046417994,-1.70918015181238e-09,0,0,NA,0
"36945","Qk",93,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.00995311394592756,-0.000213545767734793,-1.73345344733365e-09,0,0,NA,0
"37691","LOC100365363",94,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0101666605844346,-0.000213547513324888,-1.75772674285493e-09,0,0,NA,0
"37858","LOC682225",95,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0103802089806684,-0.000213549283188279,-1.78200003837621e-09,0,0,NA,0
"38593","Leng8",96,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0105937591589023,-0.000213551077324965,-1.80627333389749e-09,0,0,NA,0
"38926","LOC102549530",97,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0108073111434095,-0.000213552895734947,-1.83054662941877e-09,0,0,NA,0
"39525","Sympk",98,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0110208649584633,-0.000213554738418224,-1.85481992494005e-09,0,0,NA,0
"39747","Exoc3l2",99,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.011234420628337,-0.000213556605374797,-1.87909322046133e-09,0,0,NA,0
"39984","Zfp574",100,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.011447978177304,-0.000213558496604665,-1.90336651598261e-09,0,0,NA,0
"40007","LOC103691054",101,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0116615376296374,-0.000213560412107828,-1.92763981150389e-09,0,0,NA,0
"40151","Lipe",102,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0118750990096107,-0.000213562351884288,-1.95191310702517e-09,0,0,NA,0
"40563","Eid2",103,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0120886623414971,-0.000213564315934043,-1.97618640254644e-09,0,0,NA,0
"40877","LOC103690163",104,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0123022276495699,-0.000213566304257093,-2.00045969806772e-09,0,0,NA,0
"40922","Zfp14",105,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0125157949581024,-0.000213568316853439,-2.024732993589e-09,0,0,NA,0
"41242","-",106,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0127293642913679,-0.00021357035372308,-2.04900628911028e-09,0,0,NA,0
"41341","Rhpn2",107,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0129429356736397,-0.000213572414866017,-2.07327958463156e-09,0,0,NA,0
"41591","LOC102548320",108,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.013156509129191,-0.000213574500282249,-2.09755288015284e-09,0,0,NA,0
"41750","-",109,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0133700846822952,-0.000213576609971777,-2.12182617567412e-09,0,0,NA,0
"42016","Lrrc4b",110,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0135836623572257,-0.000213578743934601,-2.1460994711954e-09,0,0,NA,0
"42030","Lrrc4b",111,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0137972421782555,-0.00021358090217072,-2.17037276671668e-09,0,0,NA,0
"42356","Tulp2",112,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0140108241696582,-0.000213583084680134,-2.19464606223795e-09,0,0,NA,0
"43888","Gabrb3",113,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0142244083557069,-0.000213585291462844,-2.21891935775923e-09,0,0,NA,0
"44030","Gabrb3",114,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.014437994760675,-0.00021358752251885,-2.24319265328051e-09,0,0,NA,0
"44156","Ube3a",115,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0146515834088357,-0.000213589777848151,-2.26746594880179e-09,0,0,NA,0
"44165","LOC102548730",116,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0148651743244624,-0.000213592057450747,-2.29173924432307e-09,0,0,NA,0
"44628","Trpm1",117,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0150787675318283,-0.000213594361326639,-2.31601253984435e-09,0,0,NA,0
"45323","Mctp2",118,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0152923630552068,-0.000213596689475827,-2.34028583536563e-09,0,0,NA,0
"46126","-",119,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0155059609188711,-0.00021359904189831,-2.36455913088691e-09,0,0,NA,0
"46486","-",120,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0157195611470945,-0.000213601418594089,-2.38883242640819e-09,0,0,NA,0
"47506","Dlg2",121,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0159331637641503,-0.000213603819563163,-2.41310572192946e-09,0,0,NA,0
"49550","Map6",122,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0161467687943119,-0.000213606244805533,-2.43737901745074e-09,0,0,NA,0
"49779","Pgm2l1",123,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0163603762618525,-0.000213608694321198,-2.46165231297202e-09,0,0,NA,0
"49780","Pgm2l1",124,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0165739861910454,-0.000213611168110158,-2.4859256084933e-09,0,0,NA,0
"50560","-",125,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0167875986061639,-0.000213613666172415,-2.51019890401458e-09,0,0,NA,0
"51131","-",126,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0170012135314813,-0.000213616188507967,-2.53447219953586e-09,0,0,NA,0
"51725","Sox6",127,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0172148309912709,-0.000213618735116814,-2.55874549505714e-09,0,0,NA,0
"51746","RGD1311703",128,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.0174284510098061,-0.000213621305998957,-2.58301879057842e-09,0,0,NA,0
"52285","Vwa3a",129,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.01764207361136,-0.000213623901154395,-2.6072920860997e-09,0,0,NA,0
