"index_left","index_right","rank","d2_left","d2_right","crossing_type","local_support"
26,27,26.4536186965685,-1.31021266665659e-09,1.57814417702744e-09,"neg_to_pos",0
1053,1054,1053.13508029988,3.89023282122798e-09,-2.49091763047269e-08,"pos_to_neg",0.0683781360774362
1816,1817,1816.58522424561,-2.30326216870908e-09,1.63242946740914e-09,"neg_to_pos",0.214227397663939
2381,2382,2381.56288422805,1.6264814878513e-09,-1.2630673870472e-09,"pos_to_neg",0.176613512032998
2772,2773,2772.91525640424,-3.15254337485315e-09,2.9189400931104e-10,"neg_to_pos",0.244453502024208
2943,2944,2943.51855284607,2.55754449847225e-09,-2.37453622936138e-09,"pos_to_neg",0.175812864116633
3657,3658,3657.63183975533,-2.8932975361675e-09,1.68586594911757e-09,"neg_to_pos",0.294367409803669
3778,3779,3778.27290977808,6.7644637277777e-10,-1.80219831899546e-09,"pos_to_neg",0.345588829917555
3906,3907,3906.14480424098,-5.21237659216989e-10,3.07836450506705e-09,"neg_to_pos",0.398590721151858
4571,4572,4571.96337737229,2.74857396831346e-09,-1.04486574073504e-10,"pos_to_neg",0.381121863834745
5065,5066,5065.20157990085,-5.69411860254687e-10,2.2553333541594e-09,"neg_to_pos",0.379673842349297
5117,5118,5117.8314814318,1.79498890213427e-09,-3.6379520714622e-10,"pos_to_neg",0.400818335783621
5806,5807,5806.57751825306,-3.35832541266193e-09,2.45677288915503e-09,"neg_to_pos",0.513533254525688
6427,6428,6427.58170218418,2.98879872329535e-09,-2.14922345463968e-09,"pos_to_neg",0.575667367150981
7242,7243,7242.42114459242,-1.78027457018243e-09,2.44695427765168e-09,"neg_to_pos",0.468981084095361
7264,7265,7264.08545073329,7.14803004273345e-11,-7.6502861739086e-10,"pos_to_neg",0.462794184557829
7494,7495,7494.32865806493,-3.96129478489623e-10,8.09164170918438e-10,"neg_to_pos",0.506976789951965
7570,7571,7570.72102292383,3.1013080283097e-09,-1.19995331279549e-09,"pos_to_neg",0.492935779312449
8196,8197,8196.46307462734,-2.4415015833225e-10,2.8308701666313e-10,"neg_to_pos",0.464852458146212
8743,8744,8743.92926293947,1.42035092756412e-08,-1.08119505544592e-09,"pos_to_neg",0.60076370956047
9373,9374,9373.02824934604,-2.20240112231438e-10,7.57605053274136e-09,"neg_to_pos",0.475012702216895
10344,10345,10344.8815218135,8.43647941889775e-09,-1.13387867025477e-09,"pos_to_neg",0.385687569451781
11070,11071,11070.8675784236,-3.31777653219867e-08,5.06404016941762e-09,"neg_to_pos",0.562931011769215
11928,11929,11928.1109634849,3.62089248700502e-09,-2.90104951346011e-08,"pos_to_neg",0.648990226538059
13437,13438,13437.6936684516,-1.59167603011813e-08,7.02901482167046e-09,"neg_to_pos",0.678767533164137
13746,13747,13746.5472777401,9.73440000824577e-09,-8.05254671775504e-09,"pos_to_neg",0.728581761686805
14047,14048,14047.9942820958,-2.69781700283977e-08,1.55145699860143e-10,"neg_to_pos",0.70670617270555
14781,14782,14781.3616691433,1.09968363489328e-08,-1.94089545558771e-08,"pos_to_neg",0.706799751064779
16249,16250,16249.5396507527,-1.30353542025249e-08,1.11198130755137e-08,"neg_to_pos",0.575522813709671
