"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","nb1","nb2","alpha_mu","log_variance","log_nb1","log_nb2","nb_gap","log_alpha_mu","var_smooth","d1_sm","d2_sm","nb2_smooth","nb_gap_smooth","alpha_mu_smooth","combined_nb_support"
"615","-",1,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.341982315734626,0.000705482921973194,-7.3519133758757e-08,0,0,NA,0
"1576","-",2,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.341276869090827,0.000705410847017857,-7.06307769150729e-08,0,0,NA,0
"2563","LOC100910237",3,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.340571493077804,0.000705341660419364,-6.77424200713889e-08,0,0,NA,0
"4092","Mtrf1l",4,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.339866184807202,0.000705275362177714,-6.48540632277049e-08,0,0,NA,0
"4175","-",5,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.339160941390663,0.000705211952292909,-6.19657063840209e-08,0,0,NA,0
"4303","Tfb1m",6,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.338455759939831,0.000705151430764946,-5.90773495403369e-08,0,0,NA,0
"5091","Prkn",7,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.337750637566348,0.000705093797593828,-5.61889926966529e-08,0,0,NA,0
"6569","Prkcg",8,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.337045571381858,0.000705039052779553,-5.33006358529689e-08,0,0,NA,0
"7344","-",9,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.336340558498003,0.000704987196322122,-5.04122790092848e-08,0,0,NA,0
"7829","Npas1",10,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.335635596026428,0.000704938228221535,-4.75239221656008e-08,0,0,NA,0
"7955","Fkrp",11,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.334930681078774,0.000704892148477791,-4.46355653219168e-08,0,0,NA,0
"8233","Relb",12,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.334225810766687,0.000704848957090891,-4.17472084782328e-08,0,0,NA,0
"8739","Tmem91",13,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.333520982201807,0.000704808654060834,-3.88588516345488e-08,0,0,NA,0
"9340","Plekhg2",14,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.332816192495779,0.000704771239387622,-3.59704947908648e-08,0,0,NA,0
"10879","LOC102555051",15,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.332111438760246,0.000704736713071253,-3.30821379471807e-08,0,0,NA,0
"11859","Tph1",16,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.331406718106851,0.000704705075111727,-3.01937811034967e-08,0,0,NA,0
"11945","Spty2d1",17,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.330702027647237,0.000704676325509046,-2.73054242598127e-08,0,0,NA,0
"12443","-",18,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.329997364493048,0.000704650464263208,-2.44170674161287e-08,0,0,NA,0
"14901","-",19,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.329292725755925,0.000704627491374213,-2.15287105724447e-08,0,0,NA,0
"15086","Mkrn3",20,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.328588108547513,0.000704607406842063,-1.86403537287607e-08,0,0,NA,0
"15183","-",21,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.327883509979455,0.000704590210666756,-1.57519968850767e-08,0,0,NA,0
"15943","Nr2f2",22,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.327178927163394,0.000704575902848293,-1.28636400413926e-08,0,0,NA,0
"15997","-",23,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.326474357210973,0.000704564483386673,-9.97528319770862e-09,0,0,NA,0
"16805","Anpep",24,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.325769797233835,0.000704555952281897,-7.08692635402461e-09,0,0,NA,0
"17276","Hdgfl3",25,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.325065244343624,0.000704550309533965,-4.19856951034059e-09,0,0,NA,0
"17327","Adamtsl3",26,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.324360695651982,0.000704547555142877,-1.31021266665659e-09,0,0,NA,0
"17662","Folh1",27,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.323656148270552,0.000704547689108631,1.57814417702744e-09,0,0,NA,0
"18017","Dlg2",28,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.322951599310979,0.000704550711431231,4.46650102071146e-09,0,0,NA,0
"18057","LOC100361001",29,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.322247045884904,0.000704556622110673,7.35485786439547e-09,0,0,NA,0
"18159","-",30,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.321542485103972,0.000704565421146959,1.02432147080795e-08,0,0,NA,0
"18903","Fam168a",31,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.320837914079825,0.000704577108540089,1.31315715517635e-08,0,0,NA,0
"18905","Fam168a",32,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.320133329924106,0.000704591684290063,1.60199283954475e-08,0,0,NA,0
"19175","-",33,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.319428729748459,0.00070460914839688,1.89082852391315e-08,0,0,NA,0
"20285","Mical2",34,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.318724110664527,0.000704629500860541,2.17966420828156e-08,0,0,NA,0
"22275","Ccdc189",35,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.318019469783952,0.000704652741681046,2.46849989264996e-08,0,0,NA,0
"22781","-",36,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.317314804218379,0.000704678870858394,2.75733557701836e-08,0,0,NA,0
"22831","-",37,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.31661011107945,0.000704707888392586,3.04617126138676e-08,0,0,NA,0
"22963","-",38,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.315905387478808,0.000704739794283622,3.33500694575516e-08,0,0,NA,0
"23058","-",39,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.315200630528097,0.000704774588531501,3.62384263012356e-08,0,0,NA,0
"23773","Pidd1",40,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.31449583733896,0.000704812271136224,3.91267831449187e-08,0,0,NA,0
"23880","Dusp8",41,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.313791005023039,0.000704852842097791,4.20151399886036e-08,0,0,NA,0
"24206","Cars",42,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.313086130691978,0.000704896301416202,4.49034968322877e-08,0,0,NA,0
"24516","Chka",43,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.312381211457421,0.000704942649091456,4.77918536759717e-08,0,0,NA,0
"24944","Npas4",44,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.31167624443101,0.000704991885123554,5.06802105196557e-08,0,0,NA,0
"25351","LOC120097382",45,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.310971226724388,0.000705044009512495,5.35685673633397e-08,0,0,NA,0
"25496","Majin",46,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.310266155449199,0.00070509902225828,5.64569242070237e-08,0,0,NA,0
"25630","Vegfb",47,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.309561027717086,0.000705156923360909,5.93452810507077e-08,0,0,NA,0
"27113","Aldh1a1",48,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.308855840639692,0.000705217712820382,6.22336378943926e-08,0,0,NA,0
"27115","Aldh1a1",49,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.30815059132866,0.000705281390636698,6.51219947380758e-08,0,0,NA,0
"27946","RGD1311595",50,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.307445276895633,0.000705347956809858,6.80103515817598e-08,0,0,NA,0
"30561","Sorcs1",51,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.306739894452254,0.000705417411339861,7.08987084254438e-08,0,0,NA,0
"30795","-",52,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.306034441110168,0.000705489754226709,7.37870652691278e-08,0,0,NA,0
"31054","-",53,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.305328913981015,0.0007055649854704,7.66754221128118e-08,0,0,NA,0
"31291","Fam160b1",54,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.304623310176441,0.000705643105070934,7.95637789564959e-08,0,0,NA,0
"32097","Grm1",55,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.303917626808088,0.000705724113028313,8.24521358001799e-08,0,0,NA,0
"33459","Tmem200a",56,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.303211860987599,0.000705808009342534,8.53404926438632e-08,0,0,NA,0
"33464","-",57,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.302506009826617,0.0007058947940136,8.82288494875479e-08,0,0,NA,0
"34738","-",58,0,0,0,NA,0,0,NA,0,0,0,0,NA,-0.301800070436786,0.00070598446704151,9.11172063312319e-08,0,0,NA,0
