"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","var_ctrl","var_trt","alpha_emp_ctrl","alpha_emp_trt","alpha_mu_ctrl","alpha_mu_trt","log_alpha_mu_ctrl","log_alpha_mu_trt","gene_symbol"
"20",0.00344609009844564,0.00607135809635737,16479,8989,1.4,2.2,3.8,24.2,1.22448979591837,4.54545454545454,1.71428571428571,10,0.538996500732687,2.30258509299405,"-"
"25",0.00491974724186247,0.00346903366113377,12014,19414,8,20.8,35.5,151.7,0.4296875,0.302561020710059,3.4375,6.29326923076923,1.23474446299269,1.83948068620858,"-"
"31",0.00424592428329568,0.00154019095991372,13940,26911,26.6,24.6,186.3,97.3,0.225705240544971,0.120133518408355,6.00375939849624,2.95528455284553,1.79238583943331,1.08359494160116,"Pcmt1"
"35",0.00364962387515268,0.00230387404305889,15822,24487,151.6,142.2,2563.3,4092.2,0.104936090670491,0.195343022347242,15.9083113456464,27.7777777777778,2.76684169879375,3.32423634052603,"Pcmt1"
"37",0.00246183477260198,0.00670200337891512,20532,7441,156.2,120.2,2298.7,6875.7,0.087812991322396,0.467572072059601,13.7163892445583,56.2021630615641,2.61859141306635,4.02895524479891,"Pcmt1"
"38",0.00085335077549729,0.00553647623387631,27325,10630,58.6,49.6,264.8,776.3,0.0600472923388741,0.295387291883455,3.51877133105802,14.6512096774194,1.25811187499989,2.68452290389171,"Pcmt1"
"89",0.00190049897640163,0.00369838201726606,22909,18143,55,57.6,435.5,722.8,0.125785123966942,0.200496720679012,6.91818181818182,11.5486111111111,1.93415299206927,2.44656517961693,"Tab2"
"90",0.00372977843036486,0.00536542830643088,15526,11244,28.8,17.2,209.7,132.7,0.218098958333333,0.390413737155219,6.28125,6.71511627906977,1.83756900525935,1.90436114614244,"Tab2"
"143",0.00924311322590416,0.00355430008808206,3272,19053,26.8,18,442.2,98.5,0.578358208955224,0.248456790123457,15.5,4.47222222222222,2.7408400239252,1.49788542652835,"Ust"
"214",0.00315405358096654,3.85353860451597e-05,17564,30817,4.6,2.8,2.8,10.7,-0.0850661625708885,1.00765306122449,-0.391304347826087,2.82142857142857,NA,1.03724334229182,"LOC365036"
"224",0.00316117090313224,0.00579023409436586,17537,9828,53.6,55.8,582.3,1285.2,0.184026230786367,0.394843334489536,9.86380597014925,22.0322580645161,2.28887209516465,3.09250765508564,"Sash1"
