"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","alpha_mu","log_alpha_mu","log_mu","log_alpha"
"284696","-",1,0.0243916132996862,178.8,58378.7,1.82048543859386,325.502796420582,5.78537105276558,5.18626786273941,0.599103190026167
"329429","Mdk",2,0.0237670078200038,257.8,321492.2,4.83343875882399,1246.06051202483,7.12774226319611,5.55218409050509,1.57555817269102
"157795","-",3,0.0232909234975469,134.8,19487.7,1.06504085621957,143.567507418398,4.96680535955125,4.90379219847821,0.0630131610730414
"248384","-",4,0.021164434301013,41,2873,1.68471148126115,69.0731707317073,4.2351663881093,3.71357206670431,0.521594321404995
"490306","-",5,0.0209938048810717,33.6,3268.8,2.8656462585034,96.2857142857143,4.56731996185699,3.51452606696916,1.05279389488784
"359327","-",6,0.0195688520886116,28.4,1562.3,1.90178040071414,54.0105633802817,3.9891796455869,3.34638914516716,0.642790500419743
"400629","-",7,0.0194475552379491,23.6,1524.8,2.69534616489514,63.6101694915254,4.1527733552293,3.16124671203156,0.991526643197737
"257893","Prkaca",8,0.0192966598082534,33.2,1563.7,1.38853607199884,46.0993975903614,3.83079988246302,3.50254987592244,0.328250006540581
"135069","Atp2b4",9,0.0191848692889856,40,1759.5,1.0746875,42.9875,3.76090937575838,3.68887945411394,0.0720299216444483
"86681","LOC102553022",10,0.0190498212812448,33.2,4179.2,3.76143126723762,124.879518072289,4.82734941707328,3.50254987592244,1.32479954115084
"191103","Pcdh9",11,0.0185438055603727,32.4,1361.3,1.26590839811004,41.0154320987654,3.71394838853918,3.47815842279828,0.235789965740895
"71209","Vamp2",12,0.0184033536487714,122.8,67393.7,4.46098234464026,547.808631921824,6.30592601413788,4.81055701571304,1.49536899842484
"382958","-",13,0.0183840772986004,19.4,1083.8,2.82814326708471,54.8659793814433,4.00489347303425,2.96527306606928,1.03962040696497
"415735","Atp5if1",14,0.0181447982813026,33.2,4587.2,4.13158658731311,137.168674698795,4.92121137070124,3.50254987592244,1.4186614947788
"416922","-",15,0.0180323975271128,51.6,4068.3,1.5085857220119,77.843023255814,4.35469427648393,3.94352167248752,0.41117260399641
"484764","Tuba1a",16,0.0179782157486153,49.2,3832.7,1.56301639235905,76.900406504065,4.34251116263631,3.89589362349826,0.446617539138051
"151381","Rab3gap2",17,0.0178302098891352,15,422,1.80888888888889,27.1333333333333,3.30076298434038,2.70805020110221,0.592712783238175
"299528","Fbxw7",18,0.0177861345758025,22.4,1740.8,3.42474489795918,76.7142857142857,4.34008794545355,3.10906095886099,1.23102698659256
"32631","LOC365050",19,0.0177429364051697,103.2,8279.7,0.767729177934019,79.2296511627907,4.37235061212498,4.63666885304746,-0.264318240922479
"28553","LOC120100022",20,0.0177012463021,21.4,697.8,1.47698488951,31.607476635514,3.45339369499662,3.06339092202781,0.390002772968814
"242641","Srp19",21,0.0176131688070218,26.4,836.3,1.16204660238751,30.6780303030303,3.42354677310267,3.27336401015227,0.150182762950403
"534198","-",22,0.0175948665560183,43.4,1734.3,0.897714965278515,38.9608294930876,3.66255676943802,3.77045944110636,-0.107902671668335
"533837","Spats1",23,0.017524008752399,14.4,449.3,2.09731867283951,30.2013888888889,3.40788791302164,2.66722820658195,0.740659706439683
"143650","Cntnap5b",24,0.0175178361930971,14.4,406.8,1.89236111111111,27.25,3.30505352110925,2.66722820658195,0.637825314527298
