"crossing_id","percentile_left","percentile_right","rank_left","rank_right","crossing_percentile","crossing_rank","regime_difference_left","regime_difference_right"
"crossing_1",0.02,0.025,614,766,0.0227957381209399,699,0.140475276283648,-0.110755830148487
"crossing_2",0.285,0.29,8738,8892,0.289716503332672,8883,-0.400283089181409,0.0240599685331568
"crossing_3",0.295,0.3,9045,9198,0.296661815747002,9096,0.190847618289598,-0.383366516562249
"crossing_4",0.485,0.49,14870,15024,0.489566941242547,15011,-0.68051152927177,0.0645292903165367
"crossing_5",0.49,0.495,15024,15177,0.490411260692143,15037,0.0645292903165367,-0.720000954725017
"crossing_6",0.54,0.545,16556,16710,0.544979579507852,16709,-1.67444970611013,0.00686666153666832
"crossing_7",0.545,0.55,16710,16863,0.545038347241907,16711,0.00686666153666832,-0.888459989761358
"crossing_8",0.75,0.755,22995,23148,0.75479139548973,23142,-0.625763929603029,0.0272440833488917
"crossing_9",0.755,0.76,23148,23302,0.755100026887713,23151,0.0272440833488917,-1.3345939169983
"crossing_10",0.87,0.875,26674,26828,0.874473669918934,26812,-0.547868623819104,0.0644570883443655
"crossing_11",0.875,0.88,26828,26981,0.876844950689213,26884,0.0644570883443655,-0.110228036632799
"crossing_12",0.995,1,30506,30660,0.999410670041357,30642,-0.205700820822964,0.0274846350082258
