"feature_id","rank","mu","variance","alpha_gene_wise","iod_emp","cv2_emp","iod_nb","cv2_nb","diff_emp","diff_nb","log_ratio_emp","log_ratio_nb"
"284696",1,178.8,58378.7,3.22186834253987,326.502796420582,1.82607827975717,577.070059646128,3.22746118370318,324.676718140824,573.842598462425,5.18626786273941,5.18626786273941
"329429",2,257.8,321492.2,6.19295040732051,1247.06051202483,4.83731773477434,1597.54261500723,6.19682938327086,1242.22319429005,1591.34578562396,5.55218409050509,5.55218409050509
"157795",3,134.8,19487.7,7.16671198851396,144.567507418398,1.07245925384568,967.072776051682,7.17413038614008,143.495048164552,959.898645665542,4.90379219847821,4.90379219847821
"248384",4,41,2873,4.7315792120887,70.0731707317073,1.70910172516359,194.994747695637,4.75596945599114,68.3640690065437,190.238778239646,3.71357206670431,3.71357206670431
"490306",5,33.6,3268.8,3.33172533253232,97.2857142857143,2.89540816326531,112.945971173086,3.36148723729422,94.390306122449,109.584483935792,3.51452606696916,3.51452606696916
"359327",6,28.4,1562.3,6.84169133081008,55.0105633802817,1.93699166831978,195.304033795006,6.87690259841572,53.0735717119619,188.427131196591,3.34638914516716,3.34638914516716
"400629",7,23.6,1524.8,3.94557833293048,64.6101694915254,2.73771904625108,94.1156486571594,3.98795121428642,61.8724504452743,90.127697442873,3.16124671203156,3.16124671203156
"257893",8,33.2,1563.7,1.71527858383757,47.0993975903614,1.41865655392655,57.9472489834075,1.74539906576528,45.6807410364349,56.2018499176422,3.50254987592244,3.50254987592244
"135069",9,40,1759.5,1.67886303216138,43.9875,1.0996875,68.1545212864551,1.70386303216138,42.8878125,66.4506582542937,3.68887945411394,3.68887945411394
"86681",10,33.2,4179.2,3.63469656916447,125.879518072289,3.79155174916534,121.67192609626,3.66481705109218,122.087966323124,118.007109045168,3.50254987592244,3.50254987592244
"191103",11,32.4,1361.3,1.78738258476962,42.0154320987654,1.29677259564091,58.9111957465357,1.81824678230048,40.7186595031245,57.0929489642352,3.47815842279828,3.47815842279828
