"percentile","rank_index","lo_rank","hi_rank","n_bin","mu","variance","alpha_gene_wise","iod_emp","cv2_emp","iod_nb","cv2_nb","diff_emp","diff_nb","log_ratio_emp","log_ratio_nb","iod_emp_scaled","cv2_emp_scaled","iod_nb_scaled","cv2_nb_scaled"
0.01,316,1,316,316,12.2,193.65,1.4003539165857,16.4995015507311,1.29402671252333,19.3129303527006,1.47156905168156,15.2827078264429,17.626130577918,2.50143595173921,2.50143595173921,1,0.234918131736196,1,0.560286403035976
0.02,632,317,632,316,7.8,90.05,1.32646580735538,12.1269365317341,1.2593891723356,14.4383477879764,1.47167140987928,10.6625367901662,12.5523592526309,2.05412373369555,2.05412373369555,0.676094335589737,0.227767364069185,0.662396798893406,0.560330899888251
0.03,947,633,947,315,6.6,63.5,1.26543209235334,9.33333333333333,1.25408982748364,12.9703907768918,1.41666824351916,7.87143503847895,11.1122250588045,1.88706964903238,1.88706964903238,0.469153124619654,0.226673337656849,0.560729224398834,0.536420086462671
0.04,1263,948,1263,316,5.8,62.65,1.56165375176688,8.5,1.21875,12.9873751571895,1.76178761098559,6.96048721226336,10.6904304223019,1.75785791755237,1.75785791755237,0.407422450327594,0.219377585869681,0.561905526385969,0.686449354796337
0.05,1579,1264,1579,316,5.6,52.5,1.44309252706609,7.91118421052632,1.18055555555556,12.5192341028221,1.69761819198999,6.39689120741272,10.3509319553025,1.7227665977411,1.7227665977411,0.363804855465967,0.211492510979476,0.529483074529767,0.658553815198021
0.06,1895,1580,1895,316,6.6,48.45,1.51896989325087,7.58510638297872,1.10747409590803,11.3627988431691,1.70407449451576,6.34441924918115,9.52015872860878,1.88706964903238,1.88706964903238,0.339650050466524,0.196405165403749,0.449390832712647,0.661360479892596
0.07,2211,1896,2211,316,6.4,40.05,1.13436450111628,7.3322440087146,1.06401384083045,10.5941687460741,1.37044726741843,6.05011033956579,8.2889448910013,1.85629799036563,1.85629799036563,0.320918812626825,0.187432987093036,0.396157150074054,0.516327040752232
0.08,2526,2212,2526,315,5.8,34.7,1.35472936485761,6.66666666666667,1.09607376561571,11.2394317235326,1.5642025089475,5.626953125,8.7147579171029,1.75785791755237,1.75785791755237,0.271614966885063,0.194051617409123,0.440846688891602,0.600555744970773
0.09,2842,2527,2842,316,6,33.5,1.24923165826294,7.95238095238095,1.07140064598746,11.5588600784109,1.42897880539937,6,8.47533241721526,1.79175946922805,1.79175946922805,0.366856578649955,0.188957960494524,0.462969616075464,0.541771697429111
0.1,3158,2843,3158,316,5.6,31.2,1.43256383331277,7.42105263157895,1.044921875,10.8139975349165,1.63965539884528,5.14722504218022,8.24968802823766,1.7227665977411,1.7227665977411,0.327497472033664,0.183491534806872,0.411382023552586,0.633356401590327
0.11,3474,3159,3474,316,5.6,29.65,1.07084966968239,6.66666666666667,1.00295857988166,8.9095499068705,1.25044747665656,4.67264927670052,6.72260398969459,1.7227665977411,1.7227665977411,0.271614966885063,0.174828397288817,0.279484039052131,0.464161087446387
0.12,3790,3475,3790,316,5.6,30,1.17024814763105,7.10416666666667,1.02253472052423,9.53734077465782,1.41795539881207,4.40816326530612,7.48327339283646,1.7227665977411,1.7227665977411,0.304023570888394,0.178869805333184,0.322963496785446,0.536979634795891
0.13,4105,3791,4105,315,6.8,44.3,0.769268476385293,6.75,0.835485537190083,9.32973321208226,0.976901161481666,5.1953125,7.2522623629053,1.91692261218206,1.91692261218206,0.277788034314269,0.140254324987952,0.30858503939575,0.345245844229701
0.14,4421,4106,4421,316,5.3,24.2,1.27479889612784,7.95394736842105,0.971074380165289,10.0570601042737,1.46147692645665,3.48979591836735,6.375,1.66752878957881,1.66752878957881,0.366972613752007,0.168246044639507,0.358958150076384,0.555899184275865
0.15,4737,4422,4737,316,7.8,57.65,0.722861872392618,8.38768796992481,0.808548675767826,9.88772063201944,0.891036107034588,7.09943659506926,7.81267433764636,2.05412373369555,2.05412373369555,0.399102733510412,0.134693328546951,0.347230059076252,0.307918842303683
0.16,5053,4738,5053,316,5.4,27.75,1.17411638671592,7,0.931391960877383,9.18349777333212,1.37287240397066,3.79709453638768,5.35159575659913,1.68639895357023,1.68639895357023,0.296307236601886,0.160053783894236,0.298457084523358,0.517381288925006
0.17,5369,5054,5369,316,5.6,30.65,1.29047631154931,5.66927083333333,0.958502965947564,9.72264014942543,1.56273264593604,4.65118719664174,6.92225750554299,1.7227665977411,1.7227665977411,0.197731066091754,0.165650731524618,0.335796936624441,0.599916770479774
0.18,5684,5370,5684,315,6.2,42.2,0.942835008914244,6.91666666666667,0.836218836565097,8.97230936605811,1.11495852126721,5.77627471383975,6.96344967473949,1.82454929205105,1.82454929205105,0.290134169172681,0.140405711415298,0.283830625460326,0.405261730410639
0.19,6000,5685,6000,316,4.3,17.3,1.39240510693405,6,1.09375,9.7602351409543,1.71861683114786,3.06944444444444,4.37479424056659,1.45834453310677,1.45834453310677,0.222230427451415,0.193571886229009,0.338400685625959,0.667682281363176
0.2,6316,6001,6316,316,5.2,30.95,1.05589038584387,5.86681547619048,0.931952662721893,8.75756037030243,1.31278906774673,4.659375,6.78628168166107,1.64865862558738,1.64865862558738,0.21236454289938,0.160169538321335,0.268957567626368,0.491262039116173
0.21,6632,6317,6632,316,9.1,71.05,0.471068966778633,8.06300080128205,0.664014981616456,8.24689426328464,0.570145572849786,7.04259657118056,6.08077695535857,2.20821403069561,2.20821403069561,0.375050944085255,0.104854983753135,0.233589921240918,0.168422260548884
0.22,6948,6633,6948,316,9.9,90.65,0.39022375953987,8.42791390280222,0.610339689152379,7.90415252716162,0.503211457354071,7.61458031247863,6.68015523816705,2.29248373933529,2.29248373933529,0.402082542263071,0.0937739559495097,0.209852358950902,0.139324860283858
0.23,7263,6949,7263,315,1.8,5,1.82770755830695,5,1.58119658119658,7.11306650159888,2.48306287642722,0.666666666666667,2.16666666666667,0.587786664902119,0.587786664902119,0.148153618300943,0.294203086750859,0.155063426558332,1
0.24,7579,7264,7579,316,7.7,50.55,0.668704860868654,7.32465277777778,0.778842943086617,7.67890970484294,0.846120414956898,5.79286775736628,5.7566787543934,2.04113599049392,2.04113599049392,0.320356478461501,0.128560710825532,0.194252521050655,0.288393225794283
0.25,7895,7580,7895,316,13.3,110.25,0.303179828049071,9.06492248062015,0.590476532414369,8.4619629424775,0.388096112226459,8.07984567291,6.88738174540127,2.58750957510177,2.58750957510177,0.449270105109304,0.0896732946959362,0.248485119668515,0.0892822587044119
0.26,8211,7896,8211,316,7.3,47.25,0.542134530136758,6.74342105263158,0.605056972494166,8.15022913868913,0.727976414657231,5.03125,6.04301084259174,1.98778051311607,1.98778051311607,0.277300686885647,0.0926833623545607,0.226895100696697,0.237034016216758
0.27,8527,8212,8527,316,12.3,96.85,0.315758097700999,8.45294784580499,0.534536283521673,7.15826817924558,0.406933484686879,7.37619579081633,6.39236524462557,2.5095662121751,2.5095662121751,0.403936976881171,0.0781246766099416,0.158193998431162,0.0974711854178351
0.28,8842,8528,8842,315,3.6,12.3,1.47028659936567,4,1.08487654320988,7.53642895756175,2.08549120021175,2.513671875,2.63666512976939,1.28093384546206,1.28093384546206,0.0740768091504716,0.191740000143406,0.18438460810847,0.827168819499539
0.29,9158,8843,9158,316,7,49.6,0.730559393674593,6.79589503484321,0.814468067930007,8.06101839426208,0.933598812558111,5.69751511715797,5.49694458419151,1.94591014905531,1.94591014905531,0.281187792051303,0.135915360996491,0.220716554638287,0.326421575473581
0.3,9474,9159,9474,316,14.7,108.25,0.26825876407373,8.22981770833333,0.464367323079726,6.84545957685139,0.338312821290392,7.58392419371413,6.00680183872352,2.68763920384208,2.68763920384208,0.387408208271965,0.0636386036718372,0.136529541198211,0.0676406140490834
0.31,9790,9475,9790,316,13.7,99.15,0.235162066033057,7.38690476190476,0.486805410174997,6.18122599226503,0.317341352740194,6.81072961050789,5.23666695826353,2.61736919245258,2.61736919245258,0.324967906808914,0.0682708479605715,0.0905261385557631,0.0585239594099468
0.32,10106,9791,10106,316,12.3,88.25,0.434448014336439,7.80564263322884,0.564726531731384,8.07505120595172,0.507103448389953,6.74998435607364,5.73907728168848,2.5095662121751,2.5095662121751,0.355986672187063,0.0843573204289587,0.221688437273168,0.141016775089339
0.33,10421,10107,10421,315,13.8,88.7,0.230712921145936,7.20833333333333,0.471401447727542,6.88223104092115,0.313676278455293,6.36678200692042,5.59801767290293,2.62466859216316,2.62466859216316,0.311739905174901,0.0650907677350099,0.13907625444278,0.0569306891817678
0.34,10737,10422,10737,316,0.6,1.8,1.72274049233585,3,5,5.10905093903108,2.17651338412967,-2,-0.666666670666667,-0.510825623765991,-0.510825623765991,0,1,0.0162695790838045,0.866737713461032
0.35,11053,10738,11053,316,5.1,22.7,0.77396001420258,4.75,0.833333333333333,6.62201944186255,1.05461359836257,3.63937884078681,3.53209043294306,1.62904826901074,1.62904826901074,0.129634416013325,0.13981001197761,0.121054553581053,0.379028764415434
