"rank","feature_id","abs_pc1_loading","mu","empirical_variance.x","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","nb_gap","log_alpha_mu","combined_nb_support","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1","d2"
19862,"195399",0.00481767989891603,2.6,12.8,2.6,10.2,1.50887573964497,3.92307692307692,1.28093384546206,2.41591377830105,1.13497993283898,1.59393372589814,0.226949663134197,12.8,2.62466859216316,2.84490938381941,0,0
19863,"261498",0.00481767989891603,2.6,12.8,2.6,10.2,1.50887573964497,3.92307692307692,1.28093384546206,2.41591377830105,1.13497993283898,1.59393372589814,0.226949663134197,12.8,2.62466859216316,2.84490938381941,0,0
19864,"329706",0.00481767989891603,2.6,12.8,2.6,10.2,1.50887573964497,3.92307692307692,1.28093384546206,2.41591377830105,1.13497993283898,1.59393372589814,0.226949663134197,12.8,2.62466859216316,2.84490938381941,0,0
19865,"353258",0.00481767989891603,2.6,12.8,2.6,10.2,1.50887573964497,3.92307692307692,1.28093384546206,2.41591377830105,1.13497993283898,1.59393372589814,0.226949663134197,12.8,2.62466859216316,2.84490938381941,0,0
19866,"360814",0.00481767989891603,2.6,12.8,2.6,10.2,1.50887573964497,3.92307692307692,1.28093384546206,2.41591377830105,1.13497993283898,1.59393372589814,0.226949663134197,12.8,2.62466859216316,2.84490938381941,0,0
19867,"515137",0.00481767989891603,2.6,12.8,2.6,10.2,1.50887573964497,3.92307692307692,1.28093384546206,2.41591377830105,1.13497993283898,1.59393372589814,0.226949663134197,12.8,2.62466859216316,2.84490938381941,0,0
19868,"287384",0.00481774645171599,1080.8,205274.2,1080.8,204193.4,0.174803864067574,188.928016284234,6.98638159943733,12.2268277602426,5.2404461608053,5.24664513871235,0.627365452916971,205274.2,12.2321067968793,2.84490938381941,0,0
19869,"23576",0.00481809237217029,117.6,3400.3,117.6,3282.7,0.237364928964783,27.9141156462585,4.77575648656363,8.09672611438973,3.3209696278261,3.36432990654134,0.441619097824662,3400.3,8.13191299046717,2.85070650150373,0,0
19870,"347268",0.00481810694700456,4.4,11.3,4.4,6.9,0.356404958677686,1.56818181818182,1.68639895357023,2.06686275947298,0.380463805902747,0.943198184794079,0.178712144689602,11.3,2.50959926237837,2.90690105984738,0,0
19871,"82889",0.00481844600728499,269.4,16945.3,269.4,16675.9,0.229770410089456,61.9001484780995,5.59990234416881,9.7217798073213,4.12187746315249,4.14154852424573,0.517165334954049,16945.3,9.73780479989452,2.90690105984738,0,0
19872,"572597",0.00481846891352665,178.2,15517.7,178.2,15339.5,0.48305413531751,86.0802469135803,5.18850250054083,9.63825166891418,4.44974916837335,4.46683007184212,0.53567233857542,15517.7,9.6498010273423,2.90690105984738,0,0
19873,"85222",0.0048190228810495,22.4,219.8,22.4,197.4,0.393415178571429,8.8125,3.15273602236366,5.29028519485077,2.13754917248712,2.28365708310853,0.325565671248974,219.8,5.39725731440294,3.1267605359604,0,0
19874,"135798",0.00481978003050886,6,14,6,8,0.222222222222222,1.33333333333333,1.94591014905531,2.19722457733622,0.251314428280906,0.847297860387204,0.174229770767231,14,2.70805020110221,3.1267605359604,0,0
19875,"141083",0.00482055754910581,288.4,26985.3,288.4,26696.9,0.320974346001951,92.5690013869626,5.66780981419738,10.1923401896097,4.52453037541236,4.53869914686753,0.549511880394072,26985.3,10.2030846088044,3.19867311755068,0,0
19876,"264747",0.00482062568460472,26.8,178.7,26.8,151.9,0.211489195811985,5.66791044776119,3.32503602069659,5.02978411293502,1.70474809223842,1.89730653464857,0.29640567050683,178.7,5.19128879378951,3.3499040872746,0,0
19877,"73522",0.00482150505698191,7.2,29.7,7.2,22.5,0.434027777777778,3.125,2.10413415427021,3.15700042115011,1.05286626687991,1.41706601978664,0.23107801097754,29.7,3.42426265459315,3.3499040872746,0,0
19878,"126934",0.00482180257143228,27.8,366.7,27.8,338.9,0.438512499353035,12.1906474820144,3.3603753871419,5.82865145670207,2.46827606956017,2.57950805438069,0.353614240605544,366.7,5.90726738830723,3.42426265459315,0,0
19879,"457148",0.00482242326516989,74,1100.5,74,1026.5,0.18745434623813,13.8716216216216,4.31748811353631,6.93488394637039,2.61739583283408,2.69945480776235,0.380394584260315,1100.5,7.0044281662424,3.47506723022861,0,0
19880,"573590",0.00482277649804288,22,76.5,22,54.5,0.112603305785124,2.47727272727273,3.13549421592915,4.01638302075239,0.880888804823239,1.24624828747417,0.235169042865844,76.5,4.3502779363593,3.57794789340665,0,0
19881,"190241",0.00482306240289014,6.6,15.3,6.6,8.7,0.199724517906336,1.31818181818182,2.02814824729229,2.27212588550934,0.243977638217052,0.84078317936601,0.175079346983659,15.3,2.79116510781272,3.64283551561253,0,0
19882,"265042",0.00482344806650976,6.6,100.8,6.6,94.2,2.16253443526171,14.2727272727273,2.02814824729229,4.55597994179732,2.52783169450503,2.72606870660489,0.338832093356406,100.8,4.62301010411642,3.64283551561253,0,0
19883,"490167",0.00482378916830015,4.6,7.8,4.6,3.2,0.151228733459357,0.695652173913044,1.7227665977411,1.43508452528932,-0.287682072451781,0.528067430200497,0.136322218799381,7.8,2.17475172148416,3.64283551561253,0,0
19884,"267388",0.00482387479761565,50,682.5,50,632.5,0.253,12.65,3.93182563272433,6.45125999976119,2.51943436703687,2.61373952163097,0.366668188069605,682.5,6.527226656164,3.93769075217672,0,0
19885,"266905",0.00482413654081503,40.6,519.8,40.6,479.2,0.290713193719818,11.8029556650246,3.72810016726722,6.17420268378715,2.44610251651993,2.5496760555997,0.357834923921426,519.8,6.25536609089436,3.98898404656427,0,0
19886,"154261",0.0048241686251528,58.8,1051.2,58.8,992.4,0.287033180619187,16.8775510204082,4.09100566095659,6.90113340267325,2.81012774171666,2.88354579282576,0.391277608129638,1051.2,6.95863848929671,3.98898404656427,0,0
19887,"566185",0.00482459608666639,9,117.5,9,108.5,1.33950617283951,12.0555555555556,2.30258509299405,4.69592454925656,2.39333945626251,2.56921375624799,0.332187941631151,117.5,4.77491296057519,3.98898404656427,0,0
19888,"155643",0.0048247119206405,12.8,176.7,12.8,163.9,1.0003662109375,12.8046875,2.62466859216316,5.10533922956555,2.48067063740239,2.62500820840008,0.343316249704795,176.7,5.18009673516061,4.11414718951828,0,0
