"rank","feature_id","mu","empirical_variance","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","log_alpha_mu","nb_gap","combined_nb_support","abs_pc1_loading"
76,"42185",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
77,"44053",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
78,"44116",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
79,"44219",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
80,"45806",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
81,"45941",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
82,"45958",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
83,"45995",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
84,"48544",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
85,"49195",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
86,"50513",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
87,"50560",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
88,"50707",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
89,"50820",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
90,"51725",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
91,"52046",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
92,"52267",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
93,"53397",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
94,"54698",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
95,"55046",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
96,"55080",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
97,"55194",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
98,"55374",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
99,"55583",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
100,"55782",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
101,"56000",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
102,"56270",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
103,"56693",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
104,"56809",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
105,"56975",0,0,0,0,0,0,0,0,0,0,0.100284702540682,0
