"feature_id","rank_trt","iod_local_amplitude_trt","cv2_local_amplitude_trt","window_left_trt","window_right_trt","window_n_trt","rank_ctrl","iod_local_amplitude_ctrl","cv2_local_amplitude_ctrl","window_left_ctrl","window_right_ctrl","window_n_ctrl","combined_rank","composite_iod_amplitude","composite_cv2_amplitude","regime_difference","local_window_left_rank","local_window_right_rank","local_window_n"
"157795",15,0.364288537477478,0.124059617433886,1,91,91,1,0.388341146222956,0.140739445558211,1,77,77,8,0.752629683700434,0.264799062992097,0.487830620708337,1,91,91
"534198",12,0.355748070660866,0.0861938374437159,1,88,88,13,0.36113966441917,0.111940268110629,1,89,89,12,0.716887735080036,0.198134105554345,0.51875362952569,1,89,89
"457865",29,0.407605205945401,0.0614532007263051,1,105,105,33,0.416251369893871,0.0348034995016064,1,109,109,31,0.823856575839272,0.0962567002279116,0.727599875611361,1,109,109
"281697",54,0.389867175304971,0.0553773357983118,1,130,130,34,0.405486171723169,0.0370586051369628,1,110,110,44,0.79535334702814,0.0924359409352746,0.702917406092865,1,130,130
"359327",112,0.212696026505,0.0532010319964229,36,188,153,36,0.411380229077622,0.0377601661200515,1,112,112,74,0.624076255582622,0.0909611981164744,0.533115057466148,1,188,153
"535807",43,0.374558488933417,0.0526096380194758,1,119,119,122,0.119921602295108,0.0515258852764759,46,198,153,82,0.494480091228525,0.104135523295952,0.390344567932573,1,198,153
"112224",1,0.456627202811433,0.0709625450086033,1,77,77,196,0.033026892671387,0.0910928882713051,120,272,153,98,0.48965409548282,0.162055433279908,0.327598662202911,1,272,153
"96935",231,0.113953087370646,0.0511250693152761,155,307,153,17,0.395734487941809,0.0940476337082146,1,93,93,124,0.509687575312455,0.145172703023491,0.364514872288964,1,307,153
"315919",148,0.110229048084875,0.0556834988628907,72,224,153,119,0.126757297095537,0.0335092390996579,43,195,153,134,0.236986345180412,0.0891927379625486,0.147793607217864,43,224,153
"85211",217,0.151425324933371,0.0681303160436073,141,293,153,54,0.404426869080453,0.0697571597086153,1,130,130,136,0.555852194013823,0.137887475752223,0.417964718261601,1,293,153
"373273",324,0.215308635193651,0.0823928173367676,248,400,153,28,0.37640798513803,0.0357439083499003,1,104,104,176,0.591716620331681,0.118136725686668,0.473579894645013,1,400,153
"133139",365,0.0465137043192954,0.0423664990802308,289,441,153,86,0.304659255936713,0.0389587320202338,10,162,153,226,0.351172960256008,0.0813252311004646,0.269847729155543,10,441,153
"186870",421,0.0803834668076888,0.0454527079036779,345,497,153,75,0.402985106471533,0.0353640662342372,1,151,151,248,0.483368573279222,0.0808167741379151,0.402551799141307,1,497,153
"317873",182,0.0930093097635307,0.0559048918917711,106,258,153,320,0.126334475774456,0.180341237468383,244,396,153,251,0.219343785537987,0.236246129360154,-0.0169023438221672,106,396,153
"546917",367,0.0404474416645826,0.0445785424749374,291,443,153,143,0.154044289547983,0.0731269458815973,67,219,153,255,0.194491731212565,0.117705488356535,0.0767862428560306,67,443,153
"318931",358,0.0390507823326516,0.0614364709463189,282,434,153,162,0.128933011888421,0.0768496521688462,86,238,153,260,0.167983794221072,0.138286123115165,0.0296976711059074,86,434,153
"442563",401,0.0824605182760934,0.0308361031341065,325,477,153,146,0.089230859881809,0.0967406580260786,70,222,153,274,0.171691378157902,0.127576761160185,0.0441146169977173,70,477,153
"486370",291,0.136375265935044,0.0602747227194413,215,367,153,266,0.0781521142671409,0.0541233955691496,190,342,153,278,0.214527380202185,0.114398118288591,0.100129261913594,190,367,153
"63358",72,0.467270562542581,0.0390374101100754,1,148,148,528,0.196807836720836,0.108241782161713,452,604,153,300,0.664078399263417,0.147279192271788,0.516799206991629,1,604,153
"533779",464,0.0495316967735562,0.0619715875059228,388,540,153,186,0.0534943877855767,0.138208315174779,110,262,153,325,0.103026084559133,0.200179902680702,-0.0971538181215692,110,540,153
"178462",36,0.414148001305875,0.0777093796403392,1,112,112,652,0.0461676042268664,0.191541076437716,576,728,153,344,0.460315605532742,0.269250456078055,0.191065149454687,1,728,153
"311196",369,0.0608048411013442,0.0559978583551128,293,445,153,341,0.0515937451009449,0.0701634596275653,265,417,153,355,0.112398586202289,0.126161317982678,-0.013762731780389,265,445,153
"106827",410,0.0564148689945796,0.0701157863838944,334,486,153,308,0.0682144126105868,0.0757659751852771,232,384,153,359,0.124629281605166,0.145881761569171,-0.021252479964005,232,486,153
"359590",568,0.0318925114606827,0.0555565111440046,492,644,153,158,0.128030208667951,0.0856750631714362,82,234,153,363,0.159922720128634,0.141231574315441,0.0186911458131931,82,644,153
"108089",486,0.0626216024938913,0.122676371123816,410,562,153,254,0.0915564040260506,0.0577645860570328,178,330,153,370,0.154178006519942,0.180440957180849,-0.0262629506609073,178,562,153
"405000",57,0.408762123047381,0.0200536671000009,1,133,133,689,0.0418664228382113,0.102117958951567,613,765,153,373,0.450628545885593,0.122171626051568,0.328456919834025,1,765,153
"172193",740,0.063222383446373,0.071903761701833,664,816,153,8,0.409596907562445,0.116105371429512,1,84,84,374,0.472819291008818,0.188009133131345,0.284810157877473,1,816,153
"131543",607,0.143114857841283,0.085234365189649,531,683,153,221,0.155318546901071,0.129829846940993,145,297,153,414,0.298433404742354,0.215064212130642,0.0833691926117126,145,683,153
"178465",786,0.0712371352392438,0.205506487705861,710,862,153,42,0.445634462750604,0.0934889048066907,1,118,118,414,0.516871597989848,0.298995392512552,0.217876205477296,1,862,153
"298434",746,0.0619499623744559,0.0604430407038308,670,822,153,90,0.213374528834976,0.0648524872591452,14,166,153,418,0.275324491209432,0.125295527962976,0.150028963246456,14,822,153
"268475",170,0.103737598537464,0.0438582527362996,94,246,153,690,0.0362462943003266,0.105955198036099,614,766,153,430,0.13998389283779,0.149813450772399,-0.0098295579346086,94,766,153
