"feature_id","gene_symbol","ctrl_abs_loading","trt_abs_loading","ctrl_rank","trt_rank","mu_ctrl","mu_trt","var_ctrl","var_trt","nb1_ctrl","nb1_trt","nb2_ctrl","nb2_trt","alpha_mu_ctrl","alpha_mu_trt"
"1345","Pex3",0.0044019545768107,0.00853647449927692,16728,27448,0.8,5.2,3.2,23.7,0.8,5.2,2.4,18.5,3,3.55769230769231
"1346","Pex3",0.00509536062798312,0.00321317697324136,19642,14410,19.2,10.2,85.7,34.7,19.2,10.2,66.5,24.5,3.46354166666667,2.40196078431373
"1367","Aig1",0.00472516328336235,0.000609588837340774,18102,4284,282.8,190.2,17375.7,5407.2,282.8,190.2,17092.9,5217,60.4416548797737,27.4290220820189
"1369","Aig1",0.00258158086875597,0.00190587399183797,7964,9385,11.6,3.8,106.3,17.2,11.6,3.8,94.7,13.4,8.16379310344828,3.52631578947368
"1473","Adgrg6",6.19926869510731e-05,0.00890175292071928,1213,27928,8,4.8,3.5,31.7,8,4.8,0,26.9,-0.5625,5.60416666666667
"1501","Vta1",0.00254366280852049,0.00113012437577536,7830,6228,13.8,12.8,37.7,21.7,13.8,12.8,23.9,8.9,1.73188405797101,0.6953125
"1540","-",0.00548671459506086,0.00651209031078991,21211,24342,7.8,27.8,49.7,555.7,7.8,27.8,41.9,527.9,5.37179487179487,18.9892086330935
"1576","-",0,0.00973786460758472,2,28831,0,2.4,0,5.3,0,2.4,0,2.9,NA,1.20833333333333
"1579","-",0.00583011350972861,0.0134837001800637,22291,31188,5.4,12.8,23.3,234.7,5.4,12.8,17.9,221.9,3.31481481481481,17.3359375
"1634","Heca",0.00517562013426724,0.00264196342336885,20050,12388,134.4,108.2,4854.8,703.7,134.4,108.2,4720.4,595.5,35.1220238095238,5.50369685767098
"1655","Abracl",0.00116748488609563,0.00664269137394855,4088,24564,83,37.4,2528.5,812.3,83,37.4,2445.5,774.9,29.4638554216867,20.7192513368984
"1656","Abracl",0.00366299602618397,0.00435408824338762,12962,18653,10.2,7.6,83.7,22.3,10.2,7.6,73.5,14.7,7.20588235294118,1.93421052631579
"1683","Ccdc28a",0.00157257380345437,0.00714359738838269,5041,25306,21.2,35.6,119.2,537.3,21.2,35.6,98,501.7,4.62264150943396,14.0926966292135
"1693","LOC102549339",0.00865877143016338,0.00258187291761634,27941,12157,45.2,16.6,1302.7,164.3,45.2,16.6,1257.5,147.7,27.820796460177,8.89759036144578
"1713","Hebp2",0.00799015951368953,0.00765527075879865,27018,26029,4.6,7.2,28.8,26.7,4.6,7.2,24.2,19.5,5.26086956521739,2.70833333333333
"1741","-",0.00308427852994235,0.00216612248362311,9908,10272,86.2,65,1130.7,1078.5,86.2,65,1044.5,1013.5,12.1171693735499,15.5923076923077
"1742","-",0.00509693052953102,0.00366763311091312,19650,15844,5,2.2,16,12.2,5,2.2,11,10,2.2,4.54545454545454
"1866","Tnfaip3",0.00554484911732539,0.000534199408180265,21385,4009,5.2,3.4,15.7,31.8,5.2,3.4,10.5,28.4,2.01923076923077,8.35294117647059
"1895","-",0.0037916372918725,0.00253577388648016,13551,11776,0.6,0.8,1.8,3.2,0.6,0.8,1.2,2.4,2,3
"1910","Slc35d3",0.00148516753440358,0.00699851707617752,4806,25111,18.4,2.6,381.8,33.8,18.4,2.6,363.4,31.2,19.75,12
"1918","Pex7",0.00506695244206642,0.00464029539875341,19549,19354,5.4,8,14.3,29,5.4,8,8.9,21,1.64814814814815,2.625
"1922","LOC102547604",0.00289186690919852,0.00715850314666568,9072,25331,178.6,325.6,20558.3,100468.3,178.6,325.6,20379.7,100142.7,114.108062709966,307.563574938575
"1929","Map3k5",0.00336204617703886,0.0100383306827076,11146,29204,0.6,4.6,1.8,43.8,0.6,4.6,1.2,39.2,2,8.52173913043478
"1941","Map7",0.0174806024768993,0.0124764231222581,31744,30835,32.8,14.2,4829.7,271.2,32.8,14.2,4796.9,257,146.246951219512,18.0985915492958
"1946","-",0.00535830986809337,0.00549097748045775,20728,21631,22.4,11.4,141.3,56.3,22.4,11.4,118.9,44.9,5.30803571428572,3.93859649122807
"1955","Pde7b",0.00461951274745156,0.000713570307559705,17620,4674,35.2,37.4,675.7,106.3,35.2,37.4,640.5,68.9,18.1960227272727,1.84224598930481
"2081","Pde7b",0.00478061585950915,0,18316,6,1.2,0,7.2,0,1.2,0,6,0,5,NA
"2104","LOC120098802",0.0103987624245982,5.47735425835039e-06,29989,1579,12.4,0.6,545.3,1.8,12.4,0.6,532.9,1.2,42.9758064516129,2
"2155","Ptprk",0.00448653572797387,0.0015868858054209,17095,8095,18.2,6.4,507.2,6.3,18.2,6.4,489,0,26.8681318681319,-0.0156250000000001
"2159","Ptprk",0.0104133873700324,0.000328367161604021,30010,3259,9.2,11.6,76.7,1.3,9.2,11.6,67.5,0,7.33695652173913,-0.887931034482759
"2181","Ptprk",0.00498049248731062,0.00189174565507639,19195,9200,6.2,1.2,15.2,2.7,6.2,1.2,9,1.5,1.45161290322581,1.25
"2244","-",0.00665300386352431,0.00408141974829807,24426,17439,2.8,0.6,39.2,1.8,2.8,0.6,36.4,1.2,13,2
"2383","Epb41l2",0.00542939785812342,0.00201890534132284,21035,9719,249.2,181.6,22984.2,3147.8,249.2,181.6,22735,2966.2,91.2319422150883,16.3337004405286
"2456","Med23",0.00342789830945496,0.00395076907721104,11878,17023,57.6,26.6,1203.3,104.8,57.6,26.6,1145.7,78.2,19.890625,2.93984962406015
"2485","Ccn2",0.00640879679675905,0.00294499669943706,23847,13461,12,25.2,54.5,140.2,12,25.2,42.5,115,3.54166666666667,4.56349206349206
"2500","Moxd1",0.000900500555278602,0.00498454820401811,3429,20423,12.8,16.2,61.7,59.2,12.8,16.2,48.9,43,3.8203125,2.65432098765432
"2513","Stx7",0.00254242498429904,0.00367069711053639,7827,15905,109.2,77.6,2488.7,1387.3,109.2,77.6,2379.5,1309.7,21.790293040293,16.8775773195876
"2515","Stx7",0.00390321473738759,0,14123,7,0.8,0,3.2,0,0.8,0,2.4,0,3,NA
"2554","-",0.00911225757646231,0.00775773426031384,28586,26244,3.8,1.2,12.7,2.7,3.8,1.2,8.9,1.5,2.34210526315789,1.25
"2555","Slc18b1",0.000492277693236825,0.00416003318607244,2523,17893,20,12.6,47,56.8,20,12.6,27,44.2,1.35,3.50793650793651
"2563","LOC100910237",0,5.47735425835039e-06,3,1580,0,0.6,0,1.8,0,0.6,0,1.2,NA,2
"2569","-",0.00438844460485505,0.00813993182584116,16542,26857,15.6,8.2,149.3,30.2,15.6,8.2,133.7,22,8.57051282051282,2.68292682926829
"2587","-",0.00998614391554623,0.00621031685400378,29577,23556,2.8,3.8,16.7,6.7,2.8,3.8,13.9,2.9,4.96428571428571,0.763157894736842
"2591","LOC120098884",0.0123730445817226,0.0020424845907736,31214,9820,7.2,14.8,49.7,206.7,7.2,14.8,42.5,191.9,5.90277777777778,12.9662162162162
"2598","Tbpl1",0.00475758867213371,0,18224,8,4.2,0,6.7,0,4.2,0,2.5,0,0.595238095238095,NA
"2605","Slc2a12",0.00830617745189311,0.00163545831921684,27510,8267,9.8,6.4,97.7,21.3,9.8,6.4,87.9,14.9,8.96938775510204,2.328125
"2625","Sgk1",0.00372609496417488,0.00248431538887816,13240,11632,58.6,62.4,1237.3,301.8,58.6,62.4,1178.7,239.4,20.1143344709898,3.83653846153846
"2665","Sgk1",0.00211997113129179,0.00148664041879409,6583,7618,4.6,1.2,13.8,2.7,4.6,1.2,9.2,1.5,2,1.25
"2674","-",0.00500334600444269,0,19273,9,6,0,20,0,6,0,14,0,2.33333333333333,NA
"2704","Trdn",0.00332690295749597,0.00294668066567377,11001,13468,8.2,5.4,52.7,3.3,8.2,5.4,44.5,0,5.42682926829268,-0.388888888888889
"2816","Hddc2",0.00993617306365503,0.00206329137917807,29538,9893,57.2,18.2,2298.7,102.7,57.2,18.2,2241.5,84.5,39.1870629370629,4.64285714285714
"2817","Hddc2",0.00762934006984168,0.00354480017072052,26433,15471,2.2,1.8,4.2,7.2,2.2,1.8,2,5.4,0.909090909090909,3
"2845","-",0.00532871711629951,0.00189174565507639,20554,9201,1.6,1.8,12.8,2.7,1.6,1.8,11.2,0.9,7,0.5
"2900","Echdc1",0.00591963776027211,0.00171111243798027,22571,8543,84.2,46.6,3537.2,269.3,84.2,46.6,3453,222.7,41.0095011876485,4.77896995708155
"2935","Kiaa0408L",0.00452470172158821,0.0101876459798517,17263,29299,4.4,2.4,13.3,15.3,4.4,2.4,8.9,12.9,2.02272727272727,5.375
"2937","Kiaa0408L",5.75589694167209e-05,0.0124856459542972,1207,30840,29.6,13.2,1123.3,97.7,29.6,13.2,1093.7,84.5,36.9493243243243,6.40151515151515
"2944","Kiaa0408L",0.00119055282418359,0.000342012870800379,4142,3304,22,22,71.5,55.5,22,22,49.5,33.5,2.25,1.52272727272727
"2954","Kiaa0408L",0.0115162488398568,0.00677273245308068,30799,24767,5.8,2.6,30.2,15.8,5.8,2.6,24.4,13.2,4.20689655172414,5.07692307692308
"3037","Rpl26-ps2",0.00423472663404619,0.00309751268814918,15864,14070,1178.2,649.8,668890.7,93542.2,1178.2,649.8,667712.5,92892.4,566.722542861993,142.955370883349
"3038","Rpl26-ps2",0.000802284007919652,0.00108822814073524,3236,6075,23,21.2,213.5,717.7,23,21.2,190.5,696.5,8.28260869565217,32.8537735849057
"3039","Lrrc14b",0.00497948881218597,0.0047885639451581,19191,20017,81,29.2,2603.5,421.2,81,29.2,2522.5,392,31.141975308642,13.4246575342466
"3046","Ccdc127",0.0104852380280206,0.00670350248578789,30086,24657,7.6,6,49.3,24,7.6,6,41.7,18,5.48684210526316,3
"3048","Ccdc127",0.0040377499480007,0.00303315558223448,15007,13768,22,14.8,154.5,19.7,22,14.8,132.5,4.9,6.02272727272727,0.331081081081081
"3082","Tppp",0.00404610910885244,0.000458553006654241,15042,3750,1530.6,992.6,546766.3,60890.3,1530.6,992.6,545235.7,59897.7,356.22350712139,60.3442474309893
"3091","Tppp",0.00335007096937169,0.00551562940048626,11087,21779,25.8,11.2,717.7,75.2,25.8,11.2,691.9,64,26.8178294573643,5.71428571428571
"3130","Brd9",7.86259079367261e-05,0.00329882425619201,1247,14713,45.4,31.6,618.3,163.3,45.4,31.6,572.9,131.7,12.6189427312775,4.16772151898734
"3136","Brd9",0.0079079750036897,0.0047383815903007,26904,19614,4.8,0.8,115.2,3.2,4.8,0.8,110.4,2.4,23,3
"3144","Brd9",0.0113162229383942,0.00452850984859318,30694,19053,15.8,10,251.7,44.5,15.8,10,235.9,34.5,14.9303797468354,3.45
"3158","Tert",0.00558423782590702,0.0103901985979929,21499,29470,1.8,2.2,16.2,10.2,1.8,2.2,14.4,8,8,3.63636363636364
"3165","Clptm1l",0.00689962074690697,0.00223872474663966,25010,10900,170.8,124.4,34914.2,4911.3,170.8,124.4,34743.4,4786.9,203.41569086651,38.4799035369775
"3174","Slc6a3",0.00950252654944377,0.0052811549862684,29074,21232,16.8,7,182.7,54,16.8,7,165.9,47,9.875,6.71428571428571
"3179","Lpcat1",0.00528732315850981,0.00343769078508627,20392,15098,25,17.4,286.5,114.8,25,17.4,261.5,97.4,10.46,5.59770114942529
"3192","LOC120098984",0.00502887725655927,0.00410092409436344,19363,17727,172,179.8,9967.5,11143.7,172,179.8,9795.5,10963.9,56.9505813953488,60.9783092324805
"3195","Mrpl36",0.00439113466459024,0.00722641271639385,16551,25547,890.6,793.2,133360.8,572581.7,890.6,793.2,132470.2,571788.5,148.74264540759,720.862960161372
"3197","Mrpl36",0.00283033695518722,0.00454254043409739,8833,19085,22.8,10.4,49.2,46.3,22.8,10.4,26.4,35.9,1.15789473684211,3.45192307692308
"3258","-",0.00735976695776436,0.000853281179806951,25961,5234,3.8,1.6,72.2,5.3,3.8,1.6,68.4,3.7,18,2.3125
"3279","-",0.00340577945591951,0.00218419673896333,11553,10330,0.6,0.6,1.8,1.8,0.6,0.6,1.2,1.2,2,2
"3295","Med10",0.00272423105603398,0.00141198307817764,8432,7325,192.8,165.2,2847.7,1469.7,192.8,165.2,2654.9,1304.5,13.7702282157676,7.89648910411622
"3299","-",0.00966348696199561,0,29240,10,3,0,27,0,3,0,24,0,8,NA
"3305","Nsun2",0.0065993352539218,0.00437264917633018,24342,18708,114,104.8,10638.5,1506.7,114,104.8,10524.5,1401.9,92.3201754385965,13.3769083969466
"3317","-",0.00504306926555829,0.00612212962244711,19415,23383,1.4,1.4,9.8,9.8,1.4,1.4,8.4,8.4,6,6
"3330","LOC680107",0.00444160564575004,0.00176680007803233,16907,8823,3,8.6,8,4.3,3,8.6,5,0,1.66666666666667,-0.5
"3331","LOC680107",0.00379517864618272,0.0069130487868162,13690,24978,10.4,4,21.3,19.5,10.4,4,10.9,15.5,1.04807692307692,3.875
"3339","LOC680123",0.00510787324669557,0.0152202873039462,19705,31536,37.4,17,608.3,236,37.4,17,570.9,219,15.2647058823529,12.8823529411765
"3346","Adcy2",0.000500421488303589,0.00900645056584647,2561,28057,4,2.4,80,4.8,4,2.4,76,2.4,19,1
"3354","Adcy2",0.00103236884794312,0.011080616175907,3784,30019,441.2,519,29991.7,229231.5,441.2,519,29550.5,228712.5,66.9775611967362,440.679190751445
"3357","RGD1308544",0.0110774475244011,0.00892246503045653,30527,27945,19.2,8.8,170.7,32.7,19.2,8.8,151.5,23.9,7.890625,2.71590909090909
"3369","Fastkd3",0.00643160601638928,0.000933680807716533,23898,5486,42.8,27.6,1540.7,7.3,42.8,27.6,1497.9,0,34.9976635514019,-0.735507246376812
"3407","RGD1566325",0.00509496931369057,0.00238164986335176,19640,11307,207.6,89,11291.3,2236.5,207.6,89,11083.7,2147.5,53.3896917148362,24.1292134831461
"3426","LOC682870",0.00451476227196017,0.00125017038470173,17226,6711,2.8,3,3.2,9.5,2.8,3,0.4,6.5,0.142857142857143,2.16666666666667
"3428","LOC102547287",0.00357009525300495,0.0136494210963133,12521,31227,3,4.2,9.5,33.2,3,4.2,6.5,29,2.16666666666667,6.90476190476191
"3429","LOC102547287",0.00749833325384964,0.00701699492971552,26203,25150,7,4,39.5,7.5,7,4,32.5,3.5,4.64285714285714,0.875
"3447","Zfp748",0.00395398750184485,0.00188854160823209,14479,9175,0.8,2.8,3.2,10.7,0.8,2.8,2.4,7.9,3,2.82142857142857
"3452","LOC102551340",0.00160639543148642,0.00296980406983725,5135,13530,2.2,2.6,12.2,6.8,2.2,2.6,10,4.2,4.54545454545454,1.61538461538461
"3458","LOC501406",0.00640025153016692,0.00253577388648016,23824,11777,2.6,0.8,33.8,3.2,2.6,0.8,31.2,2.4,12,3
"3460","LOC120093155",0.00204298860288,0.000734162210595781,6362,4739,10.2,3.8,61.7,6.2,10.2,3.8,51.5,2.4,5.04901960784314,0.631578947368421
"3524","-",0.00302006027197578,0.00779938665732595,9598,26366,17,11.2,104,52.7,17,11.2,87,41.5,5.11764705882353,3.70535714285714
"3646","Zbtb2",0.00312624309648318,0.00560574768766483,10113,22303,19.2,10.2,236.2,25.7,19.2,10.2,217,15.5,11.3020833333333,1.51960784313726
"3656","Zbtb2",0.00527454440362922,0.00576046511101051,20356,22644,7.8,35.4,38.2,1501.8,7.8,35.4,30.4,1466.4,3.8974358974359,41.4237288135593
"3661","Rmnd1",0.000426756883276586,0.00348191263830337,2341,15259,39.6,28.2,206.8,88.7,39.6,28.2,167.2,60.5,4.22222222222222,2.14539007092199
"3697","LOC120099108",0.00442472086004346,0.0055503332056929,16847,21857,2.2,3.8,9.2,6.7,2.2,3.8,7,2.9,3.18181818181818,0.763157894736842
"3721","Syne1",0.00409626331879839,0.00404269976939244,15287,17232,16.6,8,81.8,14.5,16.6,8,65.2,6.5,3.92771084337349,0.8125
"3723","Syne1",0.00361898357538602,0.00128247070970488,12745,6814,143.2,106.2,4937.7,2138.7,143.2,106.2,4794.5,2032.5,33.4811452513966,19.138418079096
"3759","Syne1",0.00422682216180273,0.00464242851550884,15833,19357,6.8,2.4,74.7,5.3,6.8,2.4,67.9,2.9,9.98529411764706,1.20833333333333
"3799","Syne1",0.00536854909993741,0.00149299943016315,20752,7751,9.8,2,94.2,3.5,9.8,2,84.4,1.5,8.61224489795918,0.75
"3969","Syne1",0.00123848654424839,0.00931522097529801,4264,28412,87.6,55.6,3767.3,4305.3,87.6,55.6,3679.7,4249.7,42.0057077625571,76.4334532374101
"4060","Syne1",0.00776395226667807,0,26633,11,1.6,0,5.3,0,1.6,0,3.7,0,2.3125,NA
"4087","-",0.00307052480227033,0.00158538027071038,9855,8093,4.6,5.4,24.3,5.8,4.6,5.4,19.7,0.399999999999999,4.28260869565217,0.074074074074074
"4090","-",0.00950805263413183,0.00928735100020608,29082,28371,3.8,1.8,12.2,6.2,3.8,1.8,8.4,4.4,2.21052631578947,2.44444444444444
"4092","Mtrf1l",0,0.00297068572694796,4,13536,0,2.4,0,6.3,0,2.4,0,3.9,NA,1.625
"4096","Mtrf1l",0.00668916940796823,0.00274782759023049,24511,12714,6.4,4.4,37.3,20.3,6.4,4.4,30.9,15.9,4.828125,3.61363636363636
"4097","Mtrf1l",0.0048334121683855,0.000167104228970459,18633,2662,9,3.2,40.5,3.7,9,3.2,31.5,0.5,3.5,0.15625
"4110","Rgs17",0.00411399024519773,6.11022897234775e-05,15346,2269,28.4,30.8,287.3,52.7,28.4,30.8,258.9,21.9,9.11619718309859,0.711038961038961
"4111","Rgs17",0.00789193632847485,0.00284175577756584,26876,13135,6,6.4,17.5,22.3,6,6.4,11.5,15.9,1.91666666666667,2.484375
"4117","Rgs17",0.00253906994698166,0.000616832160629341,7810,4323,13.6,14,49.3,36,13.6,14,35.7,22,2.625,1.57142857142857
"4121","Rgs17",0.00274832617169511,0.00442751954155655,8509,18817,0.6,2,1.8,3.5,0.6,2,1.2,1.5,2,0.75
"4123","Rgs17",0.00420211436082696,5.68620039565359e-05,15751,2250,13,30.6,58.5,98.8,13,30.6,45.5,68.2,3.5,2.22875816993464
"4124","Rgs17",0.00285397829560265,0.00449187596190747,8920,18952,4.8,4.8,83.7,16.7,4.8,4.8,78.9,11.9,16.4375,2.47916666666667
"4126","Rgs17",0.00160639543148642,0.00550639930312508,5136,21665,2.2,4.4,12.2,24.8,2.2,4.4,10,20.4,4.54545454545454,4.63636363636364
"4127","Rgs17",0.000421486371772168,0.00646979502225561,2339,24216,3,1.4,9,3.8,3,1.4,6,2.4,2,1.71428571428571
"4175","-",0,0.000973165441605757,5,5643,0,3,0,13.5,0,3,0,10.5,NA,3.5
"4189","-",0.00550444424452171,0.00649497454759759,21264,24312,14,15.4,67.5,265.8,14,15.4,53.5,250.4,3.82142857142857,16.2597402597403
"4211","Ipcef1",0.00505120192256663,0.00538207444590682,19491,21451,76.2,51.4,2472.2,619.3,76.2,51.4,2396,567.9,31.4435695538058,11.0486381322957
"4233","Cnksr3",0.00789164467312071,0,26873,12,4.6,0,26.3,0,4.6,0,21.7,0,4.71739130434783,NA
"4236","Cnksr3",0.00209141091530526,0.0035125014054617,6499,15352,9.2,6.8,58.7,14.7,9.2,6.8,49.5,7.9,5.3804347826087,1.16176470588235
"4256","Cnksr3",0.00775116110258869,0,26593,13,1.6,0,5.3,0,1.6,0,3.7,0,2.3125,NA
"4263","RGD1560234",0.00741692549844609,0.0143539542627913,26060,31399,7,5.4,29,38.3,7,5.4,22,32.9,3.14285714285714,6.09259259259259
