"comparison_name","dataset_name","n_features","hc_p_threshold","hbfss_threshold","n_standard_significant","n_HBFSS_significant","n_overlap_significant","n_strong_effect","n_weak_effect","evs_fixed_top_n","evs_cutoff_mode_main","evs_primary_preprocessing","shared_cutoff_rank","shared_cutoff_method","shared_cutoff_quantile","shared_selected_reason"
"RT0_ZT6","RT0_ZT6_raw_dataset",31553,0.000532546091058572,3.27364279873213,16,62,3,3,0,5000,"matched_curvature_wave","normalized",6213,"first_stable_crossing",0.802649510347669,"first_stable_crossing"
"RT0_ZT6","RT0_ZT6_leading_edge_dataset",6227,0.0336010810441569,1.47364674987327,2,12,1,1,0,5000,"matched_curvature_wave","normalized",6213,"first_stable_crossing",0.802649510347669,"first_stable_crossing"
"RT0_ZT6","RT0_ZT6_remainder_dataset",25326,0.0406911864077721,1.39049964750633,74,197,4,4,12,5000,"matched_curvature_wave","normalized",6213,"first_stable_crossing",0.802649510347669,"first_stable_crossing"
"RT2_ZT8","RT2_ZT8_raw_dataset",31534,0.0136775581992137,1.86399142858533,44,8,0,0,44,5000,"matched_curvature_wave","normalized",3646,"first_stable_crossing",0.888754994608993,"first_crossing_fallback"
"RT2_ZT8","RT2_ZT8_leading_edge_dataset",3508,0.0342067254983343,1.46588849746266,99,1,0,0,99,5000,"matched_curvature_wave","normalized",3646,"first_stable_crossing",0.888754994608993,"first_crossing_fallback"
"RT2_ZT8","RT2_ZT8_remainder_dataset",28026,0.0244066825515559,1.61249124751706,82,25,0,0,81,5000,"matched_curvature_wave","normalized",3646,"first_stable_crossing",0.888754994608993,"first_crossing_fallback"
"RT4_ZT10","RT4_ZT10_raw_dataset",31658,0.0223630001696145,1.65046993290979,897,1101,50,50,71,5000,"matched_curvature_wave","normalized",4698,"first_stable_crossing",0.808642365278918,"first_crossing_fallback"
"RT4_ZT10","RT4_ZT10_leading_edge_dataset",6058,0.0190556862060562,1.71997540741988,269,298,21,21,28,5000,"matched_curvature_wave","normalized",4698,"first_stable_crossing",0.808642365278918,"first_crossing_fallback"
"RT4_ZT10","RT4_ZT10_remainder_dataset",25600,0.0433836181899352,1.36267423068983,1003,1228,84,84,112,5000,"matched_curvature_wave","normalized",4698,"first_stable_crossing",0.808642365278918,"first_crossing_fallback"
"RT8_ZT14","RT8_ZT14_raw_dataset",31580,0.0186581006283235,1.72913256898303,134,77,0,0,129,5000,"matched_curvature_wave","normalized",4557,"first_stable_crossing",0.820804306523116,"first_crossing_fallback"
"RT8_ZT14","RT8_ZT14_leading_edge_dataset",5659,0.096290231045488,1.01641777121653,256,30,0,0,253,5000,"matched_curvature_wave","normalized",4557,"first_stable_crossing",0.820804306523116,"first_crossing_fallback"
"RT8_ZT14","RT8_ZT14_remainder_dataset",25921,0.0209430797492483,1.67895945351887,165,147,0,0,131,5000,"matched_curvature_wave","normalized",4557,"first_stable_crossing",0.820804306523116,"first_crossing_fallback"
