"dataset_name","feature_id","gene_symbol","baseMean","lfc_shrunk","regulation_direction","lfdr","pvalue","padj","empirical_p","empirical_q","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","hc_empirical_pass","deseq2_standard_call","deseq2_strong_call","deseq2_weak_call_raw","deseq2_weak_call","standard_significant","HBFSS_significant","effect_class","log2FoldChange","lfcSE","stat","raw_lfc_pass","shrunk_lfc_pass","neglog10_wald_pvalue","padj_strong_effect","padj_weak_effect","HBFSS_only_call","overlap_call","R8_1","R8_2","R8_3","R8_4","R8_5","ZT14_1","ZT14_2","ZT14_3","ZT14_4","ZT14_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","neglog10_padj","neglog10_empirical_p"
"RT8_ZT14_raw_dataset","6990","Epn1",534.071305580886,-0.517118141500307,"downregulated",0.236500809795885,0.00191590342989031,0.593491342862632,0.000414140543302022,0.122275653194121,1.74933426905648,0.0186581006283235,1.72913256898303,0.0840838778082118,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"weak_effect",-0.58676787855956,0.189098912696939,-3.10296801917602,FALSE,FALSE,2.71762638509188,1,0.0840838778082118,FALSE,FALSE,480.328461288358,494.578727496823,450.254947478957,383.914949063321,322.895819509691,778.950275974944,750.238422891668,532.218591333669,620.479927020718,526.852933750714,0.0288244579110327,0.0731361757861879,0.040919812321833,9,FALSE,0.226585611628361,3.3828522510952
"RT8_ZT14_raw_dataset","9793","Capns1",485.671768995315,-0.449098580964721,"downregulated",0.549690283636983,0.0127037102363659,0.910343698046299,0.00457337044012363,0.318685653842683,1.05078452136207,0.0186581006283235,1.72913256898303,0.0737060196384112,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",-0.523979899243391,0.210267417526475,-2.49196906209882,FALSE,FALSE,1.89606942078777,1,0.0737060196384112,FALSE,FALSE,506.362524230816,363.781047497663,346.153448983822,488.120435237651,289.492803698344,641.011164604381,665.568658022466,467.529038795875,452.013101711077,636.685467171058,0.0416405508256701,0.0743341988840023,0.0508904262686626,9,FALSE,0.0407946098944413,2.33976361961521
"RT8_ZT14_raw_dataset","21819","Spns1",406.610573341613,0.458973174899905,"upregulated",0.669864253572742,0.0270442462103198,0.999580341370701,0.0118767421854298,0.458679039073973,0.883662279497151,0.0186581006283235,1.72913256898303,0.197743264322186,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",0.577013325296733,0.260988246918593,2.21087858211759,FALSE,FALSE,1.56792511890895,1,0.197743264322186,FALSE,FALSE,348.856443428943,347.431337497768,528.171406475315,404.48182133457,806.444238873957,312.971093025647,278.124101057697,435.184262526978,298.969295619925,305.471733575332,0.0802503872579058,0.076904641679163,0.0792264206924358,9,FALSE,0.000182293680221713,1.9253026708802
"RT8_ZT14_raw_dataset","21882","Eif3c",359.039896644154,-0.454845423715304,"downregulated",0.549690283636983,0.0133664226455794,0.91981554268153,0.00487728744188654,0.327255362147739,1.05152149731272,0.0186581006283235,1.72913256898303,0.0893987453111073,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",-0.535041950220267,0.216278690236708,-2.4738542185302,FALSE,FALSE,1.87398481062659,1,0.0893987453111073,FALSE,FALSE,278.564473484305,275.220118331566,358.287979483255,353.750203065489,197.236855267003,544.801532303904,366.009173453578,461.648170383349,427.09899374275,327.78146692634,0.0419284789185982,0.0789967494084019,0.053188391741898,9,FALSE,0.0362992561625117,2.31182164860229
"RT8_ZT14_raw_dataset","26074","Asrgl1",322.316990174515,0.425207605832495,"upregulated",0.362017079505486,0.00799439500481375,0.817473138787002,0.00254371946310905,0.251860253247635,1.10321422420999,0.0186581006283235,1.72913256898303,0.0202401410262928,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",0.477135773291563,0.17989466313451,2.65230643854511,FALSE,FALSE,2.09721439695998,1,0.0202401410262928,FALSE,FALSE,466.009726670006,351.518764997742,345.514789483852,355.121327883572,357.889455121579,207.48824315404,233.645680271977,323.44776268897,294.223751245006,288.310400228404,0.0207500678555988,0.0810341537623725,0.0356525156436886,6,FALSE,0.0875265088428941,2.59453078702592
"RT8_ZT14_raw_dataset","34834","Sdha",154.829539365678,0.410177329095152,"upregulated",0.734573675787826,0.0383904100087133,0.999580341370701,0.0184614229346578,0.528231107781273,0.711138721227618,0.0186581006283235,1.72913256898303,0.103599591016115,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",0.500794073655518,0.241852178535903,2.07066182610869,FALSE,FALSE,1.41577724960255,1,0.103599591016115,FALSE,FALSE,177.031628008717,168.947003332248,148.169003993075,202.926473076327,211.552433471866,83.4589581401726,106.105148380393,121.537947192219,142.366331247583,186.200466814177,0.0482854672578397,0.10258237096186,0.0635432677175197,9,FALSE,0.000182293680221713,1.73373482829093
"RT8_ZT14_raw_dataset","39208","Strn4",243.523790846068,-0.368801974027194,"downregulated",0.56689482675422,0.0134105147105798,0.91981554268153,0.00489764980619811,0.327806859487863,0.851937085648035,0.0186581006283235,1.72913256898303,0.00341692956931842,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",-0.406355386598921,0.164338215334185,-2.47267737313922,FALSE,FALSE,1.87255455311971,1,0.00341692956931842,FALSE,FALSE,206.970800392544,243.8831741651,187.127233491254,179.617351168911,229.04925127781,286.310592508648,292.592984927751,261.69864435744,312.019542650954,235.968333520271,0.0103132929063643,0.0874792622633029,0.0281356893669721,9,FALSE,0.0362992561625117,2.31001227120659
"RT8_ZT14_raw_dataset","40472","LOC100362069",993.358842723986,-0.378374140781325,"downregulated",0.734573675787826,0.0310886013243832,0.999580341370701,0.0141565365911978,0.486660688003876,0.699630050402381,0.0186581006283235,1.72913256898303,0.0270905999345663,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",-0.437014956987917,0.202703047346886,-2.15593678885376,FALSE,FALSE,1.50739881641826,1,0.0270905999345663,FALSE,FALSE,1001.00972013753,772.523797495038,763.198102464331,1079.07523183155,604.435524205333,1477.91905039889,1009.60656337707,1207.53831403882,933.685855765401,1084.5962675259,0.0422073525253357,0.0675778327458134,0.0482804985880669,9,FALSE,0.000182293680221713,1.8490429841682
"RT8_ZT14_raw_dataset","41987","Shank1",309.183889404829,0.408169561545562,"upregulated",0.734573675787826,0.0337491038526467,0.999580341370701,0.0156984437092837,0.503345913437995,0.736396420521141,0.0186581006283235,1.72913256898303,0.0809229541983041,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",0.490128766981295,0.230859955494112,2.12305666408133,FALSE,FALSE,1.47173775459644,1,0.0809229541983041,FALSE,FALSE,384.002428401262,374.68085416426,509.650280976181,249.544716891159,284.720944296723,267.764157366387,238.468641561995,297.963999568021,295.410137338736,189.632733483563,0.0506420867367229,0.0818802763990531,0.0606552694107492,9,FALSE,0.000182293680221713,1.80414339994566
"RT8_ZT14_raw_dataset","49178","Ndufc2",609.021633612608,0.483560912184629,"upregulated",0.362017079505486,0.00491529128501473,0.736354214825673,0.00137229404322836,0.199929302749019,1.38421865369355,0.0186581006283235,1.72913256898303,0.0741898953703864,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",0.554452709702834,0.197136397540137,2.8125334368553,FALSE,FALSE,2.30845074034942,1,0.0741898953703864,FALSE,FALSE,749.781012742803,596.083177079505,682.088345968122,740.407401764976,857.344072491248,325.721767185951,482.296129001787,472.429762472981,551.669533584386,632.395133834326,0.0352220794817424,0.0716567006678839,0.0449569356918618,9,FALSE,0.13291322297456,2.862552821815
"RT8_ZT14_raw_dataset","50388","Numa1",76.3928405504016,-0.493807131783625,"downregulated",0.392173333399916,0.00934084148885235,0.832899400034546,0.00309844340734511,0.268142097694262,1.2388911986305,0.0186581006283235,1.72913256898303,0.152152944457755,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"weak_effect",-0.589451533688694,0.2267713617053,-2.59932087215984,FALSE,FALSE,2.02961399769889,1,0.152152944457755,FALSE,FALSE,57.2749384734085,75.6174087495143,51.7314194975823,69.9273657222478,49.3092138167508,98.5279366932593,79.3109189914049,99.9747630129545,81.8606404673605,100.393800079533,0.0120958818259286,0.145159749531618,0.0478517938497595,10,FALSE,0.0794074507520023,2.50885643177255
