"bin","percentile","lo_rank","hi_rank","n_bin","total_mean","total_variance","median_abs_loading","iod_agg","cv2_agg","ratio_iod_cv2","ratio_cv2_iod","gap"
1,0.0100135403218188,1,318,318,6478.4,1410441.5,0.0158820444228012,217.714481970857,0.0336062117144445,6478.4,0.000154359101012596,217.680875759143
2,0.0199955915231288,319,635,317,3872,186737.4,0.0138929798169097,48.2276342975207,0.0124554840644423,3872,0.000258264462809917,48.2151788134562
3,0.0300091318449476,636,953,318,4301.6,1409949.7,0.012791658673829,327.773316905338,0.076198000024488,4301.6,0.000232471638460108,327.697118905313
4,0.0399911830462575,954,1270,317,4064.2,720229.2,0.0120922874622165,177.213030854781,0.0436034227781066,4064.2,0.000246050883322671,177.169427432003
5,0.0500047233680763,1271,1588,318,3083.8,147377.5,0.0115403717086215,47.7908748946105,0.0154973976569851,3083.8,0.00032427524482781,47.7753774969536
6,0.0599867745693863,1589,1905,317,3470.8,386606.8,0.0110735778131065,111.38838308171,0.032092999620177,3470.8,0.000288118013138181,111.35629008209
7,0.0700003148912051,1906,2223,318,3478.6,1019725.1,0.0106460293396746,293.142384867475,0.0842702193030172,3478.6,0.00028747197148278,293.058114648172
8,0.0800138552130239,2224,2541,318,3479,175493.9,0.0102688801111507,50.4437769473987,0.0144995047276225,3479,0.000287438919229664,50.4292774426711
9,0.0899959064143338,2542,2858,317,3007.8,146877.5,0.00996248998056398,48.8322029390252,0.0162351894870088,3007.8,0.000332468914156526,48.8159677495382
10,0.100009446736153,2859,3176,318,6297.8,1760856.2,0.00963297601850751,279.598621740925,0.0443962370575321,6297.8,0.000158785607672521,279.554225503868
11,0.109991497937463,3177,3493,317,4452.8,721594.4,0.00933125508947947,162.054078332734,0.0363937473797912,4452.8,0.000224577793747754,162.017684585355
12,0.120005038259281,3494,3811,318,7172.8,2271423.8,0.0090358377679028,316.671843631497,0.0441489855609381,7172.8,0.00013941556993085,316.627694645936
13,0.129987089460591,3812,4128,317,7135.6,2068070.2,0.00882516656660025,289.82428947811,0.040616667060669,7135.6,0.000140142384662817,289.783672811049
14,0.14000062978241,4129,4446,318,12945.2,8416258.6,0.00855879877099765,650.145119426506,0.0502228717537393,12945.2,7.72487099465439e-05,650.094896554752
