"dataset_name","feature_id","gene_symbol","baseMean","lfc_shrunk","regulation_direction","lfdr","pvalue","wald_pvalue","padj","empirical_p","empirical_q","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","hc_empirical_pass","deseq2_strong_call","deseq2_weak_call_raw","deseq2_weak_call","standard_significant","HBFSS_significant","effect_class","log2FoldChange","lfcSE","stat","raw_lfc_pass","shrunk_lfc_pass","neglog10_wald_pvalue","padj_strong_effect","padj_weak_effect","HBFSS_only_call","overlap_call","R2_1","R2_2","R2_3","R2_4","R2_5","ZT8_1","ZT8_2","ZT8_3","ZT8_4","ZT8_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","neglog10_padj","neglog10_empirical_p","hc_threshold_source"
"RT2_ZT8_remainder_dataset","145545","Rab7b",44.837254812231,-0.821595989400002,"downregulated",0.0732145953908399,0.000568030156015434,0.000568030156015434,0.99993688729842,7.83084700328729e-06,0.0143642534105649,4.19522626119908,0.023666142339777,1.62587252775259,0.685198849259142,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",-1.04321271942776,0.302693070880465,-3.44643739743792,TRUE,FALSE,3.24562860752234,1,0.685198849259142,TRUE,FALSE,46.765065248675,26.3928403955661,34.7443667987783,17.3238127182076,20.1187332167783,63.3945301831024,62.2643554252799,84.3089846792991,48.1445164138178,44.9153430428056,0.0818894686767191,0.0868404001068151,0.0848565774683642,10,FALSE,2.74103630143749e-05,5.10619126106346,"hc.thresh_primary"
"RT2_ZT8_remainder_dataset","402625","-",36.6606235650378,-1.29528040697965,"downregulated",0.0173815800886835,0.00038227350511812,0.00038227350511812,0.99993688729842,4.09108789112267e-06,0.0108023294686161,6.97917961932827,0.023666142339777,1.62587252775259,0.921531460295194,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",-1.6134899558211,0.454244658277812,-3.55202846399639,TRUE,TRUE,3.41762580132636,1,0.921531460295194,TRUE,FALSE,32.1988973843336,2.73029383402408,26.898864618409,9.44935239174959,18.2897574697984,70.7092836657681,64.0691193506503,84.3089846792991,19.7736406699609,38.1780415863847,0.408021842654021,0.102275496322886,0.210678118863636,10,FALSE,2.74103630143749e-05,5.38816119021085,"hc.thresh_primary"
"RT2_ZT8_remainder_dataset","448434","Dio2",89.2245402402528,0.555478385611187,"upregulated",0.103223122587372,0.00153745088889542,0.00153745088889542,0.99993688729842,3.99059688691583e-05,0.0444307459838206,2.44352838821262,0.023666142339777,1.62587252775259,0.50882626315202,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",0.766925439689087,0.242121728931118,3.16752008617645,FALSE,FALSE,2.81319874808742,1,0.50882626315202,TRUE,FALSE,85.8637263582229,131.054104033156,121.044890782841,138.590501745661,85.9618601080526,101.187423176875,64.9715013133355,68.6516018102864,56.7417514877138,38.1780415863847,0.0676779161162725,0.0524190259851481,0.0586543939772845,10,FALSE,2.74103630143749e-05,4.39896214057732,"hc.thresh_primary"
"RT2_ZT8_remainder_dataset","249916","Mt2A",287.814788127489,0.682901830274306,"upregulated",0.000442277750674717,4.80783232988078e-06,4.80783232988078e-06,0.0668072341398583,3.01418623394056e-09,4.14672910281448e-05,5.81889034642799,0.023666142339777,1.62587252775259,0.33781207119663,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",0.764260206764673,0.167124361241996,4.57300300856811,FALSE,FALSE,5.31805068648728,1,0.33781207119663,TRUE,FALSE,418.585665996337,453.228776447997,357.530742219687,255.132514577239,325.557682962412,173.115832423087,226.497872633989,226.42984456726,202.894747743946,239.17420170294,0.0280680002101804,0.0315836599755804,0.0299169494764465,7,FALSE,1.17517650792991,8.52082991795568,"hc.thresh_primary"
"RT2_ZT8_remainder_dataset","130629","Hspb8",51.2875610313053,0.736619733443591,"upregulated",0.0732145953908399,0.000939754967514918,0.000939754967514918,0.99993688729842,1.7853363121878e-05,0.0261758617401068,3.49767671974254,0.023666142339777,1.62587252775259,0.646330843147632,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",0.967064317405535,0.292343902238337,3.30796814984403,FALSE,FALSE,3.02698536994124,1,0.646330843147632,TRUE,FALSE,105.02973670604,81.9088150207223,61.6432314171874,51.9714381546227,38.4084906865767,40.2311441546611,36.9976604700938,42.1544923396496,30.9500462660257,23.5805550974729,0.0864568551631094,0.0780928219087982,0.0817095105353413,9,FALSE,2.74103630143749e-05,4.74827996175368,"hc.thresh_primary"
"RT2_ZT8_remainder_dataset","147990","LOC679963",191.188745682569,0.564587855696192,"upregulated",0.0732145953908399,0.000844331889016703,0.000844331889016703,0.99993688729842,1.49848263468755e-05,0.0233090966635973,2.72376845367209,0.023666142339777,1.62587252775259,0.417580662979359,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",0.735895104422677,0.220470636982,3.33783724897007,FALSE,FALSE,3.07348680783391,1,0.417580662979359,TRUE,FALSE,249.158134521629,114.672341029011,233.123493359545,266.15675903428,331.044610203351,154.828948716423,120.016801037134,124.054648885254,161.628019389245,157.20370064982,0.0748213373276616,0.0355595883659267,0.052914356173682,10,FALSE,2.74103630143749e-05,4.82434828555322,"hc.thresh_primary"
"RT2_ZT8_remainder_dataset","11646","Sphk2",46.4099390138145,0.74488016049358,"upregulated",0.103223122587372,0.000959614588029233,0.000959614588029233,0.99993688729842,1.84745336333503e-05,0.0267537990906228,3.52583550293711,0.023666142339777,1.62587252775259,0.651357672550037,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",0.981427106048245,0.29721238842213,3.30210699243912,FALSE,FALSE,3.01790315852367,1,0.651357672550037,TRUE,FALSE,89.6969284277864,40.9544075103612,66.1263755202555,44.0969778281648,65.8431268912743,23.1633860284413,41.5095702835199,20.4750391364012,31.8097697734153,40.423808738525,0.08057349916083,0.0844914617876284,0.0828268691371812,8,FALSE,2.74103630143749e-05,4.73342651601941,"hc.thresh_primary"
"RT2_ZT8_remainder_dataset","500103","Gpd1",123.864762478097,0.423463780628068,"upregulated",0.103223122587372,0.00297840755155774,0.00297840755155774,0.99993688729842,0.000117252489616693,0.0711710269294059,1.66458442822273,0.023666142339777,1.62587252775259,0.264666600076487,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",0.647727494691887,0.218093171549096,2.96995770244037,FALSE,FALSE,2.52601587566299,1,0.264666600076487,TRUE,FALSE,140.295195746025,160.177238262746,215.190916947272,140.165393810952,101.508153957381,62.1754046026581,107.383453559541,90.3310550135348,120.361291034544,101.059521846313,0.0561711274928639,0.0432307885287018,0.0488361832654558,8,FALSE,2.74103630143749e-05,3.93087792716032,"hc.thresh_primary"
"RT2_ZT8_remainder_dataset","196815","Crlf1",57.8411683008633,0.509805436708793,"upregulated",0.103223122587372,0.00322078686067739,0.00322078686067739,0.99993688729842,0.000133169434924252,0.0739142608537581,1.97579962736903,0.023666142339777,1.62587252775259,0.57161060357281,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",0.789715189104641,0.268078076072579,2.94584025920432,FALSE,FALSE,2.49203801417268,1,0.57161060357281,TRUE,FALSE,101.96317505039,83.7290109100717,66.1263755202555,58.2710064157891,56.6982481563751,23.1633860284413,59.5572095372242,44.5633204733438,47.2847929064282,37.0551580103146,0.0642945866274355,0.0711363461161932,0.0683764475694986,10,FALSE,2.74103630143749e-05,3.87559544308594,"hc.thresh_primary"
"RT2_ZT8_remainder_dataset","341454","-",54.7403726439177,-1.06033433636662,"downregulated",0.0173815800886835,0.000184654926952891,0.000184654926952891,0.99993688729842,1.23859124068204e-06,0.00577129316758557,6.2634712643736,0.023666142339777,1.62587252775259,0.826980125687807,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",-1.28062778104256,0.34249310540732,-3.73913448423883,TRUE,TRUE,3.73363910003625,1,0.826980125687807,TRUE,FALSE,51.3649077321512,19.1120568381685,26.898864618409,15.748920652916,44.8099058010061,51.2032743786596,41.5095702835199,109.601680083089,78.2348391724539,108.919706878804,0.187337975816941,0.0742202453013326,0.118698428597242,9,FALSE,2.74103630143749e-05,5.90707199564641,"hc.thresh_primary"
