"comparison_name","dataset_name","n_features","hc_p_threshold","hbfss_threshold","n_standard_significant","n_HBFSS_significant","n_overlap_significant","n_strong_effect","n_weak_effect","evs_fixed_top_n","evs_cutoff_mode_main","evs_primary_preprocessing"
"RT0_ZT6","RT0_ZT6_raw_dataset",31553,0.000532546091058572,3.27364279873213,9,61,9,3,3469,5000,"matched_curvature_wave","normalized"
"RT0_ZT6","RT0_ZT6_leading_edge_dataset",8280,0.0295068849724187,1.53007663633861,5,24,5,1,2474,5000,"matched_curvature_wave","normalized"
"RT0_ZT6","RT0_ZT6_remainder_dataset",23273,0.0350950314402496,1.45475436418436,46,174,46,2,1552,5000,"matched_curvature_wave","normalized"
"RT2_ZT8","RT2_ZT8_raw_dataset",31534,0.0136775581992137,1.86399142858533,0,8,0,0,7704,5000,"matched_curvature_wave","normalized"
"RT2_ZT8","RT2_ZT8_leading_edge_dataset",5267,0.021881199030906,1.65992888351601,0,3,0,0,3856,5000,"matched_curvature_wave","normalized"
"RT2_ZT8","RT2_ZT8_remainder_dataset",26267,0.0140791261897766,1.85142429851311,0,20,0,0,4669,5000,"matched_curvature_wave","normalized"
"RT4_ZT10","RT4_ZT10_raw_dataset",31658,0.0223630001696145,1.65046993290979,743,1100,743,41,6128,5000,"matched_curvature_wave","normalized"
"RT4_ZT10","RT4_ZT10_leading_edge_dataset",6689,0.0184548920109484,1.73388849174096,270,332,263,15,3613,5000,"matched_curvature_wave","normalized"
"RT4_ZT10","RT4_ZT10_remainder_dataset",24969,0.0396761514113078,1.40147046106155,701,1127,701,54,3086,5000,"matched_curvature_wave","normalized"
"RT8_ZT14","RT8_ZT14_raw_dataset",31580,0.0186581006283235,1.72913256898303,4,76,4,0,8714,5000,"matched_curvature_wave","normalized"
"RT8_ZT14","RT8_ZT14_leading_edge_dataset",6212,NA,NA,1,0,0,0,4615,5000,"matched_curvature_wave","normalized"
"RT8_ZT14","RT8_ZT14_remainder_dataset",25368,0.0207083122328453,1.68385529549724,28,138,28,0,4945,5000,"matched_curvature_wave","normalized"
