"percentile","center_rank","lo_rank","hi_rank","iod_local_amplitude","cv2_local_amplitude","iod_local_midpoint","cv2_local_midpoint","iod_peak_rank","iod_trough_rank","cv2_peak_rank","cv2_trough_rank","local_window_n","iod_local_amplitude_scaled","cv2_local_amplitude_scaled"
0.005,150,75,225,0.0793661590058974,0.0176802445234145,1.5694013084203,0.597077930422554,75,225,175,225,151,0.191596841150758,0.0138455047502112
0.01,299,224,374,0.0570561052943418,0.0496438218634986,1.41488524732783,0.539546085592909,374,224,278,224,151,0.137738422517695,0.0388763724686861
0.015,449,374,524,0.0637510713702228,0.0905534890903162,1.29596359769556,0.526500326413996,374,524,374,524,151,0.153900655487228,0.0709129764403305
0.02,598,523,673,0.0267986880634272,0.0890855946903743,1.25376095519594,0.512895433690077,577,523,673,523,151,0.0646943740789518,0.0697634595962456
0.025,748,673,823,0.0255266230093155,0.0697973215111883,1.2271586280737,0.53111432070905,673,823,673,733,151,0.0616234979126003,0.0546586980318837
0.03,897,822,972,0.0746153338403375,0.0743680981245821,1.18640625448438,0.47850435789095,898,972,939,860,151,0.180127934176021,0.0582381004111374
0.035,1047,972,1122,0.0621463242518026,0.0656791356541902,1.1865497627655,0.486578028518189,1008,1080,1034,1120,151,0.150026655755021,0.0514337221685799
0.04,1196,1121,1271,0.0314162757653355,0.0308990143128482,1.15096084502796,0.495290955908093,1204,1271,1164,1242,151,0.0758416341770053,0.0241972020736941
0.045,1346,1271,1421,0.047381666488988,0.0852140775784989,1.12979669641361,0.513683356235635,1421,1358,1271,1323,151,0.114383482096875,0.0667316514958538
0.05,1496,1421,1571,0.0884113934336702,0.0842483589316989,1.11716272290779,0.426145837375695,1421,1469,1544,1461,151,0.213432827237732,0.0659753914738881
0.055,1645,1570,1720,0.0379450495801134,0.0964671135348484,1.03071379175439,0.381695851999859,1570,1720,1720,1570,151,0.0916026645099245,0.0755439709511418
0.06,1795,1720,1870,0.035996362510382,0.185116595736974,1.06661071306048,0.419163182135252,1832,1765,1777,1720,151,0.0868983636891663,0.144965908261331
0.065,1944,1869,2019,0.126595686921768,0.152113882859336,1.03583225854017,0.361376022613017,1869,2019,1936,1869,151,0.305613047441526,0.119121287316635
0.07,2094,2019,2169,0.173996013306519,0.173920119255911,0.992317605041219,0.397273601972214,2169,2019,2049,2121,151,0.420041576156876,0.136197880867882
0.075,2243,2168,2318,0.0285666472988907,0.0660619249866763,0.988026187656284,0.458429285978961,2318,2262,2225,2300,151,0.0689623821196704,0.0517334867738855
0.08,2393,2318,2468,0.194905114290189,0.384676434501109,1.06361545747088,0.56999278028106,2318,2382,2318,2392,151,0.47051797251966,0.301242406128829
0.085,2542,2467,2617,0.102816014456162,0.292926730302243,0.993337923621707,0.502463118156514,2467,2617,2467,2537,151,0.248206840752462,0.229392666515015
0.09,2692,2617,2767,0.136473598455174,0.31376036311803,1.00055228525617,0.45132642630312,2618,2712,2617,2767,151,0.329459188802944,0.2457076084115
0.095,2842,2767,2917,0.0919916789756426,0.148388059750826,0.927535747731031,0.249916760691118,2845,2917,2767,2917,151,0.222075949304514,0.116203573057706
0.1,2991,2916,3066,0.250186278320903,0.36720015604969,1.06966032776624,0.509873054241763,2916,2980,2916,3066,151,0.603971531770709,0.287556628423962
0.105,3141,3066,3216,0.141886663781561,0.145548706581057,1.00554860800782,0.350482326639907,3066,3161,3161,3086,151,0.342526801378239,0.113980058685633
0.11,3290,3215,3365,0.1198125950092,0.258997378716089,0.94934725051892,0.411322692262373,3365,3215,3365,3215,151,0.289238071003688,0.202822389280696
0.115,3440,3365,3515,0.184048513574004,0.535269064469648,1.05539578363928,0.574836469639412,3365,3432,3365,3515,151,0.444309189974173,0.419172391249506
0.12,3589,3514,3664,0.0564355666219327,0.37763759999688,0.964462211864667,0.4129818712832,3514,3664,3664,3514,151,0.136240387953157,0.295730252921039
0.125,3739,3664,3814,0.27487019883939,0.355786149342649,0.837721861700967,0.304498573232307,3664,3814,3758,3814,151,0.663560672253206,0.278618251815427
0.13,3888,3813,3963,0.209558835308207,0.474570335770205,1.01529943343862,0.507360569503711,3848,3916,3862,3932,151,0.505893335184597,0.371638855419334
0.135,4038,3963,4113,0.0234685467930549,0.0953248078543768,0.973768970250355,0.162913495068882,4026,3963,3963,4113,151,0.0566551221360463,0.0746494245717511
0.14,4188,4113,4263,0.255461775441115,0.178461246144266,0.951804125665321,0.244677107141777,4113,4263,4253,4173,151,0.616707042678545,0.13975406437093
0.145,4337,4262,4412,0.279410063682538,0.485518110615735,0.842294149975374,0.503432237440481,4412,4262,4412,4342,151,0.674520302580457,0.380212123081288
0.15,4487,4412,4562,0.0793992831411564,0.533990173364603,1.02716534985967,0.646657041027386,4452,4533,4412,4505,151,0.191676805706948,0.418170884010935
0.155,4636,4561,4711,0.119353310322292,0.131160607789048,1.04870339394905,0.203558486879523,4561,4613,4674,4606,151,0.288129317647062,0.10271265285833
0.16,4786,4711,4861,0.0949236426247492,0.155519260981169,0.957279950708582,0.250136819005873,4711,4775,4861,4781,151,0.229153965685475,0.121788059198645
0.165,4935,4860,5010,0.0417926053637316,0.170298207936745,0.97237144703448,0.240083750700482,4860,5010,4919,4860,151,0.100891000288374,0.133361540549853
0.17,5085,5010,5160,0.18524992329395,0.151431377840462,0.989464968879407,0.212214309578448,5160,5111,5051,5117,151,0.447209497991503,0.118586813572884
0.175,5234,5159,5309,0.0097550209719946,0.441196738659561,0.979282695044183,0.745464744520524,5213,5301,5233,5309,151,0.0235494728106292,0.345503792823615
0.18,5384,5309,5459,0.137161893504785,0.288032443614527,0.963325927696125,0.157345461143051,5459,5309,5459,5309,151,0.331120793181143,0.225559921470459
