"preprocessing","group","cutoff_mode","fixed_top_n_requested","empiric_rank_selected","cutoff_quantile","curvature_strength","selected_reason","comparison_name"
"normalized","regime_shift_crossing","last_stable_crossing",5000,3572,0.883019485835926,NA,"last_crossing_fallback","RT2_ZT8"
"raw","regime_shift_crossing","crossing_rank_projected_to_raw_selected",5000,3572,0.88301182327318,NA,"last_crossing_fallback_projected_to_raw","RT2_ZT8"
