"comparison_name","cutoff_type","selected_reason","crossing_percentile","crossing_rank"
"RT2_ZT8","shared_combined","last_crossing_fallback",0.11,3372
"RT2_ZT8","treatment_backup","treatment_first_crossing_fallback",0.09,2748
"RT2_ZT8","control_backup","control_first_crossing_fallback",0.11,3386
