"feature_id","gene_symbol","baseMean_original","dispGeneEst_original","dispFit_original","dispersion_original","baseMean_leading_edge","dispGeneEst_leading_edge","dispFit_leading_edge","dispersion_leading_edge","baseMean_remainder","dispGeneEst_remainder","dispFit_remainder","dispersion_remainder","pc1_loading_trt_selected_space","pc1_loading_ctrl_selected_space","pc1_loading_trt_raw_view","pc1_loading_ctrl_raw_view","comparison_name"
"100020","Nrip1",20.2565448060938,0.114517205731789,0.427364782275341,0.210858955700135,19.8132360936742,0.102090949073882,0.521035586796492,0.25590973413344,NA,NA,NA,NA,0.00363114420570064,0.000793941108378779,0.000743499001256702,0.0063043217625071,"RT2_ZT8"
"100055","-",1.2906121048365,9.28346861535678,5.69075153095023,6.82553702621085,1.28016137440509,9.33408428585632,6.02622685652632,6.86513891304939,NA,NA,NA,NA,-0.00719692171141076,-0.00782953238464898,-0.00773108233874831,0.00485315209753418,"RT2_ZT8"
"10008","Mag",2.22701626357567,3.23908704737676,3.32702956161838,3.28497566941141,2.16157586612847,3.17895368969139,3.62634393995297,3.44389778296319,NA,NA,NA,NA,-0.000823384618290385,-0.00504046448581878,-0.00237363459520285,0.0111511911431652,"RT2_ZT8"
"100116","-",4.18719512564179,1e-08,1.80191912209645,0.486764060891902,NA,NA,NA,NA,4.22212166778597,1e-08,1.10602715214558,0.323141867442965,0.0014129982183642,-0.000289708924582633,-0.000656802937550294,-0.000185866063979317,"RT2_ZT8"
"100129","Btg3",47.5344923608014,0.174716818020144,0.221827958265296,0.190288221417679,46.9118128527923,0.182331971392186,0.301374098896566,0.228095718229524,NA,NA,NA,NA,-0.00431952969748594,0.000557060354341238,-0.00639300256684647,0.00129320102240973,"RT2_ZT8"
"100144","RGD1563888",6.35724433641634,0.932532518546092,1.21045329186856,1.04950336571228,6.30998743477692,0.959592913885331,1.33480137179986,1.14392258102037,NA,NA,NA,NA,-0.00774529155095827,-0.0138165695276001,-0.00800062539543784,0.00531587653240354,"RT2_ZT8"
"100145","RGD1563888",2.69355910914159,1.16474575087899,2.76275065585001,1.94953505376088,2.64101847154156,1.14537993592788,2.99358283908104,2.18531601245279,NA,NA,NA,NA,-0.0068993391011386,-0.00714319761320466,-0.00794130308570111,0.00481791803485203,"RT2_ZT8"
"10017","Usf2",108.096681543063,0.178615872299632,0.13631488318106,0.163655312822453,106.767473415931,0.186847808930482,0.211335419585874,0.196568407323588,NA,NA,NA,NA,-0.00345394310742692,-0.00593809490991785,-0.00552276206286304,0.00274287904942659,"RT2_ZT8"
"10018","Usf2",20.0084868233539,0.505629921175993,0.431805219898046,0.480248754851084,NA,NA,NA,NA,20.0414061000175,0.482521062915945,0.258975958880159,0.403667467105669,-0.00121943269259213,-0.000998821303854776,-0.0029343572355117,-0.0063540818863961,"RT2_ZT8"
"100191","-",3.27604243429115,1.91182640760551,2.28383432233283,2.09876239746939,3.19134979296671,1.85806236983015,2.50163002005774,2.22869908237828,NA,NA,NA,NA,0.00426858938031135,0.00394908484175015,0.00351103754103525,0.0070518400985751,"RT2_ZT8"
"100193","LOC680960",3.81671289433077,0.724711309648521,1.9701117175537,1.29000201437558,3.7595769128436,0.712896781596407,2.14480635889061,1.45889259374181,NA,NA,NA,NA,-0.0010234269674252,-0.00445028288222945,-0.000105546435737909,-0.000677027622261035,"RT2_ZT8"
"100197","-",4.38415801757898,1.69616041020508,1.72407475461428,1.71071212200454,4.2403039366977,1.64117506849592,1.91760671561258,1.80605540750484,NA,NA,NA,NA,-0.00475966568155691,0.000237666828621591,-0.00616785708892201,0.00145271049195102,"RT2_ZT8"
"100213","-",0.368043493360373,10,19.7822110325521,10,NA,NA,NA,NA,0.384452126351758,10,11.8181691282404,10,-0.00164433605980726,0,-0.000463545244841892,0,"RT2_ZT8"
"100223","LOC103693510",3.79158631038666,1.32712663142594,1.98270895137616,1.61418578019806,3.71476182559144,1.31525627240889,2.16898318952567,1.75026488721417,NA,NA,NA,NA,-0.00403667470446565,0.00762298016615241,-0.00715829191760532,0.00467371988801177,"RT2_ZT8"
"100241","-",2.87857154462706,7.44774357702058,2.5896297314309,4.43991815505009,2.81069816246216,7.39298237023317,2.82136057840095,4.25843952253188,NA,NA,NA,NA,-0.00280260950591953,0.006656832355158,-0.00077996410039549,-0.00780423693532826,"RT2_ZT8"
"100261","-",2.22300602470248,1.56133674092556,3.33290659821097,2.38352829288146,NA,NA,NA,NA,2.23684383648044,1.52920117856398,2.05846498877443,1.78967144677397,0.00276827088995378,-0.000457757731541588,0.00311781948367445,-0.00183479296975006,"RT2_ZT8"
"100285","Ncam2",1.06959310118287,10,6.85238059680633,10,NA,NA,NA,NA,1.1136315970211,10,4.10145561294409,8.12347050143054,-0.00237368649475676,-0.00129646194072996,-0.000663183315401687,0.00692671339952006,"RT2_ZT8"
"100286","Ncam2",2.74801145312498,1.99593036593666,2.70937739816786,2.33424783467982,2.68751167334351,1.9917075254858,2.94422993340316,2.5136346746075,NA,NA,NA,NA,0.00618082302533271,0.00138316406487519,0.00432896010505035,-0.00186317952098889,"RT2_ZT8"
"100301","Ncam2",12.7741589653113,0.926683132064279,0.637159522042846,0.832575047586845,12.6446850741791,0.944337915146546,0.736617845738273,0.862009778087339,NA,NA,NA,NA,0.00405983416529382,0.00856409766191763,0.00295027905563124,-0.00584257342093821,"RT2_ZT8"
"100329","-",10.2565367900703,0.306814291119338,0.776574577977047,0.45513966835897,10.1615434842981,0.323252309843807,0.882223706593068,0.535012307713423,NA,NA,NA,NA,0.00541195106994463,0.00532127756666475,0.00290953013896824,0.00150806960099732,"RT2_ZT8"
"100340","-",17.6537825267184,0.983471645823444,0.480170815355916,0.726739149689611,17.31410591358,0.976491706725386,0.575923720531879,0.746751806127146,NA,NA,NA,NA,-0.00620321459354807,-0.00152165251052094,-0.00795429980790746,0.00900325229522215,"RT2_ZT8"
"10037","Lsr",36.584645404956,0.0220636765160926,0.267510737710883,0.0981852536678108,NA,NA,NA,NA,37.0492146039214,0.020430653459144,0.155193747740438,0.066134528075305,-0.00121823408071132,-7.81264366936379e-06,-0.00354423208391291,0.00451001027155436,"RT2_ZT8"
"100384","-",2.21740368378225,10,3.34115246490863,6.00295047568556,2.15535153915544,10,3.63640975327106,5.68938856766595,NA,NA,NA,NA,-0.0106322007366628,0.00247392536389355,-0.0110672414561303,0.011827810734808,"RT2_ZT8"
"100391","-",1.01624960681472,8.36459422540189,7.20843360434931,7.59201703240135,0.979127093529094,8.19274106093706,7.83572122915725,7.93182699670421,NA,NA,NA,NA,-0.00708958056112076,-0.00174563938544091,-0.00644512705625423,0.00894951925699845,"RT2_ZT8"
"100405","LOC120095602",11.3051971146409,2.4953843136358,0.710958822045707,1.59124218344015,11.0863072666989,2.48536301500983,0.820375189518485,1.5296546466716,NA,NA,NA,NA,-0.00471003514288649,-0.0165866118345499,-0.00863963726799708,0.0115614563970132,"RT2_ZT8"
"10041","Fxyd5",31.0803257217951,0.14960055970378,0.302632105276907,0.20184390320384,30.7023674784934,0.159796254902899,0.386166931452512,0.250019845066944,NA,NA,NA,NA,-0.00498399130231555,0.000307090555208815,-0.00679449257375522,0.00408951621581833,"RT2_ZT8"
"100410","Mrpl39",17.7402086653237,0.181374326208435,0.478168646072441,0.27804186022743,17.4453631789253,0.181289789207446,0.572649647695843,0.332266221209106,NA,NA,NA,NA,-0.00163437145285575,-0.00625642163824322,-0.00443400734432954,0.00548942700523246,"RT2_ZT8"
"100426","Atp5pf",204.022985736503,0.0491053995529788,0.104757685344937,0.0653874518783885,NA,NA,NA,NA,207.140807250245,0.0536197116401081,0.0547738132986623,0.0539931672158643,0.00229157648471655,-0.00137355716715687,-0.000291687562482855,0.00341328402127109,"RT2_ZT8"
"100439","App",2864.52889803904,0.0506456890608744,0.0717295464518439,0.0568890512080301,NA,NA,NA,NA,2902.42418626235,0.0512756996385174,0.0344614881208371,0.0459886645067243,0.0024134851475834,-0.00116056198834892,-0.000178207131646256,0.00383282668871392,"RT2_ZT8"
"10044","Fxyd7",371.778510437477,0.0463906405455441,0.0887117281087827,0.0586611557909928,NA,NA,NA,NA,375.961281151666,0.0417209538137999,0.044951854998624,0.0427321711935619,-0.00127974360005093,0.00233757794030514,-0.00389155044990845,0.000804340002128525,"RT2_ZT8"
"100441","App",2.48392928357851,7.0854741787484,2.99007163376662,4.58636963726887,2.49125554675136,7.18358673362486,3.16508107826401,4.45420598305123,NA,NA,NA,NA,0.00968769499840409,0.0127407253543661,0.00734094845761204,-0.00370786977586399,"RT2_ZT8"
"100445","App",20.770561123938,0.230293297430136,0.418501073294391,0.291191778047279,NA,NA,NA,NA,21.068571485066,0.232939846310934,0.24795399830355,0.23795391792442,0.0019968213084996,-0.000242150611769554,-0.000819514862338662,0.00349388122175204,"RT2_ZT8"
"100446","App",89.040736916206,0.00813577213541432,0.150679086885583,0.0518329804579382,NA,NA,NA,NA,90.1260411083939,0.006785362299772,0.083173036836764,0.0324766059095125,-0.00137037385510736,-0.00032692820350473,-0.00380020776875689,0.00366647081998794,"RT2_ZT8"
"100497","App",6.16441230093903,0.211202546948025,1.24615350297489,0.612129650740916,NA,NA,NA,NA,6.26200863227911,0.222919337445248,0.756449667748659,0.447005254145165,-0.00340316980439817,-0.00184604325632316,-0.00517500755882919,0.00317455729017298,"RT2_ZT8"
"10050","Fxyd1",150.212221059597,0.209955194537528,0.117496733452592,0.175934335317618,147.552234273969,0.20649776945825,0.191829868076266,0.200581923282201,NA,NA,NA,NA,0.00539750537910822,0.00536851883458779,0.00196163777371544,0.00445035000208047,"RT2_ZT8"
"100518","App",25.2941577943507,1.26989215946761,0.356031634622634,0.866267163253829,24.6965875368271,1.25511099348698,0.445843751180646,0.849694138815492,NA,NA,NA,NA,-0.00497954034290543,0.0133098057277232,-0.00798559025447102,0.0102696344659353,"RT2_ZT8"
"100524","App",7.06740347199897,10,1.09577556658931,10,6.9101833219299,10,1.23109151815553,10,NA,NA,NA,NA,-0.0162780686999909,4.90910411139917e-05,-0.016424984295977,0.00898459118546204,"RT2_ZT8"
"100600","Cyyr1",4.52863494353408,1.21943743884863,1.67127922377344,1.43128902728435,4.38870070112405,1.16347452023499,1.85752579889402,1.53882771611011,NA,NA,NA,NA,-0.00105297406072954,0.0119046935489505,-0.00284253033357883,0.00617405426865643,"RT2_ZT8"
"10061","Fxyd3",2.04523853875635,10,3.61658084070895,6.22841492505997,2.01918654310642,10,3.87214036887936,5.90532110800979,NA,NA,NA,NA,0.00523456998653158,-0.00230150328371105,0.00421639581089798,0.0113579987310608,"RT2_ZT8"
"100638","Adamts1",3.58140301492863,0.0956333608051404,2.09500804117263,0.976737187553468,3.49560741811793,0.0271215422258915,2.29614059349368,1.18548902968574,NA,NA,NA,NA,-0.00104644142210225,-0.00788177975714388,-0.00324872416575807,0.00675826754024839,"RT2_ZT8"
