"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","feature_id","empirical_p","empirical_q","lfdr","lfc_shrunk","HBFSS","passes_hc_p_gate","HBFSS_significant","regulation_direction","raw_lfc_pass","shrunk_lfc_pass","padj_strong_effect","padj_weak_effect","effect_class","standard_significant","deseq2_strong_call","deseq2_weak_call","HBFSS_only_call","overlap_call","gene_symbol","R2_1","R2_2","R2_3","R2_4","R2_5","ZT8_1","ZT8_2","ZT8_3","ZT8_4","ZT8_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","neglog10_padj","neglog10_empirical_p","dataset_name","hc_p_threshold_dataset","hbfss_threshold_dataset"
45.4513102738965,-1.03844822005037,0.317646548215776,-3.269194096027,0.00107854289027218,0.522990909764251,"145545",0.00012032578129384,0.0566124897939854,0.0952609513872818,-0.781851780530933,3.0645785370319,TRUE,TRUE,"downregulated",TRUE,FALSE,1,0.552212090242786,"intermediate",FALSE,FALSE,FALSE,TRUE,FALSE,"Rab7b",46.0936813261735,27.8727791605025,34.6097952065234,17.7838856916048,21.2562133383683,63.1125550601549,62.8974200330464,87.0150094553736,49.5557868184323,44.3159766487854,0.0779711554301109,0.132586694091384,0.0958557018583488,7,FALSE,0.281505859648087,3.91964130970045,"RT2_ZT8_remainder_dataset",0.0195944513876702,1.70786689154505
200.12117281329,0.842317963620055,0.245827212828414,3.42646346565378,0.00061149601714463,0.434021801323712,"522218",5.56694588755846e-05,0.0385802527569251,0.0767134378692597,0.660110191189748,2.80836157562322,TRUE,TRUE,"upregulated",FALSE,FALSE,1,0.273883679023882,"intermediate",FALSE,FALSE,FALSE,TRUE,FALSE,"Cryab",306.031818640988,308.522831397286,266.830356592229,135.804218008618,266.668858244984,152.926575722683,124.88328325402,199.512985965535,102.651272695324,137.379527611235,0.0732027346742573,0.0555410644489852,0.0672090953291534,9,FALSE,0.362488454918862,4.25438300014968,"RT2_ZT8_remainder_dataset",0.0195944513876702,1.70786689154505
21.6261183008123,1.27478162901111,0.390744165692479,3.26244571496527,0.00110455325424066,0.522990909764251,"242233",0.000124281334757059,0.0573530755566556,0.0952609513872818,0.956704668098648,3.7365000987063,TRUE,TRUE,"upregulated",TRUE,FALSE,1,0.760226462704459,"intermediate",FALSE,FALSE,FALSE,TRUE,FALSE,"Ercc3",40.0486083653639,39.4063429510552,22.3289001332409,24.2507532158247,26.0871709152702,14.5644357831127,6.38089768451195,9.32303672736146,19.468344821527,14.4026924108552,0.0666697950214799,0.242409663709619,0.129319331236271,10,FALSE,0.281505859648087,3.90559409115481,"RT2_ZT8_remainder_dataset",0.0195944513876702,1.70786689154505
191.452212392262,-0.909196696631605,0.21546897429493,-4.21961769487571,2.44716943635423e-05,0.0634914934582114,"42414",6.92632524446068e-07,0.0017436706206922,0.00270157409191955,-0.791705586085072,4.87650827645091,TRUE,TRUE,"downregulated",FALSE,FALSE,1,0.347100940895599,"intermediate",FALSE,FALSE,FALSE,TRUE,FALSE,"Dbp",195.709237106212,143.20841706603,111.644500666205,118.020332317014,93.7205769918965,282.792794788771,242.474112011454,225.617488802147,204.417620626033,296.917043546862,0.0466927756201815,0.056566233171489,0.0498472048537935,7,FALSE,1.19728445725339,6.15949711882784,"RT2_ZT8_remainder_dataset",0.0195944513876702,1.70786689154505
5.12293714105888,4.15640443416171,1.08794470640272,3.820418822483,0.000133225249636648,0.241164346892261,"1473",6.99463626196994e-06,0.0114142517851268,0.0378147719598606,3.5232983297729,18.1634303892656,TRUE,TRUE,"upregulated",TRUE,TRUE,1,NA,"intermediate",FALSE,FALSE,FALSE,TRUE,FALSE,"Adgrg6",9.82324356131567,15.3780850540703,7.81511504663432,4.85015064316494,10.6281066691841,0,2.73467043621941,0,0,0,0.0556372216742878,0.917328923902974,0.55269436793566,6,FALSE,0.617686896749343,5.15523486495009,"RT2_ZT8_remainder_dataset",0.0195944513876702,1.70786689154505
2539.63656568778,-0.910215420025015,0.241581692337928,-3.76773343715049,0.00016473647049853,0.248504965747032,"436070",9.34153021803219e-06,0.0138421467260388,0.0543178066533865,-0.755354611318315,3.79911793933181,TRUE,TRUE,"downregulated",FALSE,FALSE,1,0.365314864723632,"intermediate",FALSE,FALSE,FALSE,TRUE,FALSE,"Camk2n1",1179.54486147798,2037.59626966432,1987.27211185844,2242.38631402326,1375.85671790166,2877.68977014668,4468.45149278251,3360.64397232289,1870.73095239582,3996.19319430422,0.079758231690444,0.0346844865272521,0.0696503217525467,7,FALSE,0.604664928560478,5.02958197700182,"RT2_ZT8_remainder_dataset",0.0195944513876702,1.70786689154505
47.1114955305037,0.993023629167493,0.307444497332028,3.22992812616538,0.00123821341391719,0.533669981398311,"11646",0.000145120586005909,0.0614393205878144,0.141407564480277,0.737471117731075,2.83061398724762,TRUE,TRUE,"upregulated",FALSE,FALSE,1,0.496827804802172,"intermediate",FALSE,FALSE,FALSE,TRUE,FALSE,"Sphk2",88.4091920518411,43.2508642145728,65.8702553930607,45.2680726695395,69.5657891073871,23.0603566565951,41.9316133553643,21.1322165820193,32.7422162907499,39.8843789839068,0.0709294167740461,0.129073800374003,0.0902115603200342,8,FALSE,0.272727225301566,3.83827097657244,"RT2_ZT8_remainder_dataset",0.0195944513876702,1.70786689154505
13.664529308092,1.52316946776371,0.506560786355223,3.00688388993378,0.00263940555804528,0.749389306578773,"415407",0.000404832535308097,0.112776664505778,0.218623256473583,1.03303071192959,3.5047887003239,TRUE,TRUE,"upregulated",TRUE,TRUE,1,0.84947097686659,"intermediate",FALSE,FALSE,FALSE,TRUE,FALSE,"Zcchc17",34.7591695246555,8.65017284291456,24.561790146565,16.1671688105498,17.3914472768468,6.06851490963028,3.64622724829255,10.5661082910096,7.0793981169189,7.75529591353744,0.144956787371808,0.364479471080708,0.216859918100298,6,FALSE,0.12529250836921,3.3927245916797,"RT2_ZT8_remainder_dataset",0.0195944513876702,1.70786689154505
293.290625554832,0.781728887391831,0.177666808623448,4.3999714603342,1.0826511604391e-05,0.0489953782656716,"249916",2.2722450476742e-07,0.0010100941263362,0.00270157409191955,0.690793774970264,4.58931941536876,TRUE,TRUE,"upregulated",FALSE,FALSE,1,0.128771039726819,"intermediate",FALSE,FALSE,FALSE,TRUE,FALSE,"Mt2A",412.576229575258,478.642897307939,356.145957125193,261.908134730907,343.964179475414,172.3458234335,228.800759830357,233.69745396586,208.842244449108,235.982575654782,0.0284550323997547,0.0483488259661616,0.0342857862260378,8,FALSE,1.30984488504051,6.64354483444254,"RT2_ZT8_remainder_dataset",0.0195944513876702,1.70786689154505
34.0473521381588,0.915611664404265,0.281760894914434,3.24960518272885,0.0011556533195542,0.522990909764251,"55611",0.000132148593684711,0.0587447724536329,0.115330283271446,0.681766625247756,2.64453009772197,TRUE,TRUE,"upregulated",FALSE,FALSE,1,0.391545348737579,"intermediate",FALSE,FALSE,FALSE,TRUE,FALSE,"Lto1",37.0260718849591,38.4452126351758,46.8906902798059,59.8185245990343,40.5800436459758,25.4877626204472,29.1698179863404,16.7814661092506,23.0080438799864,23.2658877406123,1e-08,0.16597601762912,0.0633234701693435,11,FALSE,0.281505859648087,3.87893745423654,"RT2_ZT8_remainder_dataset",0.0195944513876702,1.70786689154505
