"feature_id","original_rank_index","baseMean","alpha_used","dispFit","dispersion","mean_trt","mean_untrt","baseMean_scoring","iod_nb","cv2_nb","log_baseMean","log_iod_nb","log_cv2_nb","rank_index","log_baseMean_smooth","log_iod_nb_smooth","log_cv2_nb_smooth"
"157795",1,55.4640076338562,8.0131098516484,0.200006754067434,8.0131098516484,54.5967558563959,56.3312594113166,55.4640076338562,445.439185982755,8.03113956213382,4.01573429927642,6.09906073025901,2.08332643098259,1,3.64846726862713,5.22772325115759,1.57925598253045
"572970",2,86.4979065627132,2.55202643269881,0.153074471331505,2.55202643269881,79.3896711407797,93.6061419846466,86.4979065627132,221.744943921156,2.56358740613434,4.46012021205784,5.40152782012323,0.941407608065395,2,3.64745511836527,5.21108390930462,1.56362879093934
"56517",3,33.0516971073514,2.44540673731166,0.288708833405532,2.44540673731166,27.5095832856288,38.5938109290739,33.0516971073514,81.8248427859011,2.47566236977591,3.49807291467228,4.40458089903986,0.906507984367582,3,3.63608773271089,5.184280323485,1.54819259077409
"112224",4,25.6939548275264,5.84851752105744,0.351568494028514,5.84851752105744,35.7076235529934,15.6802861020593,25.6939548275264,151.271544994046,5.88743718160455,3.24625574351362,5.01907653300808,1.77282078949445,4,3.62345546794297,5.16259460037104,1.53913913242806
"37170",5,333.77381792916,1.4078683859491,0.0909337731306876,1.4078683859491,315.252900791248,352.294735067073,333.77381792916,470.909606319995,1.41086442681954,5.81046357174988,6.15466615695648,0.344202585206597,5,3.60664270696966,5.13894155373322,1.53229884676354
"217083",6,72.2210276689846,1.763103701365,0.169655680411192,1.763103701365,74.8987472067909,69.5433081311783,72.2210276689846,128.33316119957,1.77695008422988,4.27973124544877,4.85462970431673,0.574898458867956,6,3.6043151006884,5.12545319217513,1.52113809148672
"312769",7,31.2320339957083,3.22923564486167,0.301498203025789,3.22923564486167,28.0497140621767,34.41435392924,31.2320339957083,101.855597440473,3.26125405263291,3.44144429871973,4.6235560988502,1.18211180013048,7,3.5883685887408,5.10779442402325,1.51942583528244
"435225",8,23.9711378957256,5.34746125933431,0.37186268325577,5.34746125933431,19.4303291183954,28.5119466730558,23.9711378957256,129.184731239553,5.3891780941525,3.17685051898103,4.86124340510436,1.68439288612333,8,3.57572172646691,5.09738226674662,1.5216605402797
"221935",9,21.0379723066861,2.44058276242795,0.41406110736913,1.46913755332044,16.5046634974338,25.5712811159385,21.0379723066861,52.3449125681347,2.48811586045766,3.04632900996894,3.9578547514697,0.911525741500753,9,3.56339782684574,5.07395392111266,1.51055609426692
"379434",10,112.018476035855,1.81704768332217,0.133965061042037,1.81704768332217,95.3609522662261,128.675999805484,112.018476035855,204.542912370231,1.82597478209541,4.71866382229578,5.32077779391066,0.602113971614877,10,3.55295607199082,5.05463441328353,1.5016783412927
"513909",11,23.8800991265286,1.82065621474939,0.373016545021442,1.09873043827609,23.0878994377827,24.6722988152746,23.8800991265286,44.4774508835459,1.86253208782268,3.17304543954295,3.79498233902729,0.62193689948434,11,3.53553709056381,5.03491625056492,1.49937916000109
"299528",12,38.1485160083153,9.26200433888055,0.259381000670977,9.26200433888055,54.2380141694945,22.059017847136,38.1485160083153,354.33172079087,9.28821767834,3.64148685810928,5.87023353874402,2.22874668063474,12,3.51934336917738,5.01629198276714,1.49694861358975
"71208",13,26.4619220609392,2.3652904107635,0.343373615339788,2.3652904107635,32.8323051813134,20.0915389405651,26.4619220609392,63.5901305011106,2.40308056061343,3.27570679629577,4.15245827750414,0.876751481208372,13,3.50801449403872,4.99556248874922,1.48754799471049
"11310",14,51.1279850038838,2.34115520091554,0.211100387124414,2.34115520091554,77.572862785735,24.6831072220325,51.1279850038838,120.698548004174,2.36071396115075,3.93433199904258,4.7932960982397,0.858964099197115,14,3.51388626681557,4.9850551015046,1.47116883468902
"172193",15,29.1514844685701,3.93110736027093,0.318077621572903,3.93110736027093,36.4042849329748,21.8986840041654,29.1514844685701,115.59761515722,3.96541093068012,3.37250583666521,4.75011532589762,1.3776094892324,15,3.49828274505889,4.97170840048689,1.47342565542799
"167027",16,12.3498273134004,6.55124461464553,0.656674335643987,6.55124461464553,21.3576736103173,3.34198101648349,12.3498273134004,81.9067396787167,6.63221740678449,2.51364208025561,4.40558127903268,1.89193919877707,16,3.49120119225421,4.95152091345457,1.46031972120035
"416922",17,33.0953916217986,2.40967895682954,0.288419020440819,2.40967895682954,34.1002269033565,32.0905563402406,33.0953916217986,80.7492687590807,2.43989464399915,3.49939404676265,4.39134890644666,0.891954859684012,17,3.47451135090845,4.92383674416633,1.44932539325788
"56594",18,31.4143768666665,2.37436495344653,0.300149823185169,2.37436495344653,28.7639743931813,34.0647793401518,31.4143768666665,75.5891954665745,2.40619751228557,3.44726565012314,4.32531335586306,0.878047705739923,18,3.46981531451507,4.91024751863088,1.44043220411579
"60559",19,20.4595884225974,2.32601856636626,0.423810276215479,1.41806166746861,16.8475547719328,24.071622073262,20.4595884225974,48.5893825311737,2.37489540490987,3.01845164412356,3.88340504060242,0.864953396478863,19,3.45465398663994,4.89347929147841,1.43882530483845
"426214",20,6.76033617215976,5.54016671370625,1.14240472450353,2.93649250802113,2.01914328100527,11.5015290633143,6.76033617215976,38.4533894344639,5.68808835170381,1.91107261842783,3.6494468438081,1.73837422538027,20,3.4422242793637,4.87167848760576,1.42945420824205
"124536",21,16.5045395006243,2.92065514308195,0.508787734336011,1.65465363350913,17.5165873450388,15.4924916562099,16.5045395006243,49.2040681766977,2.98124453425897,2.80363546431758,3.89597630659817,1.09234084228058,21,3.45183897761227,4.86230746574381,1.41046848813153
"481724",22,9.08289632187997,10,0.867977937300283,10,18.1657926437599,0,9.08289632187997,91.8289632187997,10.1100970400368,2.20639311993109,4.51992775133845,2.31353463140736,22,3.45259680583851,4.85843947229939,1.40584266646087
"534198",23,22.5138025229205,10,0.391454476292054,10,25.2660174469685,19.7615875988726,22.5138025229205,226.138025229205,10.0444171969165,3.11412856659276,5.42114554395462,2.30701697736187,23,3.43311240491737,4.82832201214017,1.3952096072228
"287107",24,115.520989142539,1.07003069549386,0.132001332778301,1.07003069549386,97.9032655152565,133.138712769821,115.520989142539,124.611004356329,1.07868713106823,4.74945223762983,4.82519691992012,0.0757446822902888,24,3.41798980851532,4.80224651567682,1.38425670716149
