"rank","total","lead_n","rem_n"
12875,0.258619310989643,12875,18705
12876,0.258679039488598,12876,18704
12877,0.258699558776914,12877,18703
12878,0.258307524005259,12878,18702
12879,0.258343602029108,12879,18701
12880,0.258404887530194,12880,18700
12881,0.258456176931125,12881,18699
12882,0.258455053974733,12882,18698
12883,0.258475830624303,12883,18697
12884,0.25851247351905,12884,18696
12885,0.258497947298525,12885,18695
12886,0.258549695778719,12886,18694
12887,0.258583720360636,12887,18693
12888,0.258592741273371,12888,18692
12889,0.258586641722982,12889,18691
12890,0.258579392345423,12890,18690
12891,0.258614410425034,12891,18689
12892,0.258644358544098,12892,18688
12893,0.258508191876656,12893,18687
12894,0.258429767724189,12894,18686
12895,0.258386923115001,12895,18685
12896,0.258414424399086,12896,18684
12897,0.258365640789109,12897,18683
12898,0.258373027265543,12898,18682
12899,0.258421913636078,12899,18681
12900,0.258344243070153,12900,18680
12901,0.258326461406479,12901,18679
12902,0.258320441077739,12902,18678
12903,0.258328442637573,12903,18677
12904,0.258334293468507,12904,18676
12905,0.258169181954607,12905,18675
12906,0.258143775995537,12906,18674
12907,0.258204272542103,12907,18673
12908,0.25826088457152,12908,18672
12909,0.25831900488514,12909,18671
12910,0.257937075451369,12910,18670
12911,0.257989727276373,12911,18669
12912,0.258100383665889,12912,18668
12913,0.258145909483588,12913,18667
12914,0.25815243536727,12914,18666
12915,0.258214110998456,12915,18665
12916,0.258276539512531,12916,18664
12917,0.258333508753881,12917,18663
12918,0.25837029763174,12918,18662
12919,0.25764261075368,12919,18661
12920,0.257589108972558,12920,18660
12921,0.257651475951497,12921,18659
12922,0.257682783030822,12922,18658
12923,0.257698257809749,12923,18657
12924,0.257677853792569,12924,18656
12925,0.25715969738275,12925,18655
12926,0.257218387713935,12926,18654
12927,0.257256731939531,12927,18653
12928,0.257304364546299,12928,18652
12929,0.257366355317431,12929,18651
12930,0.25741839556258,12930,18650
12931,0.257470414006581,12931,18649
12932,0.257454339501211,12932,18648
12933,0.2575053907517,12933,18647
12934,0.257542359093902,12934,18646
12935,0.257582031367917,12935,18645
12936,0.257633449631839,12936,18644
12937,0.257695522922208,12937,18643
12938,0.257669882646029,12938,18642
12939,0.257726781313923,12939,18641
12940,0.257760502316145,12940,18640
12941,0.257805024586158,12941,18639
12942,0.25781517611603,12942,18638
12943,0.257877467429994,12943,18637
12944,0.257549088091737,12944,18636
12945,0.257600991011266,12945,18635
12946,0.257633701195059,12946,18634
12947,0.257688032277782,12947,18633
12948,0.257724731662304,12948,18632
12949,0.257511514704733,12949,18631
12950,0.257487198257933,12950,18630
12951,0.257518246583451,12951,18629
12952,0.257562013423343,12952,18628
12953,0.257624219530286,12953,18627
12954,0.257616409259847,12954,18626
12955,0.257623784452523,12955,18625
12956,0.257449200506536,12956,18624
12957,0.257483274191292,12957,18623
12958,0.257534686215339,12958,18622
12959,0.257555406304293,12959,18621
12960,0.257616803737105,12960,18620
12961,0.257671493976997,12961,18619
12962,0.257643493830473,12962,18618
12963,0.257619258941499,12963,18617
12964,0.257613712969047,12964,18616
12965,0.257633041417389,12965,18615
12966,0.257216773794211,12966,18614
12967,0.257274273557781,12967,18613
12968,0.257293684651103,12968,18612
12969,0.257354375676664,12969,18611
12970,0.257334085146268,12970,18610
12971,0.25737757432145,12971,18609
12972,0.257414032256648,12972,18608
12973,0.25745372939973,12973,18607
12974,0.257488435891873,12974,18606
12975,0.257462473570059,12975,18605
