"percentile","center_rank_trt","iod_amplitude_trt","cv2_amplitude_trt","iod_center_trt","cv2_center_trt","local_fourier_score_trt","center_rank_ctrl","iod_amplitude_ctrl","cv2_amplitude_ctrl","iod_center_ctrl","cv2_center_ctrl","local_fourier_score_ctrl","combined_center_rank","combined_iod_amplitude","combined_cv2_amplitude","combined_center_distance","combined_center_agreement","combined_fourier_score"
0.01,302,0.719332296999627,0.0831377137051973,1058,1058,2.01876313395092,307,0.751566056477842,0.123499275303146,1073.5,1073.5,2.08928666642045,304,1.47089835347747,0.206636989008344,0,1,2.08237422380067
0.02,604,0.71713516343836,0.0778199187492304,1209,862,1.00971145417648,613,0.751931845957184,0.0799799885406731,1226.5,1226.5,2.01053011237799,608,1.46906700939554,0.157799907289904,173.5,0.00573065902578797,1.02961384860271
0.03,906,0.745382663980308,0.0990766197478608,1360,856,1.08329975005937,920,0.777286473963538,0.0847582421202066,1380,1380,2.05265401517328,913,1.52266913794385,0.183834861868067,252,0.00395256916996047,1.09481286488265
0.04,1208,0.739078355191944,0.081672879387629,1511,879.5,1.04509333272386,1226,0.774192580394358,0.0727275459494791,1533,1030,1.02865444039575,1217,1.5132709355863,0.154400425337108,567.25,0.00175978882534096,1.05172533964695
0.05,1510,0.735171558893645,0.0632127919544843,1662,874,1.00850741652466,1533,0.757874008382761,0.0630662598868061,1686.5,1215.5,0.989685957194601,1522,1.49304556727641,0.12627905184129,629.5,0.00158604282315623,1.00483143637572
0.06,1813,0.733125716162256,0.059477271005418,1813.5,731.5,0.999094251229916,1839,0.757703988246986,0.0637018285463017,1839.5,1222.5,0.990118533205132,1826,1.49082970440924,0.12317909955172,849.5,0.00117577895355673,0.999280289980084
0.07,2115,0.452910478269449,0.0504805138905162,2115,2347.5,0.60139934034481,2146,0.479505573779342,0.0558397522221354,2146,3115.5,0.608480164339799,2130,0.93241605204879,0.106320266112652,601,0.00166112956810631,0.600176028802478
0.08,2417,0.341884990472728,0.0699025625335504,2417,2929,0.478627688460423,2452,0.381167068389298,0.0577506205213834,2452,3136,0.482753959796461,2434,0.723052058862026,0.127653183054934,598,0.00166944908180301,0.482782559335335
0.09,2719,0.276291946709663,0.0830741748679735,2719,3079,0.411134448898657,2759,0.278614982497707,0.0958161223181406,2759,3445.5,0.416867821408183,2739,0.55490692920737,0.178890297186114,523.25,0.00190748688602766,0.428708334051211
0.1,3021,0.234494859204887,0.0818672892127436,3021,3005,0.407592422360035,3066,0.235870849790488,0.108165670735334,3066,3066,1.38155147093431,3044,0.470365708995375,0.190032959948077,8,0.111111111111111,0.493468840079718
0.11,3323,0.213896812273766,0.123784357316951,3323,3323,1.39053789180873,3372,0.248808069286684,0.0869299757750899,3372,3500.5,0.367662605572306,3348,0.46270488156045,0.210714333092041,64.25,0.0153256704980843,0.4167146585277
0.12,3625,0.184589984642338,0.121093219683686,3625,3625,1.3456641634107,3679,0.206431595496176,0.0877724191609866,3679,3865,0.310959223517439,3652,0.391021580138514,0.208865638844673,93,0.0106382978723404,0.361101933138569
0.13,3927,0.162652627582429,0.0953701069733545,3927,3927,1.27240080140557,3985,0.191079857190092,0.0863854876104269,3985,3730,0.286755134027692,3956,0.353732484772521,0.181755594583781,127.5,0.00778210116731518,0.301104427907901
0.14,4229,0.137822293770905,0.0729409705747451,4229,4229,1.20066439599918,4292,0.141499922638633,0.102947547535947,4292,4292,1.24764579896602,4260,0.279322216409538,0.175888518110692,0,1,1.23583188667092
0.15,4532,0.144696503068664,0.100295181025529,4532,4532,1.25590756331905,4598,0.128680222044443,0.123647056934552,4598,4598,1.26843531919289,4565,0.273376725113107,0.22394223796008,0,1,1.28811495057991
0.16,4834,0.168755763716977,0.0753174358130305,4834,4797.5,0.27391894166493,4905,0.13869739617906,0.0952409965551005,4905,4905,1.22991948068544,4870,0.307453159896038,0.170558432368131,18.25,0.051948051948052,0.300666598352418
0.17,5136,0.108066101638429,0.117025049657859,5136,5136,1.23344418362451,5212,0.100368364568444,0.13500640230268,5212,5212,1.25179595286801,5174,0.208434466206873,0.252031451960538,0,1,1.27686711982943
0.18,5438,0.0881076075747067,0.166051110443896,5387,5438,0.307220959064218,5518,0.0957652227414282,0.103951966914932,5518,5518,1.18918476473032,5478,0.183872830316135,0.270003077358828,25.5,0.0377358490566038,0.318962157148264
0.19,5740,0.0854551730429964,0.107735258942832,5380.5,6132,0.188080998723343,5825,0.0780842787928788,0.139330714648556,5537,5825,0.233753715041267,5782,0.163539451835875,0.247065973591387,519.75,0.00192030724915987,0.242429836728164
0.2,6042,0.118188987902396,0.0989868518594743,6042,6070,0.251686632372563,6131,0.122175440731863,0.0918544889375785,6131,6221,0.212962330042279,6086,0.240364428634259,0.190841340797053,59,0.0166666666666667,0.243527051771565
0.21,6344,0.0921869359764309,0.100496133737456,6344,6065,0.187482815742592,6438,0.0815277162709781,0.14294261965268,6438,6438,1.24140928567288,6391,0.173714652247409,0.243438753390136,139.5,0.00711743772241993,0.250296332230755
