"dataset_name","feature_id","gene_symbol","stat","lfc_shrunk","pvalue","padj","empirical_p","empirical_q","lfdr","resGA_padj","resLA_padj","deseq2_strong_call","deseq2_weak_call","standard_significant","HBFSS_significant","HBFSS_only_call","overlap_call","hc_p_threshold_dataset","hbfss_threshold_dataset","HBFSS","regulation_direction"
"RT2_ZT8_rem","524314","Oaz2",0.890202637210084,2.46487907303354e-06,0.373357088862675,0.999995953763581,0.248189527915595,0.947348506718354,1,1,0.228166192574579,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.022966395841725,1.63890715408074,1.49178560142575e-06,"upregulated"
"RT2_ZT8_rem","231771","Usp14",-0.0956177941697022,-6.25379562964329e-08,NA,NA,0.901288335369051,0.98492614659471,1,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.022966395841725,1.63890715408074,2.82272880562872e-09,"downregulated"
"RT2_ZT8_rem","485183","Krt71",0.176371843465764,5.66969222092587e-07,0.860001823556667,0.999995953763581,0.819034460863108,0.983437384885387,1,1,0.0378705192082869,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.022966395841725,1.63890715408074,4.91549983526367e-08,"upregulated"
"RT2_ZT8_rem","245621","RGD1560341",-0.252744798763809,-4.57015958350369e-07,0.80046542707522,0.999995953763581,0.743019855032886,0.981773830551371,1,1,0.334840050887159,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.022966395841725,1.63890715408074,5.89548670617833e-08,"downregulated"
"RT2_ZT8_rem","541922","Arl4c",0.589980340592697,2.06018641703828e-06,0.555203829769012,0.999995953763581,0.444084592405714,0.969874503846956,1,1,0.0485105827862903,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.022966395841725,1.63890715408074,7.2628636504763e-07,"upregulated"
"RT2_ZT8_rem","147394","Trmt1l",0.286047917621704,7.49618359213262e-07,0.774841421173967,0.999995953763581,0.710594901457901,0.980957994128927,1,1,0.124093850416347,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.022966395841725,1.63890715408074,1.11226807621251e-07,"upregulated"
"RT2_ZT8_rem","290005","Ttc23l",-0.151322620753398,-1.01922787213827e-07,0.879721225968091,0.999995953763581,0.844380430853456,0.983926557740536,1,1,0.652167740887864,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.022966395841725,1.63890715408074,7.48743552196528e-09,"downregulated"
"RT2_ZT8_rem","163668","-",-0.753501641966612,-4.65143375115347e-08,0.451148524988751,0.999995953763581,0.328355589254878,0.959684821783342,1,1,0.712888997153321,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.022966395841725,1.63890715408074,2.2496919202418e-08,"downregulated"
"RT2_ZT8_rem","490759","Ppp1r12a",-0.47955173428621,-1.28259484900065e-06,0.631546173401466,0.999995953763581,0.533897419571221,0.974814615743136,1,1,0.144356791500966,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.022966395841725,1.63890715408074,3.49561193850703e-07,"downregulated"
"RT2_ZT8_rem","122349","Cux2",-0.828618966770547,-2.33908050796524e-06,0.407320052036722,0.999995953763581,0.282431779055645,0.953434765627249,1,1,0.212683007387811,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.022966395841725,1.63890715408074,1.28435738504891e-06,"downregulated"
"RT2_ZT8_rem","108461","Arvcf",0.54475467955121,1.68365126375417e-06,0.585922252419445,0.999995953763581,0.479785302069179,0.972053489051616,1,1,0.0925547344041435,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.022966395841725,1.63890715408074,5.37005723408665e-07,"upregulated"
"RT2_ZT8_rem","217345","Hist1h2bq",0.988563979633797,4.23379943225188e-06,0.322876516990053,0.999995953763581,0.199719563423669,0.935396019063962,1,1,0.0220048298775695,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.022966395841725,1.63890715408074,2.96187883249749e-06,"upregulated"
