"dataset_name","feature_id","gene_symbol","log2FoldChange","lfc_shrunk","Apeglm_L2FC","regulation_direction","stat","pvalue","padj","empirical_p","empirical_q","empirical_bh","lfdr","HBFSS","pi_valueE","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","weak_cnh_flag","strong_cnh_flag","standard_flag","hbfss_flag","final_class","weak_hbfss_overlap","strong_hbfss_overlap","standard_hbfss_overlap","any_overlap","baseMean.x","lfcSE","pval","padjc","qval","gene_empirical_pvalue","HBFSS_core_pass","raw_lfc_pass","shrunk_lfc_pass","padj_strong_effect","padj_weak_effect","effect_class","hc_pass","standard_significant","HBFSS_significant","R4_1","R4_2","R4_3","R4_4","R4_5","ZT10_1","ZT10_2","ZT10_3","ZT10_4","ZT10_5","dispGeneEst","dispFit","dispersion","dispIter","baseMean.y","dispOutlier","neglog10_padj","neglog10_empirical_p","neglog10_padjc"
"RT4_ZT10_NormEVS_leading_edge_dataset","92652","Septin4",3.63454159210078,3.50251635938867,3.50251635938867,"upregulated",7.48583085736923,7.10959108994606e-14,7.18576528019548e-11,1.01464630031245e-08,8.59902045305305e-06,8.99610776014526e-06,0.00017752013727148,27.9980136185982,27.9980136185982,0.017917484790559,1.7467229555136,1,8.14586444255409e-05,FALSE,TRUE,TRUE,TRUE,"HBFSS",FALSE,TRUE,TRUE,TRUE,430.197547416181,0.485522804529153,1.01464630031245e-08,8.99610776014526e-06,8.59902045305305e-06,1.01464630031245e-08,TRUE,TRUE,TRUE,8.14586444255409e-05,1,"strong_effect",TRUE,TRUE,TRUE,756.833000168298,755.332008704029,505.162524830238,261.312378624985,1702.08689482057,58.2777208818334,45.2185614797703,23.4161260683044,51.911435116338,142.424823467445,0.403499667300994,0.0971888632446054,0.272288238246974,10,430.197547416181,FALSE,10.1435269729344,7.99368532385242,5.04594535099584
"RT4_ZT10_NormEVS_leading_edge_dataset","340122","Rnf208",3.96463418663191,3.90124098671627,3.90124098671627,"upregulated",11.1612342766452,6.31092434076292e-29,2.97027958052943e-25,2.22044604925031e-16,7.52721849437566e-13,7.87481191366624e-13,7.52721849437566e-13,61.068308980398,61.068308980398,0.017917484790559,1.7467229555136,1,4.99443651006787e-13,FALSE,TRUE,TRUE,TRUE,"HBFSS",FALSE,TRUE,TRUE,TRUE,223.16211564481,0.355214673248807,2.22044604925031e-16,7.87481191366624e-13,7.52721849437566e-13,2.22044604925031e-16,TRUE,TRUE,TRUE,4.99443651006787e-13,1,"strong_effect",TRUE,TRUE,TRUE,455.505681835037,460.591413086773,312.097536892245,338.776522486146,529.315158153485,25.3381395138406,21.0318890603583,14.3098548195193,16.7948760670505,57.8600845336494,0.12932693141918,0.122003151832972,0.125999136839865,5,223.16211564481,FALSE,12,12,12
"RT4_ZT10_NormEVS_leading_edge_dataset","496624","Polr2f",2.64240117262421,2.52761433947766,2.52761433947766,"upregulated",6.83793773121519,8.03413016826283e-12,4.37242084157381e-09,1.67245883364586e-07,8.09937848038074e-05,8.4733932193215e-05,0.000591130228584451,17.1287439716657,17.1287439716657,0.017917484790559,1.7467229555136,1,0.018435223327796,FALSE,TRUE,TRUE,TRUE,"HBFSS",FALSE,TRUE,TRUE,TRUE,151.552206606543,0.386432470796224,1.67245883364586e-07,8.4733932193215e-05,8.09937848038074e-05,1.67245883364586e-07,TRUE,TRUE,TRUE,0.018435223327796,1,"strong_effect",TRUE,TRUE,TRUE,330.382207503808,250.197804639729,198.87145374064,157.510425851028,368.764588855746,35.4733953193769,44.1669670267524,13.0089589268358,50.3846282011515,66.7616360003646,0.172266849656032,0.14636644215311,0.161964762240881,9,151.552206606543,FALSE,8.35927804425726,6.77664456327044,4.07194263910014
"RT4_ZT10_NormEVS_leading_edge_dataset","4512","RGD1560015",3.06357145799278,3.01502583758692,3.01502583758692,"upregulated",11.1358233244887,8.3965500509666e-29,2.97027958052943e-25,2.22044604925031e-16,7.52721849437566e-13,7.87481191366624e-13,7.52721849437566e-13,47.1958871704102,47.1958871704102,0.017917484790559,1.7467229555136,1,2.24197337340068e-10,FALSE,TRUE,TRUE,TRUE,"HBFSS",FALSE,TRUE,TRUE,TRUE,372.343502137188,0.275109560265355,2.22044604925031e-16,7.87481191366624e-13,7.52721849437566e-13,2.22044604925031e-16,TRUE,TRUE,TRUE,2.24197337340068e-10,1,"strong_effect",TRUE,TRUE,TRUE,968.183887521797,682.357649017442,545.807785448763,382.672870674138,746.309286969961,93.7511162012103,64.1472616340928,88.4609207024831,67.1795042682021,84.5647389337952,0.0730069019062929,0.101344787027131,0.0819767289021566,10,372.343502137188,FALSE,12,12,12
"RT4_ZT10_NormEVS_leading_edge_dataset","270331","LOC100360846",3.39381895746277,3.30617671199811,3.30617671199811,"upregulated",8.80265619022494,1.33615412424965e-18,3.15109680968876e-15,1.629008039572e-11,3.68151238414251e-08,3.85151800822807e-08,1.373634365058e-05,35.6672881919307,35.6672881919307,0.017917484790559,1.7467229555136,1,9.43601327210204e-07,FALSE,TRUE,TRUE,TRUE,"HBFSS",FALSE,TRUE,TRUE,TRUE,84.3002276228137,0.385544872379713,1.629008039572e-11,3.85151800822807e-08,3.68151238414251e-08,1.629008039572e-11,TRUE,TRUE,TRUE,9.43601327210204e-07,1,"strong_effect",TRUE,TRUE,TRUE,112.001911480014,174.380288082235,165.484275375423,124.975485429341,193.162403686343,27.8719534652247,9.46435007716123,11.7080630341522,7.63403457593205,16.3195110223114,0.0760040460725537,0.206936726108819,0.130807511145545,10,84.3002276228137,FALSE,12,10.7880767723317,7.41436806720281
"RT4_ZT10_NormEVS_leading_edge_dataset","77571","Aarsd1",2.26618292193782,2.17490647734832,2.17490647734832,"upregulated",7.0475411836559,1.82106938483453e-12,1.61050823721304e-09,6.93384691885512e-08,4.58165368243904e-05,5.46464179949327e-05,0.00017752013727148,15.5702114766059,15.5702114766059,0.017917484790559,1.7467229555136,1,0.0447778259524379,FALSE,TRUE,TRUE,TRUE,"HBFSS",FALSE,TRUE,TRUE,TRUE,210.548894023837,0.321556534808676,6.93384691885512e-08,5.46464179949327e-05,4.58165368243904e-05,6.93384691885512e-08,TRUE,TRUE,TRUE,0.0447778259524379,1,"strong_effect",TRUE,TRUE,TRUE,442.384118983822,397.094242969872,301.936221737614,297.46231242686,302.2866187559,40.541023222145,55.7345060099495,52.035835707343,83.9743803352526,132.03968008961,0.107363717939942,0.125092011262759,0.113880756937237,9,210.548894023837,FALSE,8.79303704956703,7.15902575065631,4.26243830024711
"RT4_ZT10_NormEVS_leading_edge_dataset","281697","LOC103691697",5.75228694429769,5.55423173268764,5.55423173268764,"upregulated",7.56676687978259,3.82627645805166e-14,5.4141811881431e-11,7.03044955585597e-09,7.37631602935334e-06,8.99610776014526e-06,1.373634365058e-05,45.2837452026535,45.2837452026535,0.017917484790559,1.7467229555136,1,9.43601327210204e-07,FALSE,TRUE,TRUE,TRUE,"HBFSS",FALSE,TRUE,TRUE,TRUE,41.7234037823866,0.760204065446636,7.03044955585597e-09,8.99610776014526e-06,7.37631602935334e-06,7.03044955585597e-09,TRUE,TRUE,TRUE,9.43601327210204e-07,1,"strong_effect",TRUE,TRUE,TRUE,126.529356065288,90.5071603905079,85.6453705890347,66.1027360948578,41.3919436470735,0,3.15478335905374,3.90268767805073,0,0,0.166827759008142,0.346223646086009,0.260637719623893,11,41.7234037823866,FALSE,10.2664672144514,8.15301690351713,5.04594535099584
"RT4_ZT10_NormEVS_leading_edge_dataset","348412","Alkbh3",-2.95050918917564,-2.84210105287309,-2.84210105287309,"downregulated",-7.51291606115602,5.78246067255543e-14,6.81848487638828e-11,8.9779073064733e-09,8.1998609010836e-06,8.99610776014526e-06,1.373634365058e-05,22.8698894718018,22.8698894718018,0.017917484790559,1.7467229555136,1,0.000803429839387002,FALSE,TRUE,TRUE,TRUE,"HBFSS",FALSE,TRUE,TRUE,TRUE,307.213613601651,0.392724897384471,8.9779073064733e-09,8.99610776014526e-06,8.1998609010836e-06,8.9779073064733e-09,TRUE,TRUE,TRUE,0.000803429839387002,1,"strong_effect",TRUE,TRUE,TRUE,39.3646885536452,58.7585753320575,56.6130415758026,98.6376765165456,99.0898044884486,535.901650717729,473.217503858062,180.824529083017,581.713434686022,948.015231205178,0.221307240051655,0.107896300694625,0.178210593261019,8,307.213613601651,FALSE,10.1663121184412,8.04682488283891,5.04594535099584
"RT4_ZT10_NormEVS_leading_edge_dataset","3192","LOC120098984",-2.16340507939507,-2.09221836697754,-2.09221836697754,"downregulated",-7.80663573884154,5.87347073284806e-15,1.0388701358725e-11,2.3186583764101e-09,3.80048857367038e-06,4.11156096596921e-06,1.373634365058e-05,18.0658102330668,18.0658102330668,0.017917484790559,1.7467229555136,1,0.018435223327796,FALSE,TRUE,TRUE,TRUE,"HBFSS",FALSE,TRUE,TRUE,TRUE,236.082599370083,0.277123866383461,2.3186583764101e-09,4.11156096596921e-06,3.80048857367038e-06,2.3186583764101e-09,TRUE,TRUE,TRUE,0.018435223327796,1,"strong_effect",TRUE,TRUE,TRUE,98.8803486287992,69.6573433371972,45.0001099705097,107.416946154144,107.869913746919,466.221767054667,417.482997848112,271.887241570867,436.666777743313,339.7425476463,0.0685876669796257,0.119181263152063,0.0858284586427599,9,236.082599370083,FALSE,10.9834387381011,8.63476323418619,5.38599326566562
"RT4_ZT10_NormEVS_leading_edge_dataset","150946","-",-2.5162888997823,-2.40664591493683,-2.40664591493683,"downregulated",-6.86477556155336,6.6595871493976e-12,4.10631233078116e-09,1.49623603951099e-07,7.61190224945263e-05,8.38365010606455e-05,0.00017752013727148,16.4253581016089,16.4253581016089,0.017917484790559,1.7467229555136,1,0.0207785290633164,FALSE,TRUE,TRUE,TRUE,"HBFSS",FALSE,TRUE,TRUE,TRUE,129.297160044993,0.366550789202045,1.49623603951099e-07,8.38365010606455e-05,7.61190224945263e-05,1.49623603951099e-07,TRUE,TRUE,TRUE,0.0207785290633164,1,"strong_effect",TRUE,TRUE,TRUE,18.2764625427638,35.0656014078408,26.1290961119089,62.4877427146703,50.1720529055436,222.975627721797,196.64816271435,161.311090692763,180.163215991996,339.7425476463,0.14109369463362,0.159434853910455,0.147901780039986,9,129.297160044993,FALSE,8.3865480207774,6.82499988871026,4.07656685538138
"RT4_ZT10_NormEVS_leading_edge_dataset","306218","-",-4.95097538340455,-4.6138096106983,-4.6138096106983,"downregulated",-5.48897712547112,4.0426796786056e-08,8.66726022004079e-06,2.66629958207698e-05,0.00508679530571108,0.0054474806200053,0.0144490376526872,21.1039852716011,21.1039852716011,0.017917484790559,1.7467229555136,NA,0.0119779620839092,FALSE,TRUE,TRUE,TRUE,"HBFSS",FALSE,TRUE,TRUE,TRUE,21.7714629526566,0.901985063925658,2.66629958207698e-05,0.0054474806200053,0.00508679530571108,2.66629958207698e-05,TRUE,TRUE,TRUE,0.0119779620839092,NA,"strong_effect",TRUE,TRUE,TRUE,2.34313622343126,1.89543791393734,0,1.54928287722323,0,22.8043255624566,16.8255112482866,7.80537535610145,45.8042074555923,118.687352889537,0.756526085893649,0.598957463374567,0.690853708217318,9,21.7714629526566,FALSE,5.0621181642725,4.57409105539729,2.26380430612801
"RT4_ZT10_NormEVS_leading_edge_dataset","248301","-",-2.33029894961148,-2.22173630852261,-2.22173630852261,"downregulated",-6.61879814966017,3.62130920654830e-11,1.70805084242195e-08,4.08836387633116e-07,0.000165278911469575,0.000178915160618488,0.000591130228584451,14.1934523370149,14.1934523370149,0.017917484790559,1.7467229555136,1,0.077365293289257,FALSE,TRUE,TRUE,TRUE,"HBFSS",FALSE,TRUE,TRUE,TRUE,89.2692693742205,0.352072823029227,4.08836387633116e-07,0.000178915160618488,0.000165278911469575,4.08836387633116e-07,TRUE,TRUE,TRUE,0.077365293289257,1,"strong_effect",TRUE,TRUE,TRUE,23.8999894789989,32.2224445369348,21.7742467599241,35.6335061761343,33.8661357112419,168.49862776704,161.945545764759,59.8412110634445,172.529181416064,182.481805067663,0.0989680975517991,0.199338932871419,0.131016850501519,9,89.2692693742205,FALSE,7.76749920609744,6.38845045767521,3.74735285734216
