"dataset_name","feature_id","gene_symbol","lfc_shrunk","regulation_direction","lfdr","pvalue","wald_pvalue","padj","empirical_p","empirical_q","HBFSS","hc_wald_threshold_dataset","hc_empirical_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","hc_wald_pass","hc_empirical_pass","deseq2_strong_call","deseq2_weak_call_raw","deseq2_weak_call","standard_significant","HBFSS_significant","effect_class","baseMean.x","log2FoldChange","lfcSE","stat","lfcSE_shrunk","padj_strong_effect","padj_weak_effect","neglog10_wald_pvalue","neglog10_empirical_p","raw_lfc_pass","shrunk_lfc_pass","HBFSS_only_call","overlap_call","R0_1","R0_2","R0_3","R0_4","R0_5","ZT6_1","ZT6_2","ZT6_3","ZT6_4","ZT6_5","baseMean.y","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","hc_empirical_threshold_source","hc_wald_threshold_source"
"RT0_ZT6_raw_dataset","4123","Rgs17",1.44708842339191,"upregulated",0.273378181231969,0.000210424016543747,0.000210424016543747,0.220461242132884,0.000153127371873341,0.148966562392506,5.52056588731738,0.101416424366474,0.0937839148125296,1.02787164250788,0.959608488521136,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",22.0100322957474,1.75440895327682,0.473376262136644,3.70616165956035,0.533450404143429,1,0.959608488521136,3.67690469390434,3.81494717121531,TRUE,TRUE,TRUE,FALSE,50.9357955143557,22.3117216419304,29.4794773792714,36.4687264044218,30.7165573890172,12.0603296980504,4.82034694774832,14.1431193709485,10.3951906649366,8.76905794679368,22.0100322957474,0.0439490227081128,0.499303627752137,0.208995416150178,8,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT0_ZT6_raw_dataset","11310","Prmt1",3.03343455827132,"upregulated",9.00466392881246e-08,1.47188910456303e-12,1.47188910456303e-12,2.31314732227603e-08,4.84945417156268e-13,3.80626035854425e-09,37.3546448411428,0.101416424366474,0.0937839148125296,1.02787164250788,0.999999999963484,0.013589574572111,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"strong_effect",76.0492955307396,3.16378564419566,0.447044693482473,7.07711262502594,0.456721817624955,0.013589574572111,0.999999999963484,11.8321249094894,12,TRUE,TRUE,FALSE,TRUE,225.390895151024,157.297637575609,137.921840595877,82.4887859147637,81.4656522056542,14.9548088255825,15.666127580182,9.90018355966395,27.9870517902138,7.41997210882542,76.0492955307396,0.186327007475914,0.238661528402939,0.206881162499772,10,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT0_ZT6_raw_dataset","15145","LOC102548165",1.25220908689117,"upregulated",0.776605581460644,0.00205728413775895,0.00205728413775895,0.610023563527374,0.00164292468463989,0.462034671728835,3.48662887396837,0.101416424366474,0.0937839148125296,1.02787164250788,0.939024062483671,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",146.694111310612,1.79742758540921,0.583232790242356,3.08183561603644,0.795265131776511,1,0.939024062483671,2.68670572243319,2.78438234514377,TRUE,TRUE,TRUE,FALSE,662.165341686624,223.117216419304,70.5401780146852,127.640542415476,54.755602302161,36.1809890941511,78.3306379009101,106.073395282114,48.7774331200869,59.3597768706034,146.694111310612,0.551750164683036,0.187537691339097,0.399138951149203,11,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT0_ZT6_raw_dataset","18017","Dlg2",7.51942927915824,"upregulated",0.13247148703303,1.14960929842182e-05,1.14960929842182e-05,0.0516190997981374,7.41666234804761e-06,0.0248132071150154,38.5731043430742,0.101416424366474,0.0937839148125296,1.02787164250788,0.999999999963484,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",7.67526291453783,6.61378150000874,1.50760990262716,4.38693158520886,2.98088406942986,1,0.999999999963484,4.93944973214162,5.12979149228626,TRUE,TRUE,TRUE,FALSE,43.2954261872023,18.9649633956408,0,7.81472708666182,6.6775124758733,0,0,0,0,0,7.67526291453783,3.02260534778588,1.18436233464175,1.69321752123702,9,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT0_ZT6_raw_dataset","28816","Cpeb3",1.04198140799172,"upregulated",0.74348565572302,0.00181153552250637,0.00181153552250637,0.569152792951651,0.00143926119758464,0.437476700329456,2.9611656832032,0.101416424366474,0.0937839148125296,1.02787164250788,0.888792251556081,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",29.3605692278738,1.4651299384947,0.46966704346738,3.11950765733567,0.613637139097104,1,0.888792251556081,2.74195314543996,2.84186038300863,TRUE,TRUE,TRUE,FALSE,85.3174574865457,41.2766850375712,23.1624465122847,37.3370294140509,28.0455523986678,12.5427428859724,15.666127580182,19.8003671193279,13.5937108695324,16.8635729746032,29.3605692278738,0.130459942300044,0.407473553826238,0.223243362554863,9,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT0_ZT6_raw_dataset","39530","Rsph6a",1.12618616516733,"upregulated",0.74348565572302,0.00138391733662051,0.00138391733662051,0.513736183248198,0.00108760656212326,0.386095858777693,3.33748443723433,0.101416424366474,0.0937839148125296,1.02787164250788,0.90812746142103,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",37.3036299952487,1.53524587081025,0.480066706328355,3.19798446876708,0.606446848358601,1,0.90812746142103,2.85888985014063,2.96352818074128,TRUE,TRUE,TRUE,FALSE,47.115610850779,26.7740659703165,60.0117932363739,87.6986039725383,54.755602302161,6.27137144298619,22.8966480018045,21.2146790564228,19.9907512787241,26.3071738403811,37.3036299952487,0.184396339586428,0.348924033691029,0.243256350178771,9,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT0_ZT6_raw_dataset","40451","Ttc9b",1.10337444049532,"upregulated",0.776605581460644,0.00267261102071837,0.00267261102071837,0.693714309557077,0.00215693727486932,0.511399117582764,2.94177553936004,0.101416424366474,0.0937839148125296,1.02787164250788,0.917166112414978,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",80.4171288198488,1.65037120569827,0.549559299110718,3.00308121137948,0.790435781065184,1,0.917166112414978,2.5730642450775,2.66616248427818,TRUE,TRUE,TRUE,FALSE,53.4825852900734,150.60412108303,60.0117932363739,163.240965810269,182.963841838928,28.9447912753209,61.459423583791,4.24293581128455,60.7718838873214,38.4489463820954,80.4171288198488,0.435962851632018,0.232895545951502,0.346477164009227,11,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT0_ZT6_raw_dataset","41106","-",2.34372813891712,"upregulated",0.143046311438116,8.48099165830781e-05,8.48099165830781e-05,0.142383809690431,5.94477624613621e-05,0.0885759471511008,9.90427750950986,0.101416424366474,0.0937839148125296,1.02787164250788,0.995923535631549,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",23.4099267092606,2.76698169246783,0.703997604502289,3.93038509615956,0.78336125557772,1,0.995923535631549,4.07155336395185,4.22586448703303,TRUE,TRUE,TRUE,FALSE,33.1082670843312,22.3117216419304,48.4305699802316,34.7321203851637,65.4396222635583,0,4.82034694774832,4.24293581128455,13.5937108695324,7.41997210882542,23.4099267092606,0.53866990932445,0.477369237426463,0.50749040412354,7,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT0_ZT6_raw_dataset","43242","Gas2",2.03708750649283,"upregulated",0.776605581460644,0.00217248186027964,0.00217248186027964,0.613627539765848,0.00173873717988471,0.472583017853359,5.62188495992261,0.101416424366474,0.0937839148125296,1.02787164250788,0.984448775895248,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",10.1677469770079,2.99020896583215,0.975413748719144,3.06558008820228,1.39176315004392,1,0.984448775895248,2.66304384112249,2.75976605914273,TRUE,TRUE,TRUE,FALSE,42.0220312993434,17.8493773135443,20.0039310787913,6.07812106740364,4.00650748552398,3.85930550337612,3.61526021081124,4.24293581128455,0,0,10.1677469770079,0.908142123418416,0.926513353572188,0.917410585314872,5,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
"RT0_ZT6_raw_dataset","43356","-",4.05789159019843,"upregulated",0.273378181231969,0.000196614099352095,0.000196614099352095,0.220461242132884,0.000142678936534635,0.144162155790063,15.6051907682633,0.101416424366474,0.0937839148125296,1.02787164250788,0.999100279978751,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"intermediate",5.95486720931018,4.76501094574159,1.27977212870874,3.72332764470296,1.39131245410102,1,0.999100279978751,3.70638534178742,3.84564013635962,TRUE,TRUE,TRUE,FALSE,26.7412926450367,5.5779304104826,4.21135391132449,9.55133310592001,12.0195224565719,1.44723956376604,0,0,0,0,5.95486720931018,0.584052833001829,1.48825066864027,1.0805198906737,9,FALSE,"empirical_quantile_fallback","wald_quantile_fallback"
