"comparison_name","model_selection_mode","search_stage","filtered_rank_index","cutoff_feature_id","original_rank_index","objective_score","valid_split","improvement_vs_null","regime_plausible","lead_iod_mean","rem_iod_mean","lead_cv2_mean","rem_cv2_mean","lead_slope","rem_slope"
"RT0_ZT6","bic","coarse",6082,"257439",6082,50482.8590068367,FALSE,50482.8590068367,FALSE,2.66223717585122,2.07479430157238,0.786123335165232,-0.209118727687808,1.10065232298724,-1.09306786953468
"RT0_ZT6","bic","coarse",6081,"287122",6081,50482.8040705006,FALSE,50482.8040705006,FALSE,2.66228817416174,2.07480518890545,0.786161772425292,-0.209088831916592,1.10062585862273,-1.09307654428403
"RT0_ZT6","bic","coarse",6080,"106549",6080,50482.5637902054,FALSE,50482.5637902054,FALSE,2.66233810543737,2.07481633407208,0.786197777981376,-0.209058355065677,1.10059855516779,-1.09308558728625
"RT0_ZT6","bic","coarse",6083,"480986",6083,50482.4115915567,FALSE,50482.4115915567,FALSE,2.6621833073817,2.07478410286904,0.786078903718073,-0.209147191196634,1.10067558704557,-1.09306010073079
"RT0_ZT6","bic","coarse",6079,"554170",6079,50482.1716955974,FALSE,50482.1716955974,FALSE,2.66238707272366,2.07482771232591,0.786231775170342,-0.209027398513062,1.10057100504327,-1.09309495195014
"RT0_ZT6","bic","coarse",6084,"341557",6084,50481.9269135834,FALSE,50481.9269135834,FALSE,2.66212891401781,2.07477403298099,0.786034311762141,-0.209175615109431,1.10069982590581,-1.09305242027355
"RT0_ZT6","bic","coarse",6078,"212319",6078,50481.2048793619,FALSE,50481.2048793619,FALSE,2.66242875076417,2.07484083264898,0.786263363957439,-0.208995867108716,1.10055353856767,-1.09310546437384
"RT0_ZT6","bic","coarse",6085,"330227",6085,50481.1558001898,FALSE,50481.1558001898,FALSE,2.66207072452568,2.07476487357227,0.785987997257452,-0.209203626188661,1.10073022177012,-1.09304543450846
"RT0_ZT6","bic","coarse",6086,"434308",6086,50480.3672678496,FALSE,50480.3672678496,FALSE,2.6620140456738,2.07475535700736,0.785940484908365,-0.20923134957449,1.1007544573038,-1.09303830795689
"RT0_ZT6","bic","coarse",6077,"140680",6077,50480.3197579277,FALSE,50480.3197579277,FALSE,2.66247131032371,2.07485374493798,0.786295455780109,-0.208964455693082,1.10053514709833,-1.09311582728836
"RT0_ZT6","bic","coarse",6076,"533492",6076,50479.5003336154,FALSE,50479.5003336154,FALSE,2.66251392038908,2.07486664750925,0.786328988230419,-0.20893338779877,1.10051839130833,-1.09312602309774
"RT0_ZT6","bic","coarse",6087,"82672",6087,50479.4296029521,FALSE,50479.4296029521,FALSE,2.66195692450643,2.07474594987067,0.785891160910305,-0.209258638377533,1.10077594199433,-1.09303137983917
"RT0_ZT6","bic","coarse",6075,"237551",6075,50478.5929196039,FALSE,50478.5929196039,FALSE,2.66255679222578,2.07487948999551,0.786360079247744,-0.20890173757325,1.10049846082868,-1.09313646703407
"RT0_ZT6","bic","coarse",6088,"351394",6088,50478.4703818957,FALSE,50478.4703818957,FALSE,2.66189945995016,2.0747366285765,0.785841763788476,-0.209285907968014,1.10079819955461,-1.09302450888048
"RT0_ZT6","bic","coarse",6074,"331962",6074,50477.7501548329,FALSE,50477.7501548329,FALSE,2.66260100165918,2.07489201596607,0.786390565245446,-0.208869943159546,1.10047587213798,-1.09314682048451
"RT0_ZT6","bic","coarse",6089,"19427",6089,50477.3993499512,FALSE,50477.3993499512,FALSE,2.66184215315472,2.07472727333955,0.785790779506178,-0.209312796295725,1.10081628181321,-1.09301773353377
"RT0_ZT6","bic","coarse",6073,"550280",6073,50476.8873615639,FALSE,50476.8873615639,FALSE,2.66264636007841,2.0749042705699,0.786418553614065,-0.208837553554138,1.10045010215509,-1.09315728500663
"RT0_ZT6","bic","coarse",6090,"503184",6090,50476.4066092949,FALSE,50476.4066092949,FALSE,2.66178453530276,2.07471799626452,0.785741048875561,-0.209339982567388,1.10083821382045,-1.0930109145434
"RT0_ZT6","bic","coarse",6072,"178080",6072,50475.8694778634,FALSE,50475.8694778634,FALSE,2.66269053903559,2.07491680883219,0.786444238198943,-0.208804615313575,1.10042519815781,-1.09316815219487
"RT0_ZT6","bic","coarse",6091,"272096",6091,50475.4426589999,FALSE,50475.4426589999,FALSE,2.6617274097237,2.07470860522544,0.785691438578468,-0.209367195854319,1.10085908291558,-1.09300402016555
"RT0_ZT6","bic","coarse",6071,"306013",6071,50474.9602115998,FALSE,50474.9602115998,FALSE,2.66273651866274,2.07492892057436,0.78646969415055,-0.208771623171227,1.10039807088404,-1.0931787828991
"RT0_ZT6","bic","coarse",6092,"496241",6092,50474.3854194972,FALSE,50474.3854194972,FALSE,2.66167121928526,2.07469899418685,0.785640036976095,-0.209393978780079,1.10087294792972,-1.09299713677682
"RT0_ZT6","bic","coarse",6070,"208838",6070,50474.0897399579,FALSE,50474.0897399579,FALSE,2.66278322940459,2.07494086082453,0.786494951886966,-0.208738584405883,1.10037007641794,-1.09318932233639
"RT0_ZT6","bic","coarse",6093,"572226",6093,50473.5164492475,FALSE,50473.5164492475,FALSE,2.66161525299839,2.0746893331641,0.785591059004295,-0.209421339786897,1.10089213604638,-1.09299004126824
"RT0_ZT6","bic","coarse",6069,"302965",6069,50473.4116215055,FALSE,50473.4116215055,FALSE,2.6628340691299,2.07495182048846,0.786518549696876,-0.208705150940652,1.10033798421731,-1.09319930112233
"RT0_ZT6","bic","coarse",6068,"522245",6068,50472.7670123476,FALSE,50472.7670123476,FALSE,2.66288531241021,2.0749626871953,0.786542583332286,-0.208671822017718,1.10030526354094,-1.09320917167375
"RT0_ZT6","bic","coarse",6094,"505465",6094,50472.3931261601,FALSE,50472.3931261601,FALSE,2.66155826294459,2.07467992083322,0.785539295045005,-0.209448032226933,1.10090737150067,-1.0929832955928
"RT0_ZT6","bic","coarse",6067,"37667",6067,50472.2841278403,FALSE,50472.2841278403,FALSE,2.66293871139842,2.07497304389952,0.786568261070003,-0.208638885206503,1.10026944409183,-1.09321850504307
"RT0_ZT6","bic","coarse",6066,"159124",6066,50471.7633989584,FALSE,50471.7633989584,FALSE,2.66299166371411,2.07498351029103,0.786593482715387,-0.20860584041326,1.10023433618339,-1.09322796220083
"RT0_ZT6","bic","coarse",6095,"356499",6095,50471.1921904541,FALSE,50471.1921904541,FALSE,2.6615051968893,2.07466957278015,0.785484252344291,-0.20947393772094,1.10090115653186,-1.09297637008001
"RT0_ZT6","bic","coarse",6065,"554522",6065,50470.9638144489,FALSE,50470.9638144489,FALSE,2.66304192145869,2.07499462120332,0.786613634480402,-0.208571589829915,1.10020524283544,-1.09323834116976
"RT0_ZT6","bic","coarse",6064,"9514",6064,50470.1845670556,FALSE,50470.1845670556,FALSE,2.66309293837248,2.07500555457596,0.786632786069745,-0.208537102404495,1.10017656992005,-1.09324865116651
"RT0_ZT6","bic","coarse",6096,"53397",6096,50470.0068172607,FALSE,50470.0068172607,FALSE,2.66145286686382,2.07465905183154,0.785428961640302,-0.2094997815383,1.10089178597541,-1.09296940017171
"RT0_ZT6","bic","coarse",6063,"513327",6063,50469.6338272566,FALSE,50469.6338272566,FALSE,2.66314668808521,2.07501584107558,0.786655616200733,-0.208503491152855,1.10014217759252,-1.09325813009754
"RT0_ZT6","bic","coarse",6062,"263709",6062,50469.0586759174,FALSE,50469.0586759174,FALSE,2.66319792192232,2.07502672928422,0.78668211211626,-0.208470752505198,1.10010869462999,-1.09326781938463
"RT0_ZT6","bic","coarse",6097,"141685",6097,50468.8070475954,FALSE,50468.8070475954,FALSE,2.66140161478782,2.07464827598664,0.785372840187852,-0.209525424068454,1.10087608555799,-1.09296241713377
