"percentile","center_rank_trt","iod_amplitude_trt","cv2_amplitude_trt","iod_center_trt","cv2_center_trt","local_fourier_score_trt","center_rank_ctrl","iod_amplitude_ctrl","cv2_amplitude_ctrl","iod_center_ctrl","cv2_center_ctrl","local_fourier_score_ctrl","combined_center_rank","combined_iod_amplitude","combined_cv2_amplitude","combined_center_distance","combined_center_agreement","combined_fourier_score","regime_difference","regime_direction"
0.01,302,0.456032094193255,0.0930903064157415,1058,716.5,1.06108705929409,307,0.402758129487865,0.141094615492941,1073.5,1073.5,2.11993202044156,304,0.85879022368112,0.234184921908683,170.75,0.00582241630276565,1.05709265251784,0.624605301772437,"IOD_dominant"
0.02,604,0.45012125129074,0.0851128971497291,1209,771.5,1.03875794149419,613,0.436725541632323,0.171201614563835,1226.5,1226.5,2.25931331397328,608,0.886846792923062,0.256314511713565,218.75,0.00455062571103527,1.10796626906241,0.630532281209498,"IOD_dominant"
0.03,906,0.461791782272558,0.0933898152154229,1360,1360,2.07141488985693,920,0.401888747145509,0.157358151218469,1380,1380,2.14770295737932,913,0.863680529418067,0.250747966433892,0,1,2.07069647369455,0.612932562984175,"IOD_dominant"
0.04,1208,0.426006873591609,0.0649222875424378,1511,1511,1.9610281866774,1226,0.415393032779554,0.149430400548076,1533,1533,2.16651040227248,1217,0.841399906371163,0.214352688090514,0,1,2.01397335781578,0.62704721828065,"IOD_dominant"
0.05,1510,0.442572684432197,0.0572270430315436,1662,770,0.991219666908649,1533,0.406383328707494,0.167986303530059,1686.5,1686.5,2.17836988448602,1522,0.848956013139691,0.225213346561602,446,0.00223713646532438,1.03424131570608,0.623742666578089,"IOD_dominant"
0.06,1813,0.447206459891287,0.0938188341220429,1813.5,1813.5,2.03912121544116,1839,0.390759857601524,0.163279887948752,1839.5,1839.5,2.13107868001519,1826,0.837966317492811,0.257098722070795,0,1,2.04457246490905,0.580867595422016,"IOD_dominant"
0.07,2115,0.22508726492088,0.0491359270800674,2115,1879.5,0.497498549099208,2146,0.18708987883243,0.179465193398887,2146,2146,1.65723463115203,2130,0.412177143753309,0.228601120478954,117.75,0.00842105263157895,0.511678243683451,0.183576023274355,"IOD_dominant"
0.08,2417,0.195678646654252,0.0717398596882743,2417,2417,1.45109848814219,2452,0.134979602269727,0.129536695024163,2452,2452,1.43652452353181,2434,0.330658248923979,0.201276554712437,0,1,1.38182853896053,0.129381694211542,"IOD_dominant"
0.09,2719,0.161399241516783,0.0659149506023467,2719,2719,1.36798816830355,2759,0.0872684561570845,0.0796236716434061,2759,2766.5,0.34436780532173,2739,0.248667697673867,0.145538622245753,3.75,0.210526315789474,0.447235697184882,0.103129075428115,"IOD_dominant"
0.1,3021,0.132277572052887,0.0257215384208551,3021,2982,0.285186417138098,3066,0.0906550026848113,0.118825695898744,3066,3066,1.3072163104025,3044,0.222932574737698,0.144547234319599,19.5,0.0487804878048781,0.253366989669515,0.0783853404180988,"IOD_dominant"
0.11,3323,0.0948136420039709,0.0467548270845508,3065,3777,0.199674104740661,3372,0.0438884351782584,0.0824479303329697,3142,2935.5,0.129468859342285,3348,0.138702077182229,0.12920275741752,252.75,0.00394088669950739,0.0935458343363044,0.00949931976470875,"IOD_dominant"
0.12,3625,0.115214789740984,0.175407471659521,3625,3625,1.37985131173862,3679,0.0808462938566543,0.122578281866159,3679,3679,1.28986580873725,3652,0.196061083597639,0.297985753525681,0,1,1.29672196918891,-0.101924669928042,"CV2_dominant"
0.13,3927,0.0915996407080735,0.0522712843924099,3927,3850,0.20969802056223,3985,0.0448215619533194,0.125185995643975,3985,3985,1.20558389995001,3956,0.136421202661393,0.177457280036385,38.5,0.0253164556962025,0.15140481312853,-0.0410360773749916,"CV2_dominant"
0.14,4229,0.0725857099058562,0.119406295208299,3825,4229,0.227509340851183,4292,0.0971129186849036,0.116485920264805,4292,4619,0.321929191853044,4260,0.16969862859076,0.235892215473103,365.5,0.00272851296043656,0.216852703637587,-0.0661935868823436,"CV2_dominant"
0.15,4532,0.0843975996213056,0.0918117584836201,4532,4532,1.22243746659372,4598,0.0433027238277024,0.0866849817862956,4771,4494.5,0.134599954909775,4565,0.127700323449008,0.178496740269916,138.25,0.00718132854578097,0.123503192017641,-0.0507964168209077,"CV2_dominant"
0.16,4834,0.0393449302428666,0.111572000711509,4050.5,4834,0.143415827684263,4905,0.0507290452863081,0.171973446962731,4821.5,4905,0.318102595727243,4870,0.0900739755291746,0.28354544767424,433.5,0.00230149597238205,0.158302554637985,-0.193471472145065,"CV2_dominant"
0.17,5136,0.038713645614559,0.169877427051145,4089.5,6507.5,0.202670829796831,5212,0.0643710336281857,0.0994518843829098,5212,4911.5,0.209897123822641,5174,0.103084679242745,0.269329311434054,1058.75,0.000943618778013682,0.161211044723712,-0.16624463219131,"CV2_dominant"
0.18,5438,0.0329941465184676,0.15463852050057,4228.5,5438,0.174159680438865,5518,0.0536145381067777,0.143296292438801,4878.5,5518,0.262206079209872,5478,0.0866086846252453,0.297934812939371,924.5,0.00108049702863317,0.164571653106027,-0.211326128314126,"CV2_dominant"
0.19,5740,0.0215817718333424,0.18783848789265,6467.5,5740,0.184121763009513,5825,0.04800909653337,0.16204764629036,5825,5825,1.28128168110538,5782,0.0695908683667125,0.34988613418301,363.75,0.00274160383824537,0.187790866871212,-0.280295265816298,"CV2_dominant"
0.2,6042,0.0209888270349087,0.108628253079889,5869,6114,0.10188696600821,6131,0.0637986768008916,0.123034062679551,6131,6162,0.279800177753908,6086,0.0847875038358003,0.23166231575944,138,0.00719424460431655,0.114551249214258,-0.14687481192364,"CV2_dominant"
0.21,6344,0.0205834618945174,0.149947649133338,6187.5,6344,0.146868161767744,6438,0.0444830348826032,0.199843485990402,6339.5,7801,0.342780979391605,6391,0.0650664967771206,0.34979113512374,809,0.00123456790123457,0.180700968334944,-0.28472463834662,"CV2_dominant"
0.22,6646,0.0435514592621847,0.390617705903826,7879.5,8023,0.453001620957336,6744,0.0696140464096811,0.336537702909084,6744,6744,1.65572129767117,6695,0.113165505671866,0.72715540881291,71.75,0.013745704467354,0.558758568922037,-0.613989903141044,"CV2_dominant"
0.23,6948,0.0600568673456361,0.185429296826165,6948,6277.5,0.268078616857793,7051,0.0539915125217859,0.29709919610265,7051,7051,1.54453437763044,7000,0.114048379867422,0.482528492928816,335.25,0.00297397769516729,0.350037499394348,-0.368480113061394,"CV2_dominant"
0.24,7250,0.0320531828719735,0.179493284055148,8032.5,6483.5,0.198097024617688,7357,0.0505781604527786,0.109347551124041,7357,7429,0.204378415283005,7304,0.0826313433247521,0.288840835179189,738.5,0.00135226504394861,0.152604829909012,-0.206209491854437,"CV2_dominant"
0.25,7552,0.022642934007559,0.151616926237451,7635,7944,0.150130315947284,7664,0.0452814587189136,0.379904346624431,7778,9105.5,0.676089482039467,7608,0.0679243927264727,0.531521272861882,818.25,0.00122062862374123,0.332016812153205,-0.463596880135409,"CV2_dominant"
0.26,7855,0.0343771664057914,0.170495766052878,6545,8937.5,0.193591699972126,7971,0.0436712758499918,0.213232734507108,7750.5,6516,0.365532088991538,7913,0.0780484422557832,0.383728500559986,579,0.00172413793103448,0.224598660095709,-0.305680058304203,"CV2_dominant"
0.27,8157,0.0223995772514236,0.189482474639034,7533.5,8977,0.187012478045263,8277,0.0644179357346947,0.184582965879729,8277,9772,0.363983893646224,8217,0.0868175129861182,0.374065440518763,1469.25,0.000680156435980275,0.226363822828402,-0.287247927532645,"CV2_dominant"
0.28,8459,0.0345621214142062,0.426964146609672,9190.5,8459,0.46562269864472,8584,0.129942100183981,0.176485843187951,8584,9990.5,0.511152868831757,8522,0.164504221598188,0.603449989797623,337.5,0.00295420974889217,0.509795315211972,-0.438945768199436,"CV2_dominant"
0.29,8761,0.0393105166397477,0.280282629708175,8761,8761,1.32011555541205,8890,0.0933290640793153,0.205900053823805,9107,8272.5,0.47521964780605,8826,0.132639580719063,0.48618268353198,417.25,0.00239091452480574,0.375050493760108,-0.353543102812917,"CV2_dominant"
0.3,9063,0.0163901056164263,0.191920396991263,9682,9081.5,0.177063359080637,9197,0.0857058542798141,0.191961323868271,9171,10010.5,0.430718744975499,9130,0.10209595989624,0.383881720859534,119.5,0.00829875518672199,0.260560643364209,-0.281785760963294,"CV2_dominant"
0.31,9365,0.0541001844343138,0.265442436006248,9365,9902,0.339517671607761,9503,0.078655500544987,0.245272595081303,9198,10849.5,0.510779403436065,9434,0.132755684979301,0.510715031087551,1094.25,0.000913033553983109,0.39367293595661,-0.37795934610825,"CV2_dominant"
0.32,9667,0.0355524648325068,0.257476440621349,9913,10025,0.296458761397523,9810,0.107777342056057,0.468034627673521,9214.5,9810,0.993685470260661,9738,0.143329806888564,0.72551106829487,353.75,0.00281888653981677,0.583199988597621,-0.582181261406306,"CV2_dominant"
0.33,9969,0.0555957742265784,0.290635181273073,9969,9969,1.36760438131994,10116,0.0631353847029875,0.313637337922349,9901.5,11543.5,0.598179233306662,10042,0.118731158929566,0.604272519195422,821,0.00121654501216545,0.453026965821938,-0.485541360265856,"CV2_dominant"
0.34,10271,0.0333089145931013,0.215637200637134,10316.5,11098.5,0.239693436132068,10423,0.0707370061581535,0.27970430643728,10800.5,8959.5,0.554482263518586,10347,0.104045920751255,0.495341507074414,529.5,0.00188501413760603,0.347201259171119,-0.391295586323159,"CV2_dominant"
0.35,10574,0.05208799024864,0.257106140558204,10574,10192,0.326954340777378,10730,0.0717266237981449,0.236059466703645,10764.5,10708.5,0.49363511496702,10652,0.123814614046785,0.493165607261849,219,0.00454545454545455,0.37214736483019,-0.369350993215065,"CV2_dominant"
0.36,10876,0.0345208161554679,0.229466892591259,10907,11611.5,0.25715005497191,11036,0.0639352039671942,0.277732652509673,10804,10635.5,0.53939273044907,10956,0.0984560201226621,0.507199545100932,268,0.00371747211895911,0.351879001727754,-0.40874352497827,"CV2_dominant"
0.37,11178,0.0374271548240582,0.185891946352581,10527.5,11106.5,0.217994391177716,11343,0.0775753357682665,0.215964428370285,9956,12112.5,0.454047383843625,11260,0.115002490592325,0.401856374722867,1367.75,0.000730593607305936,0.283321882805888,-0.286853884130542,"CV2_dominant"
