"comparison_name","feature_id","gene_symbol","pc1_loading_trt_normalized","pc1_loading_ctrl_normalized","pc1_loading_trt_raw","pc1_loading_ctrl_raw","baseMean_original","baseMean_leading_edge","baseMean_remainder","dispGeneEst_original","dispFit_original","dispersion_original","dispGeneEst_leading_edge","dispFit_leading_edge","dispersion_leading_edge","dispGeneEst_remainder","dispFit_remainder","dispersion_remainder"
"RT0_ZT6","100020","Nrip1",0.000866375795708197,0.0132246246713483,0.00394599329342692,-0.00825381515921089,19.6146159733904,26.5439099338292,NA,0.661531060204682,0.54409883353095,0.607197901811497,1.43014673147753,2.25244299280329,1.67230260091996,NA,NA,NA
"RT0_ZT6","100055","-",0.00550051286885123,0.00577075766839409,0.00407506073692901,-0.00440190608963921,1.18415664088307,NA,1.18320775872773,9.20765702541585,6.95026523585153,7.60778010624718,NA,NA,NA,9.19831200445103,6.00474120659483,6.84849441963999
"RT0_ZT6","10008","Mag",-0.000266736353197547,0.0106350522024079,-0.000413177701180877,-0.00759392029591639,2.58804930362242,NA,2.58665806488415,7.1622283276676,3.25195597759888,4.65157808208691,NA,NA,NA,7.15975664252608,2.8101879532352,4.23536897934275
"RT0_ZT6","100116","-",0.00174544428315556,0.0052637616937358,0.00474520856583982,-0.0041318356116976,3.26048460482924,NA,3.26037663346029,1.42953492004277,2.60860668733463,2.0655702306561,NA,NA,NA,1.43025078943517,2.25366273739454,1.90595221943128
"RT0_ZT6","100129","Btg3",-0.000130353376274709,-0.00345364721418495,-0.00260017023487245,-0.0046478661271608,65.2649259967856,NA,65.279377118888,0.152262785292202,0.256203190318286,0.189440762252258,NA,NA,NA,0.152783150513747,0.223671736060352,0.180335333306887
"RT0_ZT6","100144","RGD1563888",0.00488976902229182,-0.00890513900062782,-0.00192145486731956,-0.00649230058989515,4.50711575154444,NA,4.50738746686238,2.10312367545677,1.92373670961576,2.00253386908045,NA,NA,NA,2.10311968414256,1.66252227701991,1.84015184945614
"RT0_ZT6","100145","RGD1563888",-0.00297476478756036,0.00771085623758383,-0.00557353752135051,0.000385857835952997,1.27718382480199,NA,1.2767728217263,4.49516663379435,6.45367482310383,5.67643080775576,NA,NA,NA,4.49259935091665,5.57326962178756,5.18048406109716
"RT0_ZT6","10017","Usf2",0.000564576179995648,0.000900350856981956,-0.000844234606519047,-0.0054832947078265,98.0453300798917,NA,98.0320726256606,0.26770506348972,0.214845282500465,0.247605410732403,NA,NA,NA,0.26725321599997,0.188017101877561,0.234811832169569
"RT0_ZT6","10018","Usf2",0.00962080028301824,-0.00149829935385815,0.00915289012848076,-0.00245908338626845,18.124751551708,NA,18.1120818612347,0.630479462424962,0.577932253404194,0.611674552123693,NA,NA,NA,0.629315138084825,0.501585286502922,0.579496454903451
"RT0_ZT6","100191","-",0.00343450373998661,-0.00472147736940763,0.00866252084678014,0.00264327061424638,7.45438540446193,NA,7.45653512846815,0.617230542949113,1.21552950788447,0.85484050071191,NA,NA,NA,0.618009577331705,1.0512317288941,0.805540077275699
"RT0_ZT6","100193","LOC680960",-0.0103207702402507,0.0043277540965838,-0.00649176732644275,-0.00340577945591951,3.02568330948497,NA,3.02843324064269,1.74003624911148,2.80075911951053,2.37917162189669,NA,NA,NA,1.74118251570761,2.41731022908002,2.17258337381688
"RT0_ZT6","100197","-",0.000485273903066326,-9.40359787599905e-05,-0.0032133671778132,-0.000731200676891975,6.39228371582151,NA,6.39219284376109,0.262867738022708,1.39547842395197,0.726028746305994,NA,NA,NA,0.263173545050361,1.20679515641323,0.684917673364405
"RT0_ZT6","100213","-",-0.0119275219157774,-0.00318145708295186,-0.0108299629770664,-0.00367535256799683,2.44000475313101,1.93465891085788,NA,2.57913708800491,3.44122530058904,3.06801809225307,2.04395325295385,5.63419353904405,3.83077316742405,NA,NA,NA
"RT0_ZT6","100223","LOC103693510",0.00482695733613762,0.000120741336700461,0.000884211963571114,-0.00982315371698182,3.61261001200364,NA,3.6139625782879,0.804649519386953,2.36725788500827,1.57093497915713,NA,NA,NA,0.805918201439164,2.04460959796101,1.46249826106461
