"comparison_name","analysis_label","dataset_key","feature_id","orig_id","gene_symbol","baseMean","log2FoldChange","lfc_shrunk","regulation_direction","stat","pvalue","padj","greaterAbs_pvalue","greaterAbs_padj","lessAbs_pvalue","lessAbs_padj","empirical_p","empirical_p_calc","empirical_p_plot","empirical_bh","empirical_q","empirical_lfdr","neglog10_empirical_p_calc","neglog10_empirical_p_plot","neglog10_empirical_p","HBFSS","hc_p_threshold_dataset","hbfss_threshold_dataset","hc_pass","standard_flag","strong_alt_flag","strong_flag","lessAbs_alt_flag","weak_hbfss_flag","weak_flag","hbfss_flag","display_standard","display_strong","display_weak","display_hbfss","final_class","lfcSE","R4_1","R4_2","R4_3","R4_4","R4_5","ZT10_1","ZT10_2","ZT10_3","ZT10_4","ZT10_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier"
"RT4_ZT10","Rem_RawEVS","Rem","248951","248951","Neto1",4.80507485436751,1.6653559002958,0.214815263764729,"upregulated",1.67172456238407,0.0945786483523253,0.517034882395506,0.504197199153885,1,0.747901400423057,NA,0.125640639373368,0.125640639373368,0.125640639373368,0.734052500260557,0.706326127548332,0.999999999999999,0.900869862184239,0.900869862184239,0.900869862184239,0.193520597062802,0.0475021845337043,1.3232864175516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.996190363992029,11.381335450904,6.35317618092455,11.3225203946364,7.43439106675383,0,0,3.38339500244929,3.85112482488936,4.32480562311767,0,0.614445132013876,0.984379291156966,0.856895617829067,6,FALSE
"RT4_ZT10","Rem_RawEVS","Rem","248954","248954","Neto1",115.182423185099,0.0101062091875128,0.00659632527619268,"upregulated",0.0365165793905072,0.97087045908385,0.995786071477515,1,1,0.000173936328221415,0.0130623626733533,0.97331252852837,0.97331252852837,0.97331252852837,0.998607906703409,0.949063050977736,1,0.011747686327983,0.011747686327983,0.011747686327983,7.74915602620573e-05,0.0475021845337043,1.3232864175516,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.276756732317048,78.2466812249649,104.373608686618,158.515285524909,93.6733274410982,145.704609674904,114.588848146526,91.3516650661309,120.668577846533,165.784215552844,78.9174126864608,0.0743550054110355,0.0948295409494584,0.0827733410212825,9,FALSE
"RT4_ZT10","Rem_RawEVS","Rem","248971","248971","Cbln2",6.70461512202825,-0.502440424352702,-0.112876272611321,"downregulated",-0.750589181631931,0.452899933876794,0.862196873418956,1,1,0.228650718096568,NA,0.491680062283673,0.491680062283673,0.491680062283673,0.960701103610252,0.903959072346818,0.999999999999999,0.308317402073351,0.308317402073351,0.308317402073351,0.0348017191272457,0.0475021845337043,1.3232864175516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.669394705716776,9.01022389863233,6.35317618092455,5.66126019731819,1.48687821335077,5.11244244473348,5.26845278834604,4.51119333659906,10.269666199705,5.76640749749023,13.6064504631829,0.181164054503297,0.653480403972725,0.386322982438738,9,FALSE
"RT4_ZT10","Rem_RawEVS","Rem","248999","248999","-",1.92606295999414,-4.86456935495823,-0.118192336260104,"downregulated",-2.49622967877767,0.0125521298707723,0.191215519490306,0.0473579771321026,NA,0.976321011433949,NA,0.0222029986857883,0.0222029986857883,0.0222029986857883,0.390424924667458,0.365988576663853,0.593469155168762,1.65358836677714,1.65358836677714,1.65358836677714,0.19544147228192,0.0475021845337043,1.3232864175516,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",1.94876673261102,0,0,0,0,0,6.58556598543255,4.51119333659906,0,0,8.16387027790974,5.20296892876493,2.99208089814425,3.39230271904817,9,FALSE
"RT4_ZT10","Rem_RawEVS","Rem","249011","249011","-",11.8929490086326,-0.772519036176512,-0.206238024854843,"downregulated",-1.22322478725495,0.221244805887561,0.694655829847555,1,1,0.359349272908031,NA,0.262442853529814,0.262442853529814,0.262442853529814,0.866474266562157,0.833995732213737,0.999999999999999,0.580965248823919,0.580965248823919,0.580965248823919,0.119817125426747,0.0475021845337043,1.3232864175516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.631542987213436,9.48444620908666,9.98356257002429,9.90720534530683,9.41689535122152,5.11244244473348,9.21979237960558,29.3227566878939,26.9578737742255,0,9.52451532422803,0.475247689717475,0.33119680815202,0.391906055804183,9,FALSE
"RT4_ZT10","Rem_RawEVS","Rem","249038","249038","-",3.4269142962617,-0.41339239803998,-0.0296789985389804,"downregulated",-0.325639282485524,0.7446972876438,0.958165947130679,1,1,0.322010137852932,NA,0.765452284152896,0.765452284152896,0.765452284152896,0.991766869335293,0.936114675272606,0.999999999999999,0.116081876650864,0.116081876650864,0.116081876650864,0.0034451938475231,0.0475021845337043,1.3232864175516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",1.26947951391079,3.31955617318033,3.63038638909974,4.24594514798864,3.46938249781845,0,0,6.76679000489859,12.8370827496312,0,0,1.86583856293982,1.49914564874862,1.6377386646843,6,FALSE
"RT4_ZT10","Rem_RawEVS","Rem","249041","249041","-",5.7347313772798,2.03983302670342,0.213006039374151,"upregulated",1.85054600897686,0.0642348931912842,0.434176672870737,0.34550632781728,1,0.82724683609136,NA,0.0900099358317668,0.0900099358317668,0.0900099358317668,0.65955085202549,0.63276601252212,0.999999999999999,1.04570954790802,1.04570954790802,1.04570954790802,0.222742449135622,0.0475021845337043,1.3232864175516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",1.10228711786053,4.74222310454333,8.62216767411189,22.6450407892728,10.4081474934554,0,0,4.51119333659906,6.4185413748156,0,0,1.86439710853309,0.790760777996272,1.12410315797823,7,FALSE
"RT4_ZT10","Rem_RawEVS","Rem","249046","249046","-",3.3197398050838,-0.527857524189215,-0.0464983698255651,"downregulated",-0.465015193603805,0.64192057614913,0.930626918714551,1,1,0.33872947308772,NA,0.670096535800691,0.670096535800691,0.670096535800691,0.983552979650436,0.92768114626562,0.999999999999999,0.173862627231274,0.173862627231274,0.173862627231274,0.00808432873984414,0.0475021845337043,1.3232864175516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",1.13514038132473,1.422666931363,2.72278979182481,5.66126019731819,3.96500856893537,0,5.26845278834604,9.02238667319812,5.13483309985248,0,0,0.805049017232941,1.55831858224911,1.23916640388299,9,FALSE
"RT4_ZT10","Rem_RawEVS","Rem","249058","249058","-",4.50609763771224,0.481264134923054,0.0673775668939473,"upregulated",0.541126539702171,0.588420366517507,0.914576414333175,1,1,0.279859405445718,NA,0.620075323086662,0.620075323086662,0.620075323086662,0.979419674555148,0.922300508564565,0.999999999999999,0.207555551769549,0.207555551769549,0.207555551769549,0.0139845880735629,0.0475021845337043,1.3232864175516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.889374480113166,7.58755696726933,4.08418468773721,4.24594514798864,6.44313892451998,3.83433183355011,9.21979237960558,4.51119333659906,5.13483309985248,0,0,0.185975631974524,1.06677929123675,0.705483836661112,8,FALSE
"RT4_ZT10","Rem_RawEVS","Rem","249129","249129","-",7.66714147259184,-0.488542561918663,-0.0568021750615596,"downregulated",-0.498853587667844,0.617882532736851,0.924863204732074,1,1,0.300747408297186,NA,0.647659564294878,0.647659564294878,0.647659564294878,0.98257237468654,0.925362785508829,0.999999999999999,0.188653216658926,0.188653216658926,0.188653216658926,0.0107159130385867,0.0475021845337043,1.3232864175516,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BG",0.979330557093144,5.21644541499766,9.07596597274936,7.07657524664774,10.4081474934554,0,6.58556598543255,29.3227566878939,8.98595792474184,0,0,1.80707237300429,0.555369651051252,1.01840360041455,10,FALSE
