"comparison_name","dataset_name","n_features","hc_p_threshold","hbfss_threshold","n_standard_significant","n_HBFSS_significant","n_overlap_significant","n_strong_effect","n_weak_effect","evs_fixed_top_n","evs_cutoff_mode_main","evs_primary_preprocessing","shared_cutoff_rank","shared_cutoff_method","shared_cutoff_quantile","shared_selected_reason"
"RT0_ZT6","RT0_ZT6_raw_dataset",31553,0.000532546091058572,3.27364279873213,22,73,3,3,0,5000,"matched_curvature_wave","normalized",6213,"first_stable_crossing",0.801698729122429,"raw_wald_bracket_total_distortion_selected"
"RT0_ZT6","RT0_ZT6_leading_edge_dataset",6257,0.0343951622958067,1.46350263696283,2,8,1,1,0,5000,"matched_curvature_wave","normalized",6213,"first_stable_crossing",0.801698729122429,"raw_wald_bracket_total_distortion_selected"
"RT0_ZT6","RT0_ZT6_remainder_dataset",25296,0.038071320038819,1.41940206472395,99,737,5,5,11,5000,"matched_curvature_wave","normalized",6213,"first_stable_crossing",0.801698729122429,"raw_wald_bracket_total_distortion_selected"
"RT2_ZT8","RT2_ZT8_raw_dataset",31534,0.0136775581992137,1.86399142858533,44,42,0,0,44,5000,"matched_curvature_wave","normalized",24890,"first_stable_crossing",0.888786706412127,"raw_wald_bracket_total_distortion_selected"
"RT2_ZT8","RT2_ZT8_leading_edge_dataset",3507,0.0337572383088576,1.47163309037232,99,3,0,0,99,5000,"matched_curvature_wave","normalized",24890,"first_stable_crossing",0.888786706412127,"raw_wald_bracket_total_distortion_selected"
"RT2_ZT8","RT2_ZT8_remainder_dataset",28027,0.0244314649855153,1.61205049061765,82,102,0,0,81,5000,"matched_curvature_wave","normalized",24890,"first_stable_crossing",0.888786706412127,"raw_wald_bracket_total_distortion_selected"
"RT4_ZT10","RT4_ZT10_raw_dataset",31658,0.0223630001696145,1.65046993290979,1095,1423,52,52,71,5000,"matched_curvature_wave","normalized",4698,"first_stable_crossing",0.812811927474888,"raw_wald_bracket_total_distortion_selected"
"RT4_ZT10","RT4_ZT10_leading_edge_dataset",5926,0.018865349975457,1.72433513369119,191,267,21,21,28,5000,"matched_curvature_wave","normalized",4698,"first_stable_crossing",0.812811927474888,"raw_wald_bracket_total_distortion_selected"
"RT4_ZT10","RT4_ZT10_remainder_dataset",25732,0.0433778765028312,1.36273171201928,1224,1721,83,83,117,5000,"matched_curvature_wave","normalized",4698,"first_stable_crossing",0.812811927474888,"raw_wald_bracket_total_distortion_selected"
"RT8_ZT14","RT8_ZT14_raw_dataset",31580,0.0186581006283235,1.72913256898303,131,190,0,0,129,5000,"matched_curvature_wave","normalized",26951,"first_stable_crossing",0.820804306523116,"raw_wald_bracket_total_distortion_selected"
"RT8_ZT14","RT8_ZT14_leading_edge_dataset",5659,0.096290231045488,1.01641777121653,253,57,0,0,253,5000,"matched_curvature_wave","normalized",26951,"first_stable_crossing",0.820804306523116,"raw_wald_bracket_total_distortion_selected"
"RT8_ZT14","RT8_ZT14_remainder_dataset",25921,0.0209430797492483,1.67895945351887,150,266,0,0,131,5000,"matched_curvature_wave","normalized",26951,"first_stable_crossing",0.820804306523116,"raw_wald_bracket_total_distortion_selected"
