"rank","total","lead_n","rem_n"
9300,0.332101340081604,9300,22253
9301,0.332127437321316,9301,22252
9302,0.33161860944843,9302,22251
9303,0.33160984927795,9303,22250
9304,0.331686577910445,9304,22249
9305,0.331724599131187,9305,22248
9306,0.331801672358729,9306,22247
9307,0.331839112564734,9307,22246
9308,0.331898932888981,9308,22245
9309,0.331918853466374,9309,22244
9310,0.331979033187235,9310,22243
9311,0.332035900476127,9311,22242
9312,0.332040807934476,9312,22241
9313,0.332106341283381,9313,22240
9314,0.33218278305807,9314,22239
9315,0.332196852613247,9315,22238
9316,0.332333267594855,9316,22237
9317,0.332407430163814,9317,22236
9318,0.332478606050557,9318,22235
9319,0.332538287127875,9319,22234
9320,0.33255321465424,9320,22233
9321,0.332627407461304,9321,22232
9322,0.33264127839943,9322,22231
9323,0.332633073545903,9323,22230
9324,0.332696175691645,9324,22229
9325,0.332684345113166,9325,22228
9326,0.332712313819569,9326,22227
9327,0.332761561735138,9327,22226
9328,0.332768258178092,9328,22225
9329,0.332649532891937,9329,22224
9330,0.331750701601544,9330,22223
9331,0.331826301178608,9331,22222
9332,0.331902244313063,9332,22221
9333,0.331975645959451,9333,22220
9334,0.331972361279926,9334,22219
9335,0.331965999724269,9335,22218
9336,0.332041496745044,9336,22217
9337,0.331816458140101,9337,22216
9338,0.331852315964704,9338,22215
9339,0.331891890198581,9339,22214
9340,0.331490587486892,9340,22213
9341,0.331545351515427,9341,22212
9342,0.331610246839908,9342,22211
9343,0.331612556039848,9343,22210
9344,0.331653399928592,9344,22209
9345,0.331660089818169,9345,22208
9346,0.331720445923331,9346,22207
9347,0.331750729804119,9347,22206
9348,0.330758077084648,9348,22205
9349,0.330931739766672,9349,22204
9350,0.33080376864316,9350,22203
9351,0.330743976584105,9351,22202
9352,0.330549119659108,9352,22201
9353,0.330575315452712,9353,22200
9354,0.330605569793291,9354,22199
9355,0.330654092841525,9355,22198
9356,0.330728617939302,9356,22197
9357,0.330734231221645,9357,22196
9358,0.330810560149304,9358,22195
9359,0.330817329402718,9359,22194
9360,0.330819253946335,9360,22193
9361,0.330808373233632,9361,22192
9362,0.330948673742996,9362,22191
9363,0.331123340087537,9363,22190
9364,0.331288781159496,9364,22189
9365,0.331294033824369,9365,22188
9366,0.331427876694491,9366,22187
9367,0.331452471585082,9367,22186
9368,0.331576729033498,9368,22185
9369,0.331783962132159,9369,22184
9370,0.332000073971832,9370,22183
9371,0.331982470886611,9371,22182
9372,0.332078360503012,9372,22181
9373,0.331948378647422,9373,22180
9374,0.332160805021832,9374,22179
9375,0.332217364386999,9375,22178
9376,0.332118645092173,9376,22177
9377,0.332223751434049,9377,22176
9378,0.332060375987855,9378,22175
9379,0.331999651343329,9379,22174
9380,0.331976805796797,9380,22173
9381,0.331721969337821,9381,22172
9382,0.331721927780816,9382,22171
9383,0.331475327083061,9383,22170
9384,0.33143272321871,9384,22169
9385,0.3316359258308,9385,22168
9386,0.331794492606464,9386,22167
9387,0.331540159435202,9387,22166
9388,0.331290760687128,9388,22165
9389,0.331178070330063,9389,22164
9390,0.331164185650524,9390,22163
9391,0.331315265009252,9391,22162
9392,0.331466472882433,9392,22161
9393,0.331545705388158,9393,22160
9394,0.331662577373689,9394,22159
9395,0.331827668709381,9395,22158
9396,0.331706937968667,9396,22157
9397,0.331655470226183,9397,22156
9398,0.331573585331396,9398,22155
9399,0.331551233882977,9399,22154
9400,0.331410177648185,9400,22153
