"Comparison","Analysis","Human_TWAS","Rat_Ortholog","Ortholog_mapping_source","TWAS_Disorders","TWAS_n","TWAS_PAS_n","TWAS_APA","WTTS_PAS_n","WTTS_APA","Std","Strong","Weak","HBFSS","Ovlp","Std_PAS_n","Strong_PAS_n","Weak_PAS_n","HBFSS_PAS_n","Std_PAS_IDs","Strong_PAS_IDs","Weak_PAS_IDs","HBFSS_PAS_IDs","WTTS_DE_PAS_n","WTTS_DE_APA","WTTS_DE_PAS_IDs","Methods"
"RT0_ZT6","Original (No EVS)","CISD2","Cisd2","babelgene","ADHD(2), ANX(1), ASD(1), DEP(1), SCZ(6)",11,2,TRUE,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"282293",1,FALSE,"282293","HBFSS"
"RT0_ZT6","NormEVS Lead","CISD2","Cisd2","babelgene","ADHD(2), ANX(1), ASD(1), DEP(1), SCZ(6)",11,2,TRUE,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"282293",1,FALSE,"282293","HBFSS"
"RT0_ZT6","NormEVS Rem","ARL17B","Arf2","babelgene","ANX(1), DEP(1), MDD(1), PD(1), PTSD(1), SCZ(1)",6,1,FALSE,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"95337",NA,NA,"95337",1,FALSE,"95337","Std+HBFSS"
"RT0_ZT6","NormEVS Rem","BORCS7","Borcs7","babelgene","ANX(3), BIP(2), SCZ(3)",8,2,TRUE,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"61237",1,FALSE,"61237","HBFSS"
"RT0_ZT6","NormEVS Rem","CGREF1","Cgref1","babelgene","MDD(1), PTSD(3), SCZ(3)",7,2,TRUE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"454366",1,FALSE,"454366","HBFSS"
"RT0_ZT6","NormEVS Rem","CPEB1","Cpeb1","babelgene","SCZ(1)",1,1,FALSE,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"17141",1,FALSE,"17141","HBFSS"
"RT0_ZT6","NormEVS Rem","NECTIN2","Nectin2","babelgene","AD(4)",4,1,FALSE,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"8292",1,FALSE,"8292","HBFSS"
"RT0_ZT6","RawEVS Lead","CISD2","Cisd2","babelgene","ADHD(2), ANX(1), ASD(1), DEP(1), SCZ(6)",11,2,TRUE,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"282293",1,FALSE,"282293","HBFSS"
"RT0_ZT6","RawEVS Rem","ARL17B","Arf2","babelgene","ANX(1), DEP(1), MDD(1), PD(1), PTSD(1), SCZ(1)",6,1,FALSE,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,0,1,"95337",NA,NA,"95337",1,FALSE,"95337","Std+HBFSS"
"RT0_ZT6","RawEVS Rem","BORCS7","Borcs7","babelgene","ANX(3), BIP(2), SCZ(3)",8,2,TRUE,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,NA,NA,NA,"61237",1,FALSE,"61237","HBFSS"
