"index","rank","d1_here","d2_here","d1_left","d1_right"
26,26,-0.000247291971745389,-2.59779211998464e-11,-0.00024729204042188,-0.000247292092377723
348,348,-0.000253782705362821,5.09297586250526e-10,-0.000253782804282826,-0.000253781785687653
1843,1843,0.00492345950189338,-8.663284224325e-09,0.00492344789040846,0.00492343056384002
3244,3244,-0.00040723791682082,2.90966762269497e-09,-0.000407237257467583,-0.000407231438132338
4247,4247,0.000279488541252455,-2.91160244901285e-09,0.000279489097883973,0.000279483274679075
4755,4755,5.50872846042968e-05,1.33137955160668e-09,5.50879307369564e-05,5.50905934960596e-05
5032,5032,0.000115320799618856,-8.05335006924891e-10,0.000115319537127278,0.000115317926457264
6198,6198,-0.00171800187288641,4.41114096358704e-09,-0.00171799322863079,-0.00171798440634886
6869,6869,0.00125963453093886,-2.19213095562353e-08,0.00125964300407296,0.00125959916145384
7553,7553,-0.000625735727036975,6.68667447703234e-09,-0.000625734484655691,-0.000625721111306737
7559,7559,-0.0006256784462077,-5.478746384515e-09,-0.000625675769814553,-0.000625686727307322
7869,7869,-0.000769170091442237,6.63046320402891e-09,-0.000769162265325311,-0.000769149004398903
8415,8415,0.00102118043583857,-4.68476910200616e-09,0.00102117619982685,0.00102116683028865
9046,9046,-7.76503675728868e-05,4.22843851001894e-09,-7.76498723584101e-05,-7.76414154813901e-05
9581,9581,0.000873228027841062,-4.46537383464075e-09,0.000873228899134976,0.000873219968387307
11263,11263,-0.000470214693749795,4.18851604165165e-10,-0.000470212489861698,-0.000470211652158489
12367,12367,0.000531217377454697,-3.57681707011351e-09,0.00053121400601522,0.00053120685238108
13127,13127,-0.000510957248674384,7.95702359052031e-09,-0.000510956629812731,-0.00051094071576555
13712,13712,0.000766660485920555,-8.25988621136925e-09,0.000766659802618519,0.000766643282846096
14242,14242,0.000198921558163999,4.72822798215076e-10,0.000198922826220547,0.000198923771866144
14379,14379,0.000221632815209462,-5.40521198201302e-11,0.000221628925285977,0.000221628817181737
15499,15499,-0.000594053161247647,1.59864762887659e-09,-0.000594050765525546,-0.000594047568230288
16589,16589,0.000371713230132709,-2.83837689541814e-09,0.000371709909820555,0.000371704233066764
17500,17500,-0.00154077950686221,2.12086869236815e-08,-0.0015407899823018,-0.00154074756492795
18223,18223,0.00166878171025798,-8.38648870890276e-09,0.00166878233956212,0.0016687655665847
19579,19579,-0.000416284909696724,1.35845727032165e-08,-0.00041629076197128,-0.000416263592825874
20009,20009,0.000223346410880893,-2.21908093509912e-10,0.000223338579065563,0.000223338135249376
20829,20829,-0.00146792341041402,4.47103846394468e-09,-0.00146791831818845,-0.00146790937611152
21513,21513,0.00128539380482613,-1.59485125757461e-09,0.00128538531428128,0.00128538212457877
22799,22799,-0.000664991759228663,7.1902351085289e-09,-0.000664991957652694,-0.000664977577182477
22859,22859,-0.00065806968321352,-2.87688878954473e-09,-0.000658069463200621,-0.0006580752169782
23395,23395,-0.00140517652468122,7.97010595563411e-09,-0.00140517750586519,-0.00140516156565327
24046,24046,0.00115415894593046,-2.034420847686e-08,0.00115416772319845,0.0011541270347815
25090,25090,-0.00107234237963867,7.79522071110009e-09,-0.00107234368298489,-0.00107232809254347
26003,26003,0.00025408142354554,-2.52528199269835e-09,0.000254082102802603,0.000254077052238617
26314,26314,0.000181195261554778,2.17787434017252e-09,0.000181195022188898,0.000181199377937579
26389,26389,0.000188128502074236,-2.34658127621419e-09,0.000188127513936746,0.000188122820774194
27050,27050,-0.0004488895368237,8.86324747326551e-09,-0.00044889393543128,-0.000448876208936334
28084,28084,0.000243766055484083,-1.77066380929989e-09,0.000243766937163132,0.000243763395835513
28720,28720,0.000113240658567435,3.5358480043355e-10,0.000113242090612397,0.000113242797781998
29195,29195,0.000231145371690506,-2.90546190567687e-11,0.000231144285053059,0.000231144226943821
29771,29771,8.37651325533279e-05,1.0152025608674e-09,8.37653004719227e-05,8.37673308770445e-05
31740,31740,0.00283584985738148,-1.68350318299485e-09,0.00283584733523129,0.00283584396822492
