"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","nb1","nb2","alpha_mu","log_variance","log_nb1","log_nb2","nb_gap","log_alpha_mu"
"58526","Klf9",185,0,0,0,NA,0,0,NA,0,0,0,0,NA
"59369","-",186,0,0,0,NA,0,0,NA,0,0,0,0,NA
"59516","Pten",187,0,0,0,NA,0,0,NA,0,0,0,0,NA
"59575","-",188,0,0,0,NA,0,0,NA,0,0,0,0,NA
"59667","-",189,0,0,0,NA,0,0,NA,0,0,0,0,NA
"59804","Tnks2",190,0,0,0,NA,0,0,NA,0,0,0,0,NA
"59985","Exoc6",191,0,0,0,NA,0,0,NA,0,0,0,0,NA
"60109","LOC685933",192,0,0,0,NA,0,0,NA,0,0,0,0,NA
"60341","Pgam1",193,0,0,0,NA,0,0,NA,0,0,0,0,NA
"60384","Pi4k2a",194,0,0,0,NA,0,0,NA,0,0,0,0,NA
"60651","-",195,0,0,0,NA,0,0,NA,0,0,0,0,NA
"60764","Twnk",196,0,0,0,NA,0,0,NA,0,0,0,0,NA
"61044","LOC120100045",197,0,0,0,NA,0,0,NA,0,0,0,0,NA
"61185","Arl3",198,0,0,0,NA,0,0,NA,0,0,0,0,NA
"61215","Wbp1l",199,0,0,0,NA,0,0,NA,0,0,0,0,NA
"61376","Neurl1",200,0,0,0,NA,0,0,NA,0,0,0,0,NA
"61506","Gsto2",201,0,0,0,NA,0,0,NA,0,0,0,0,NA
"61768","LOC102554335",202,0,0,0,NA,0,0,NA,0,0,0,0,NA
"61785","-",203,0,0,0,NA,0,0,NA,0,0,0,0,NA
"61884","Add3",204,0,0,0,NA,0,0,NA,0,0,0,0,NA
"61996","Smc3",205,0,0,0,NA,0,0,NA,0,0,0,0,NA
"62018","Smc3",206,0,0,0,NA,0,0,NA,0,0,0,0,NA
"62174","Vti1a",207,0,0,0,NA,0,0,NA,0,0,0,0,NA
"62250","Vti1a",208,0,0,0,NA,0,0,NA,0,0,0,0,NA
"62368","-",209,0,0,0,NA,0,0,NA,0,0,0,0,NA
"62765","Grk5",210,0,0,0,NA,0,0,NA,0,0,0,0,NA
"62844","-",211,0,0,0,NA,0,0,NA,0,0,0,0,NA
"63502","-",212,0,0,0,NA,0,0,NA,0,0,0,0,NA
"63659","Abat",213,0,0,0,NA,0,0,NA,0,0,0,0,NA
"63767","Rbfox1",214,0,0,0,NA,0,0,NA,0,0,0,0,NA
"63782","Rbfox1",215,0,0,0,NA,0,0,NA,0,0,0,0,NA
"63944","Rbfox1",216,0,0,0,NA,0,0,NA,0,0,0,0,NA
"64861","-",217,0,0,0,NA,0,0,NA,0,0,0,0,NA
"65260","Kctd5",218,0,0,0,NA,0,0,NA,0,0,0,0,NA
"65774","Stub1",219,0,0,0,NA,0,0,NA,0,0,0,0,NA
"65889","Rab11fip3",220,0,0,0,NA,0,0,NA,0,0,0,0,NA
"65928","Decr2",221,0,0,0,NA,0,0,NA,0,0,0,0,NA
"66239","LOC100910596",222,0,0,0,NA,0,0,NA,0,0,0,0,NA
"66344","Ranbp17",223,0,0,0,NA,0,0,NA,0,0,0,0,NA
"66620","Wwc1",224,0,0,0,NA,0,0,NA,0,0,0,0,NA
"66785","Tenm2",225,0,0,0,NA,0,0,NA,0,0,0,0,NA
"68943","Ube2b",226,0,0,0,NA,0,0,NA,0,0,0,0,NA
"68944","Ube2b",227,0,0,0,NA,0,0,NA,0,0,0,0,NA
"68948","Ube2b",228,0,0,0,NA,0,0,NA,0,0,0,0,NA
"69788","Pld6",229,0,0,0,NA,0,0,NA,0,0,0,0,NA
"69904","Tom1l2",230,0,0,0,NA,0,0,NA,0,0,0,0,NA
"70033","Shmt1",231,0,0,0,NA,0,0,NA,0,0,0,0,NA
"70165","Rnf112",232,0,0,0,NA,0,0,NA,0,0,0,0,NA
"70282","Ulk2",233,0,0,0,NA,0,0,NA,0,0,0,0,NA
"70586","Zfp286a",234,0,0,0,NA,0,0,NA,0,0,0,0,NA
"71233","-",235,0,0,0,NA,0,0,NA,0,0,0,0,NA
"71719","Chrne",236,0,0,0,NA,0,0,NA,0,0,0,0,NA
"71729","Slc25a11",237,0,0,0,NA,0,0,NA,0,0,0,0,NA
"71754","Spag7",238,0,0,0,NA,0,0,NA,0,0,0,0,NA
"71882","LOC102547395",239,0,0,0,NA,0,0,NA,0,0,0,0,NA
"72110","Cyb5d2",240,0,0,0,NA,0,0,NA,0,0,0,0,NA
"72569","Doc2b",241,0,0,0,NA,0,0,NA,0,0,0,0,NA
"73055","Taok1",242,0,0,0,NA,0,0,NA,0,0,0,0,NA
"73210","Supt6h",243,0,0,0,NA,0,0,NA,0,0,0,0,NA
"73234","Sarm1",244,0,0,0,NA,0,0,NA,0,0,0,0,NA
"74436","Acaca",245,0,0,0,NA,0,0,NA,0,0,0,0,NA
"74775","Med13",246,0,0,0,NA,0,0,NA,0,0,0,0,NA
"75285","Msi2",247,0,0,0,NA,0,0,NA,0,0,0,0,NA
"75581","Ankfn1",248,0,0,0,NA,0,0,NA,0,0,0,0,NA
"75822","-",249,0,0,0,NA,0,0,NA,0,0,0,0,NA
"75897","Utp18",250,0,0,0,NA,0,0,NA,0,0,0,0,NA
"75967","Luc7l3",251,0,0,0,NA,0,0,NA,0,0,0,0,NA
"76967","Med24",252,0,0,0,NA,0,0,NA,0,0,0,0,NA
"76991","Cdc6",253,0,0,0,NA,0,0,NA,0,0,0,0,NA
"77109","Krt15",254,0,0,0,NA,0,0,NA,0,0,0,0,NA
"77363","Stat5b",255,0,0,0,NA,0,0,NA,0,0,0,0,NA
"77485","Ezh1",256,0,0,0,NA,0,0,NA,0,0,0,0,NA
"77604","Brca1",257,0,0,0,NA,0,0,NA,0,0,0,0,NA
"77834","Gpatch8",258,0,0,0,NA,0,0,NA,0,0,0,0,NA
"78004","Gfap",259,0,0,0,NA,0,0,NA,0,0,0,0,NA
"78149","Lrrc37a",260,0,0,0,NA,0,0,NA,0,0,0,0,NA
"78496","LOC303590",261,0,0,0,NA,0,0,NA,0,0,0,0,NA
"78513","-",262,0,0,0,NA,0,0,NA,0,0,0,0,NA
"78544","Tanc2",263,0,0,0,NA,0,0,NA,0,0,0,0,NA
"78852","RGD1565033",264,0,0,0,NA,0,0,NA,0,0,0,0,NA
"78938","Bptf",265,0,0,0,NA,0,0,NA,0,0,0,0,NA
"78979","Nol11",266,0,0,0,NA,0,0,NA,0,0,0,0,NA
"79142","Pitpnc1",267,0,0,0,NA,0,0,NA,0,0,0,0,NA
"79424","LOC120095200",268,0,0,0,NA,0,0,NA,0,0,0,0,NA
"79480","Slc16a6",269,0,0,0,NA,0,0,NA,0,0,0,0,NA
"79891","Fam104a",270,0,0,0,NA,0,0,NA,0,0,0,0,NA
"80167","Gga3",271,0,0,0,NA,0,0,NA,0,0,0,0,NA
"80578","Ube2o",272,0,0,0,NA,0,0,NA,0,0,0,0,NA
"80595","Cygb",273,0,0,0,NA,0,0,NA,0,0,0,0,NA
"80927","Rbfox3",274,0,0,0,NA,0,0,NA,0,0,0,0,NA
"81203","Rptor",275,0,0,0,NA,0,0,NA,0,0,0,0,NA
"81251","Aatk",276,0,0,0,NA,0,0,NA,0,0,0,0,NA
"81320","LOC100912167",277,0,0,0,NA,0,0,NA,0,0,0,0,NA
"81499","Notum",278,0,0,0,NA,0,0,NA,0,0,0,0,NA
"82014","Bfar",279,0,0,0,NA,0,0,NA,0,0,0,0,NA
"82037","Bfar",280,0,0,0,NA,0,0,NA,0,0,0,0,NA
"82098","Pdxdc1",281,0,0,0,NA,0,0,NA,0,0,0,0,NA
"82296","Zc3h7a",282,0,0,0,NA,0,0,NA,0,0,0,0,NA
"82423","Emp2",283,0,0,0,NA,0,0,NA,0,0,0,0,NA
"82572","-",284,0,0,0,NA,0,0,NA,0,0,0,0,NA
"82996","-",285,0,0,0,NA,0,0,NA,0,0,0,0,NA
"83790","Lmf1",286,0,0,0,NA,0,0,NA,0,0,0,0,NA
"83889","-",287,0,0,0,NA,0,0,NA,0,0,0,0,NA
"83973","Luc7l",288,0,0,0,NA,0,0,NA,0,0,0,0,NA
"84604","-",289,0,0,0,NA,0,0,NA,0,0,0,0,NA
"84980","Pwwp2a",290,0,0,0,NA,0,0,NA,0,0,0,0,NA
"85120","Ebf1",291,0,0,0,NA,0,0,NA,0,0,0,0,NA
"85215","Cyfip2",292,0,0,0,NA,0,0,NA,0,0,0,0,NA
"85603","Tbc1d9b",293,0,0,0,NA,0,0,NA,0,0,0,0,NA
"85731","Adamts2",294,0,0,0,NA,0,0,NA,0,0,0,0,NA
"85938","Cdkl3",295,0,0,0,NA,0,0,NA,0,0,0,0,NA
"85957","Ppp2ca",296,0,0,0,NA,0,0,NA,0,0,0,0,NA
"86259","Septin8",297,0,0,0,NA,0,0,NA,0,0,0,0,NA
"86419","Acsl6",298,0,0,0,NA,0,0,NA,0,0,0,0,NA
"86453","Fnip1",299,0,0,0,NA,0,0,NA,0,0,0,0,NA
"86762","Gria1",300,0,0,0,NA,0,0,NA,0,0,0,0,NA
"87487","Rai1",301,0,0,0,NA,0,0,NA,0,0,0,0,NA
"87637","Myo15a",302,0,0,0,NA,0,0,NA,0,0,0,0,NA
"87646","Alkbh5",303,0,0,0,NA,0,0,NA,0,0,0,0,NA
"87977","Ttc19",304,0,0,0,NA,0,0,NA,0,0,0,0,NA
"88390","Gas7",305,0,0,0,NA,0,0,NA,0,0,0,0,NA
"88480","Ntn1",306,0,0,0,NA,0,0,NA,0,0,0,0,NA
"88497","Pik3r5",307,0,0,0,NA,0,0,NA,0,0,0,0,NA
"88624","Myh10",308,0,0,0,NA,0,0,NA,0,0,0,0,NA
"88735","Aloxe3",309,0,0,0,NA,0,0,NA,0,0,0,0,NA
"89120","Dlg4",310,0,0,0,NA,0,0,NA,0,0,0,0,NA
"89508","Wscd1",311,0,0,0,NA,0,0,NA,0,0,0,0,NA
"89756","Atp2a3",312,0,0,0,NA,0,0,NA,0,0,0,0,NA
"89811","Shpk",313,0,0,0,NA,0,0,NA,0,0,0,0,NA
"89852","-",314,0,0,0,NA,0,0,NA,0,0,0,0,NA
"90138","Smyd4",315,0,0,0,NA,0,0,NA,0,0,0,0,NA
"90372","-",316,0,0,0,NA,0,0,NA,0,0,0,0,NA
"90899","Phf12",317,0,0,0,NA,0,0,NA,0,0,0,0,NA
"90900","Phf12",318,0,0,0,NA,0,0,NA,0,0,0,0,NA
"91119","Slc46a1",319,0,0,0,NA,0,0,NA,0,0,0,0,NA
"91324","Nf1",320,0,0,0,NA,0,0,NA,0,0,0,0,NA
"91459","Suz12",321,0,0,0,NA,0,0,NA,0,0,0,0,NA
"92014","-",322,0,0,0,NA,0,0,NA,0,0,0,0,NA
"92046","Ddx52",323,0,0,0,NA,0,0,NA,0,0,0,0,NA
"92522","Ska2",324,0,0,0,NA,0,0,NA,0,0,0,0,NA
"92978","LOC688126",325,0,0,0,NA,0,0,NA,0,0,0,0,NA
"93609","Ppp1r9b",326,0,0,0,NA,0,0,NA,0,0,0,0,NA
"93635","Ppp1r9b",327,0,0,0,NA,0,0,NA,0,0,0,0,NA
"93752","Spop",328,0,0,0,NA,0,0,NA,0,0,0,0,NA
"93917","Copz2",329,0,0,0,NA,0,0,NA,0,0,0,0,NA
"93927","LOC102547955",330,0,0,0,NA,0,0,NA,0,0,0,0,NA
"94265","Med1",331,0,0,0,NA,0,0,NA,0,0,0,0,NA
"94987","Nbr1",332,0,0,0,NA,0,0,NA,0,0,0,0,NA
"95296","Prp2l1",333,0,0,0,NA,0,0,NA,0,0,0,0,NA
"95599","Tlk2",334,0,0,0,NA,0,0,NA,0,0,0,0,NA
"95637","Tanc2",335,0,0,0,NA,0,0,NA,0,0,0,0,NA
"96153","Helz",336,0,0,0,NA,0,0,NA,0,0,0,0,NA
"96247","Cep112",337,0,0,0,NA,0,0,NA,0,0,0,0,NA
"96706","LOC102549596",338,0,0,0,NA,0,0,NA,0,0,0,0,NA
"97235","Aanat",339,0,0,0,NA,0,0,NA,0,0,0,0,NA
"97872","Ccdc137",340,0,0,0,NA,0,0,NA,0,0,0,0,NA
"98173","-",341,0,0,0,NA,0,0,NA,0,0,0,0,NA
"98571","Cadm2",342,0,0,0,NA,0,0,NA,0,0,0,0,NA
"98747","Cadm2",343,0,0,0,NA,0,0,NA,0,0,0,0,NA
"99171","-",344,0,0,0,NA,0,0,NA,0,0,0,0,NA
"99495","Robo2",345,0,0,0,NA,0,0,NA,0,0,0,0,NA
"99665","Robo2",346,0,0,0,NA,0,0,NA,0,0,0,0,NA
"99942","Robo2",347,0,0,0,NA,0,0,NA,0,0,0,0,NA
"101376","Gart",348,0,0,0,NA,0,0,NA,0,0,0,0,NA
"102312","C2cd2",349,0,0,0,NA,0,0,NA,0,0,0,0,NA
"103239","LOC100360368",350,0,0,0,NA,0,0,NA,0,0,0,0,NA
"103397","Nepro",351,0,0,0,NA,0,0,NA,0,0,0,0,NA
"103433","Spice1",352,0,0,0,NA,0,0,NA,0,0,0,0,NA
"103455","Usf3",353,0,0,0,NA,0,0,NA,0,0,0,0,NA
"104046","Lsamp",354,0,0,0,NA,0,0,NA,0,0,0,0,NA
"105252","Lsamp",355,0,0,0,NA,0,0,NA,0,0,0,0,NA
"105353","Lsamp",356,0,0,0,NA,0,0,NA,0,0,0,0,NA
"106428","Ccdc14",357,0,0,0,NA,0,0,NA,0,0,0,0,NA
"107036","-",358,0,0,0,NA,0,0,NA,0,0,0,0,NA
"107238","Fam43a",359,0,0,0,NA,0,0,NA,0,0,0,0,NA
