"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","nb1","nb2","alpha_mu","log_variance","log_mu","log_alpha","log_nb1","log_nb2","nb_gap","log_alpha_mu"
"36617","Pnldc1",70,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"37691","LOC100365363",71,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"38230","Peg3",72,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"38721","-",73,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"38821","Zscan22",74,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"39507","Irf2bp1",75,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"39508","Irf2bp1",76,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"40151","Lipe",77,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"40899","Zfp74",78,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"41242","-",79,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"41573","LOC102548231",80,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"41738","LOC102555672",81,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"41750","-",82,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"42137","Kcnc3",83,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"42185","-",84,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"43792","Herc2",85,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"44053","-",86,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"44156","Ube3a",87,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"44165","LOC102548730",88,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"44395","Magel2",89,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"44798","Tjp1",90,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"44928","Adamts17",91,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
