"comparison_name","error_message"
"RT0_ZT6","replacement has 4 rows, data has 3"
"RT2_ZT8","replacement has 4 rows, data has 3"
"RT4_ZT10","replacement has 4 rows, data has 3"
"RT8_ZT14","replacement has 4 rows, data has 3"
