"comparison_name","dataset_key","dataset_label","track_key","track_label","Panel","Class","Count"
"RT4_ZT10","remainder_dataset","Rem","raw_evs","RawEVS","Rem RawEVS","Weak",8713
"RT4_ZT10","remainder_dataset","Rem","raw_evs","RawEVS","Rem RawEVS","Strong",98
"RT4_ZT10","remainder_dataset","Rem","raw_evs","RawEVS","Rem RawEVS","Std",812
"RT4_ZT10","remainder_dataset","Rem","raw_evs","RawEVS","Rem RawEVS","HBFSS",1053
"RT8_ZT14","raw_dataset","Raw","normalized_evs","Original","Raw","Weak",11712
"RT8_ZT14","raw_dataset","Raw","normalized_evs","Original","Raw","Strong",0
"RT8_ZT14","raw_dataset","Raw","normalized_evs","Original","Raw","Std",7
"RT8_ZT14","raw_dataset","Raw","normalized_evs","Original","Raw","HBFSS",76
"RT8_ZT14","leading_edge_dataset","Lead","normalized_evs","NormEVS","Lead NormEVS","Weak",118
"RT8_ZT14","leading_edge_dataset","Lead","normalized_evs","NormEVS","Lead NormEVS","Strong",0
"RT8_ZT14","leading_edge_dataset","Lead","normalized_evs","NormEVS","Lead NormEVS","Std",1
"RT8_ZT14","leading_edge_dataset","Lead","normalized_evs","NormEVS","Lead NormEVS","HBFSS",3
"RT8_ZT14","remainder_dataset","Rem","normalized_evs","NormEVS","Rem NormEVS","Weak",11675
"RT8_ZT14","remainder_dataset","Rem","normalized_evs","NormEVS","Rem NormEVS","Strong",0
"RT8_ZT14","remainder_dataset","Rem","normalized_evs","NormEVS","Rem NormEVS","Std",17
"RT8_ZT14","remainder_dataset","Rem","normalized_evs","NormEVS","Rem NormEVS","HBFSS",85
"RT8_ZT14","leading_edge_dataset","Lead","raw_evs","RawEVS","Lead RawEVS","Weak",457
"RT8_ZT14","leading_edge_dataset","Lead","raw_evs","RawEVS","Lead RawEVS","Strong",0
"RT8_ZT14","leading_edge_dataset","Lead","raw_evs","RawEVS","Lead RawEVS","Std",0
"RT8_ZT14","leading_edge_dataset","Lead","raw_evs","RawEVS","Lead RawEVS","HBFSS",0
"RT8_ZT14","remainder_dataset","Rem","raw_evs","RawEVS","Rem RawEVS","Weak",9533
"RT8_ZT14","remainder_dataset","Rem","raw_evs","RawEVS","Rem RawEVS","Strong",0
"RT8_ZT14","remainder_dataset","Rem","raw_evs","RawEVS","Rem RawEVS","Std",20
"RT8_ZT14","remainder_dataset","Rem","raw_evs","RawEVS","Rem RawEVS","HBFSS",85
