"comp","arm","track","rank_method","metric_matrix","Anchor","Ref","Terminal","IntMin","IntMax","left_n","right_n","left_NB2","right_NB2","diff_NB2","left_gap","right_gap","diff_gap","left_alpha","right_alpha","diff_alpha","LeftSize","RightSize","Call_NB2","Call_Gap","Call_Alpha"
"RT0_ZT6","control","Main","Rank: CPM log1p","raw_counts",26714,26758,27348,26714,27348,5044,5044,2.4423470353692,3.47815842279828,1.03581138742908,1.00786185087685,1.62276690693443,0.614905056057587,1.50407739677627,1.94591014905531,0.441832752279039,5044,5044,"RIGHT","RIGHT","RIGHT"
"RT0_ZT6","control","DESeq2","Rank: DESeq2 log1p","deseq2_normalized_counts",26703,26758,27067,26703,27067,5055,5055,2.8258756591497,3.34132463556274,0.515448976413045,1.17558668396836,1.51758627871692,0.341999594748561,1.61406253507138,1.8557597344848,0.241697199413418,5055,5055,"RIGHT","RIGHT","RIGHT"
"RT0_ZT6","treatment","Main","Rank: CPM log1p","raw_counts",26611,26758,27119,26611,27119,5147,5147,3.75419892023458,4.21803603456465,0.463837114330071,1.74192709548018,1.94591014905531,0.203983053575134,2.07047287169708,2.1639989297079,0.0935260580108235,5147,5147,"RIGHT","RIGHT","RIGHT"
"RT0_ZT6","treatment","DESeq2","Rank: DESeq2 log1p","deseq2_normalized_counts",26632,26758,27315,26632,27315,5126,5126,2.92589262400629,3.41369701365037,0.487804389644079,1.17144300382597,1.61313065024307,0.441687646417097,1.6285769890137,1.96300865989184,0.334431670878132,5126,5126,"RIGHT","RIGHT","RIGHT"
"RT2_ZT8","control","Main","Rank: CPM log1p","raw_counts",26711,26758,27294,26711,27294,5047,5047,2.86220088092947,3.69386699562498,0.831666114695507,1.20983792377833,1.82330782696298,0.613469903184647,1.65401754406719,2.07976036840022,0.425742824333027,5047,5047,"RIGHT","RIGHT","RIGHT"
"RT2_ZT8","control","DESeq2","Rank: DESeq2 log1p","deseq2_normalized_counts",26726,26758,27198,26726,27198,5032,5032,2.55561826410885,3.11595469949338,0.560336435384528,0.930575862424664,1.47298542788779,0.542409565463123,1.44711594328851,1.8544374106112,0.40732146732269,5032,5032,"RIGHT","RIGHT","RIGHT"
"RT2_ZT8","treatment","Main","Rank: CPM log1p","raw_counts",26219,26758,26978,26219,26978,5539,5539,2.84490938381941,3.04452243772342,0.199613053904015,1.00017221585486,1.2576769832978,0.25750476744294,1.40691364832263,1.63863706712636,0.231723418803736,5539,5539,"RIGHT","RIGHT","RIGHT"
"RT2_ZT8","treatment","DESeq2","Rank: DESeq2 log1p","deseq2_normalized_counts",26113,26758,27335,26113,27335,5645,5645,2.52189583917271,2.83377255222487,0.311876713052153,0.852667446160336,1.15743415114144,0.304766704981107,1.35984934777258,1.56860201198018,0.208752664207597,5645,5645,"RIGHT","RIGHT","RIGHT"
"RT4_ZT10","control","Main","Rank: CPM log1p","raw_counts",26590,26758,27222,26590,27222,5168,5168,4.28634138453947,4.72295322164447,0.436611837105001,1.89034669844074,2.10825421007376,0.217907511633017,2.11158966305531,2.28425180897047,0.172662145915156,5168,5168,"RIGHT","RIGHT","RIGHT"
"RT4_ZT10","control","DESeq2","Rank: DESeq2 log1p","deseq2_normalized_counts",26528,26758,27201,26528,27201,5230,5230,3.15910164139354,3.60378072773058,0.444679086337042,1.33686228448372,1.51912618531976,0.182263900836043,1.68322608524564,1.80982584500343,0.126599759757792,5230,5230,"RIGHT","RIGHT","RIGHT"
"RT4_ZT10","treatment","Main","Rank: CPM log1p","raw_counts",26396,26758,27034,26396,27034,5362,5362,2.73436750941958,3.04452243772342,0.31015492830384,0.945265015863279,1.3109449238781,0.365679908014825,1.38629436111989,1.69422601497689,0.307931653857002,5362,5362,"RIGHT","RIGHT","RIGHT"
"RT4_ZT10","treatment","DESeq2","Rank: DESeq2 log1p","deseq2_normalized_counts",26402,26758,26939,26402,26939,5356,5356,2.43234683800983,2.84833461545564,0.41598777744581,0.892784642027032,1.20029055293357,0.307505910906533,1.44490530914407,1.61530735565071,0.170402046506638,5356,5356,"RIGHT","RIGHT","RIGHT"
"RT8_ZT14","control","Main","Rank: CPM log1p","raw_counts",25781,26758,26894,25781,26894,5977,5977,2.89037175789616,3.56671182013973,0.676340062243564,1.16179119028964,1.62558589884208,0.463794708552441,1.55814461804655,1.92181259747625,0.363667979429703,5977,5977,"RIGHT","RIGHT","RIGHT"
"RT8_ZT14","control","DESeq2","Rank: DESeq2 log1p","deseq2_normalized_counts",26510,26758,27365,26510,27365,5248,5248,2.441011679684,2.95131705038342,0.510305370699423,0.876384185030811,1.2582518329241,0.381867647893285,1.41838593277695,1.65755855120864,0.239172618431696,5248,5248,"RIGHT","RIGHT","RIGHT"
"RT8_ZT14","treatment","Main","Rank: CPM log1p","raw_counts",26480,26758,27644,26480,27644,5278,5278,3.67503324410548,4.15731936138349,0.482286117278007,1.49298627322841,1.88732642140508,0.394340148176672,1.79175946922805,2.12010221985735,0.328342750629291,5278,5278,"RIGHT","RIGHT","RIGHT"
"RT8_ZT14","treatment","DESeq2","Rank: DESeq2 log1p","deseq2_normalized_counts",26403,26758,27141,26403,27141,5355,5355,3.14715781568687,3.27468421514617,0.127526399459304,1.22945225992846,1.40223205042156,0.172779790493101,1.61811959895154,1.74091781897052,0.122798220018981,5355,5355,"RIGHT","RIGHT","RIGHT"
