"feature_id","gene_symbol","rank","abs_loading","variance","nb1","nb2","log_variance","log_nb1","log_nb2","log_alpha_mu"
"534198","-",1,0.0273190211431688,2074.7,33.2,2041.5,7.63805372517287,3.53222564406856,7.62192982673416,4.11889023483719
"18321","Thrsp",2,0.026654778203785,1638.3,43.6,1594.7,7.40202460043241,3.79773385902602,7.37506779041638,3.59938375939894
"35860","-",3,0.0261292853779241,1634,31,1603,7.39939808333135,3.46573590279973,7.38025578842646,3.94564494812441
"208999","-",4,0.025780494500883,1525.5,29,1496.5,7.33073281217493,3.40119738166216,7.3115523299896,3.94358849730628
"354681","Macrod2",5,0.0240926826287922,666.3,26.4,639.9,6.50323971990956,3.31054301339402,6.46287343851018,3.18794790399314
"433098","Cap1",6,0.02400969033484,702293.5,467,701826.5,13.4621081107054,6.14846829591765,13.4614429263165,7.31511224379506
"270602","-",7,0.0239046075302064,633.8,24.6,609.2,6.45330998865225,3.24259235148552,6.41378677228257,3.20940017808269
"494843","-",8,0.0238012965148471,578.3,22.6,555.7,6.36182047810258,3.16124671203156,6.32202649518946,3.20227867400764
"284696","-",9,0.023731844693754,13905.3,81.6,13823.7,9.5400972538478,4.41400968052693,9.53421212633592,5.13231052744941
"299208","-",10,0.0234724716211367,610.8,21.6,589.2,6.4164054317168,3.11794990627824,6.38046146250884,3.30607236989836
"377956","Ptms",11,0.0233601877461296,11226,80,11146,9.32607687045878,4.39444915467244,9.31892568238962,4.9368093334556
"465508","Kcnk13",12,0.0233395548404402,482.7,22.2,460.5,6.18146487982894,3.14415227867226,6.13448205394291,3.03222056681713
"73573","Psmd11",13,0.0231461746520125,512,21,491,6.24027584517077,3.09104245335832,6.19847871649231,3.1519216900711
"275669","-",14,0.0231376760566793,645.2,22.2,623,6.4711090533904,3.14415227867226,6.43615036836943,3.33445422990922
"435225","Dhdds",15,0.022947899763635,1781.7,44.8,1736.9,7.48588434795782,3.82428409112014,7.46043276677069,3.65764905463903
"86595","-",16,0.022520270568863,1070.2,17.8,1052.4,6.97653479437696,2.9338568698359,6.95977830704929,4.0796300918681
"104836","Lsamp",17,0.0223936402290261,477,17,460,6.16961073249146,2.89037175789616,6.13339804299665,3.29801314542692
"180115","-",18,0.022229472032935,373,17,356,5.92425579741453,2.89037175789616,5.87773578177964,3.04171738679581
"212124","Arhgef10",19,0.0222207140407681,406.3,16.4,389.9,6.00955001465437,2.85647020622048,5.96845177279891,3.1686089611584
"411736","-",20,0.0221862789765894,417.2,16.2,401,6.03595978699453,2.84490938381941,5.99645208861902,3.20895018506823
"2591","LOC120098884",21,0.0220892563725477,456.2,15.8,440.4,6.12512093192066,2.82137888640921,6.08995149382264,3.3276734648156
"286858","Arsb",22,0.0220836589418961,369.2,16.8,352.4,5.9140434001394,2.87919845729804,5.8676005598856,3.04338800765281
"146021","LOC108352533",23,0.0220836238702608,1261.7,28.8,1232.9,7.14100756444463,3.39450839351136,7.11793516390449,3.75674900973261
"508357","Ptpn9",24,0.022081246173559,317.7,17.2,300.5,5.76425022142329,2.90142159408275,5.70877001616724,2.86053837015585
"176730","Rnf17",25,0.0220625361983449,314.2,17.8,296.4,5.75320735798372,2.9338568698359,5.69507803402605,2.81251143612389
"416922","-",26,0.0220141424910461,20367.3,77.6,20289.7,9.92173504967536,4.36437169943516,9.91791793197833,5.56630121991271
"18057","LOC100361001",27,0.0217527596421047,746.2,15.8,730.4,6.61633288691463,2.82137888640921,6.59496050571528,3.83358238924784
"415735","Atp5if1",28,0.0216707595946332,4027.3,43.6,3983.7,8.30109972971451,3.79773385902602,8.2902173060818,4.5149091643094
"157795","-",29,0.0215856954784507,11661.7,79.2,11582.5,9.36415099399034,4.38452351487247,9.35733695071052,4.98527431847042
"330098","-",30,0.0215811399024141,355.2,15.2,340,5.87549237085556,2.78501124223834,5.83188247728352,3.10765018975798
"561147","RGD1566100",31,0.0215573050136483,280.7,16.8,263.9,5.64084267488233,2.87919845729804,5.57935239627802,2.75419135710007
"182412","-",32,0.0215253514905692,269.2,15.8,253.4,5.5991624255261,2.82137888640921,5.53890783146597,2.77495932785412
"128848","-",33,0.0213414706757507,367.2,13.2,354,5.90862626879898,2.65324196460721,5.87211778947542,3.28908008354145
"56517","LOC689961",34,0.0212004422197372,352.8,19.6,333.2,5.86873178172568,3.02529107579554,5.81173961616129,2.83321334405622
"577504","-",35,0.0211787781959803,985.2,32.2,953,6.89385917379003,3.50254987592244,6.86066367144829,3.38764845110384
"292307","Dap",36,0.0211203699286299,350.3,13.4,336.9,5.86164055927178,2.66722820658195,5.82274999372024,3.22453144345564
"465025","Cep128",37,0.0208277095065457,9028.8,90.4,8938.4,9.10828549777151,4.5152454784601,9.09822375182135,4.593867613835
"75091","Trim37",38,0.0208158740012571,311.3,16.4,294.9,5.74396426428903,2.85647020622048,5.69002155940616,2.88935498099108
"457865","-",39,0.020780554371161,1510.5,20,1490.5,7.32085781421951,3.04452243772342,7.3075376039548,4.31113463956414
"90347","Ywhae",40,0.0206973919992681,2342.2,39.8,2302.4,7.75927279551352,3.70868208141012,7.74214157123481,4.05784042384271
"572970","-",41,0.0206772779928259,38843.3,154.6,38688.7,10.5673166268849,5.04728861174429,10.5633286937229,5.52246171056319
"282351","-",42,0.0205825579184683,207.7,12.8,194.9,5.34089781408315,2.62466859216316,5.2776043249505,2.72304143558794
"567691","-",43,0.0205800172080096,186.8,14.4,172.4,5.23537756677416,2.73436750941958,5.15560106434644,2.48258915164764
"561348","-",44,0.0205275194456694,253.3,12.4,240.9,5.53851467242807,2.59525470695687,5.48852441761598,2.96668543700983
"366176","-",45,0.0205134307838057,239.3,13.6,225.7,5.48188814274242,2.68102152871429,5.42362755751348,2.80913689108148
"103037","-",46,0.0203807170385296,232.7,13.8,218.9,5.45403824154481,2.69462718077007,5.39317289756072,2.76394641236566
"170748","LOC100361879",47,0.020359264423458,2073.3,42.4,2030.9,7.6373790263521,3.77045944110636,7.61672659488897,3.86908596130115
"344356","Pkp4",48,0.0202760156656627,198.2,13.8,184.4,5.2943093451505,2.69462718077007,5.22251565313175,2.59243871895933
"470412","-",49,0.020188560649082,10822225.3,2419.4,10819805.9,16.1971125680732,7.79168809474817,16.1968889846429,8.40561403769411
"296034","-",50,0.0201799216132946,225.5,12,213.5,5.42274494492309,2.56494935746154,5.36830973836807,2.87873018288068
"329996","-",51,0.0201428611560815,1400.3,37.6,1362.7,7.24515565617617,3.65325227647079,7.21795687286379,3.59021925435993
"382965","-",52,0.0201024786463499,193.3,11.6,181.7,5.26940335638339,2.53369681395743,5.20784546338396,2.75135187728981
"395326","Mdfic2",53,0.0199744180505149,198.5,12,186.5,5.29581423632992,2.56494935746154,5.23377884541047,2.74352458929587
"305685","-",54,0.0199716735674872,195.8,11.4,184.4,5.28218798461815,2.51769647261099,5.22251565313175,2.78349395572204
"496988","Tnrc6b",55,0.0199683496697478,150.8,12.6,138.2,5.02256386496153,2.61006979274201,4.93591174790032,2.39500509737614
"539343","Ccnyl1",56,0.0199173055347794,171.8,12.6,159.2,5.15213485636996,2.61006979274201,5.07642303463426,2.53646445945285
"576013","Slc25a5",57,0.0198748882765287,166.8,11.4,155.4,5.12277279403311,2.51769647261099,5.05241682811121,2.6123890825331
"531257","-",58,0.0198580140225859,201.5,12,189.5,5.31073988654659,2.56494935746154,5.24965219456676,2.75948237473448
"148821","Slc9c2",59,0.0196274976327142,254.3,12.6,241.7,5.54243932424744,2.61006979274201,5.49182611273256,2.954000473752
