"feature_id","gene_symbol","rank","abs_loading","variance","nb1","nb2","log_variance","log_nb1","log_nb2","log_alpha_mu"
"77636","Dusp3",1,0.0173353267621293,31485.2,92.8,31392.4,10.3573046335839,4.54116485601218,10.3543529587203,5.82387446459165
"352226","Eid1",2,0.0162684841860828,5308.3,44.6,5263.7,8.57721527880408,3.81990771652034,8.56877944288767,4.77085562147363
"26551","Zfp91",3,0.015941035125452,915.2,27.8,887.4,6.82023468145264,3.3603753871419,6.78942209202027,3.46325981824822
"150481","Desi2",4,0.0156161100932821,525.3,23.6,501.7,6.26587139235973,3.20274644293832,6.21999357069853,3.05675561945864
"172544","Wdpcp",5,0.0155130118930175,507.5,23,484.5,6.23146521548861,3.17805383034795,6.18517928773138,3.04762321540167
"178811","Dmtn",6,0.015373463066471,459.3,22.4,436.9,6.1318784508232,3.15273602236366,6.08199057380735,2.9706433770964
"65490","Spsb3",7,0.0152428476357768,408.3,21.6,386.7,6.01444838349836,3.11794990627824,5.96023184467688,2.88495588392313
"228708","Wdr37",8,0.0152147178775346,373.5,21,352.5,5.92559180295727,3.09104245335832,5.86788348533663,2.8205281845289
"227759","Arhgap12",9,0.0150907696395543,777.3,23.6,753.7,6.65711205396534,3.20274644293832,6.62632031929082,3.46374769881786
"21877","Eif3c",10,0.0148596407452535,6921.8,60.6,6861.2,8.84257559105084,4.12066187053947,8.83378336901523,4.7293427394604
"345924","Ubr3",11,0.0148207018005959,331.7,19.2,312.5,5.80724118302443,3.00568260440716,5.74779936007298,2.78969419014272
"63559","RGD1309748",12,0.0147471554708427,335.5,19,316.5,5.81859814908478,2.99573227355399,5.76047781833275,2.81288426241779
"334232","Adra1d",13,0.014734386375043,606.8,20.6,586.2,6.40984588048269,3.07269331469012,6.37536547730031,3.34836995248126
"465802","Slc24a4",14,0.0147012838335925,351,19,332,5.8636311755981,2.99573227355399,5.80814248998044,2.86069598975005
"331932","Gpr176",15,0.0146345552293486,300.3,18.4,281.9,5.70810644613626,2.96527306606928,5.64509347830752,2.72920173350513
"165503","-",16,0.0146335317463596,379,19,360,5.94017125272043,2.99573227355399,5.88887795833288,2.94166505228372
"40965","LOC100912964",17,0.0146012025033217,518,20,498,6.25190388316589,3.04452243772342,6.21260609575152,3.21486780347066
"548775","Ercc5",18,0.0145772172850032,396,19,377,5.98393628068719,2.99573227355399,5.93489419561959,2.98780620828157
"242898","Ube2d2",19,0.0144739360775381,326,18,308,5.78996017089725,2.94443897916644,5.73334127689775,2.83972802507741
"364987","Fam133b",20,0.0144523567440196,286.8,17.6,269.2,5.66226579445327,2.92316158071916,5.5991624255261,2.72755569572647
"238783","RGD1308601",21,0.0144198162526335,271.8,17.4,254.4,5.60873892596931,2.91235066461494,5.54283094359844,2.68243762524548
"313712","Fam229b",22,0.0143834468526296,361.5,18,343.5,5.89302447429473,2.94443897916644,5.84209409045371,2.94881535376624
"307204","Zzz3",23,0.0143793698676729,298.7,17.8,280.9,5.70278197432262,2.9338568698359,5.64155239812007,2.75880027681216
"492952","Sdc2",24,0.0143616430314426,1091.8,37.6,1054.2,6.99649848881653,3.65325227647079,6.9614856014031,3.33353341402526
"439579","-",25,0.0143452634010068,424.2,18.2,406,6.05255964646779,2.95491027903374,6.00881318544259,3.10493156551898
"195632","Nrg3",26,0.0142954664216965,296.3,17.6,278.7,5.69474173000405,2.92316158071916,5.63371760020791,2.7622370324438
"414480","LOC120093124",27,0.0142822873204316,320.3,17.6,302.7,5.77237526612181,2.92316158071916,5.7160403720517,2.84484331398357
"232906","Ccdc178",28,0.0142820882374136,1048.2,21.8,1026.4,6.95578324799272,3.1267605359604,6.93478661803317,3.85190284350638
"250450","Fto",29,0.0142137595159436,412.2,18.2,394,6.02393173724548,2.95491027903374,5.97888576490112,3.07492931521518
"186647","Mapk1ip1l",30,0.0141836134147514,230.3,16.4,213.9,5.44371556923739,2.85647020622048,5.37017280364846,2.56822728125821
"449408","Ccdc88c",31,0.0141752272654862,1934,44,1890,7.56786260546388,3.80666248977032,7.54486106865846,3.76014247413543
"320825","Ascc3",32,0.0140995762902401,297.7,17.2,280.5,5.69943972522206,2.90142159408275,5.64013244757975,2.79166434114334
"249166","Tmx3",33,0.0140963210458076,545.3,18.4,526.9,6.30316827540167,2.96527306606928,6.26890687182957,3.3546601126003
"9742","Zfp14",34,0.0140821508708688,276.3,16.4,259.9,5.62509995262173,2.85647020622048,5.56413719214268,2.76301560681729
"121741","Gtf2h3",35,0.0140697505614235,310.7,16.8,293.9,5.74204118677329,2.87919845729804,5.68663631582123,2.86186068701566
"175397","Gnpnat1",36,0.0140596662475579,264.2,16.2,248,5.58048425831171,2.84490938381941,5.51745289646471,2.72841750392664
"420988","Sntg1",37,0.014047192987387,291.2,16.8,274.4,5.6774384993166,2.87919845729804,5.61822458629455,2.79320800944252
"259229","Wwp2",38,0.0140438945197897,210.2,15.8,194.4,5.35280555183211,2.82137888640921,5.27504873960868,2.50990795199342
"277148","Cks1b",39,0.0140422278508833,390.5,18,372.5,5.96998551543086,2.94443897916644,5.92291800457287,3.02986527992345
"55228","Pnpla2",40,0.0140252824142244,224.2,15.8,208.4,5.41698889626554,2.82137888640921,5.34424629843644,2.57944936984629
"279930","Ntng1",41,0.0140129015537164,274.7,16.2,258.5,5.61931331802975,2.84490938381941,5.55875670260594,2.76988445171015
"26548","Zfp91",42,0.0139426031998644,202.3,15.4,186.9,5.3146827206343,2.79728133483015,5.23590990641942,2.49620620504193
"284711","-",43,0.0139277250175473,405.5,17,388.5,6.00758392898787,2.89037175789616,5.9648638653108,3.12907982575149
"178537","LOC120093073",44,0.0139222997779375,413.5,17,396.5,6.02707297457535,2.89037175789616,5.98519493409439,3.14946269701869
"365891","LOC100363521",45,0.0138950472292632,1750.2,38.2,1712,7.46805654620865,3.66867674679642,7.44600149832412,3.80258204108916
"572511","Ogt",46,0.0138835256471795,227.3,15.6,211.7,5.43066055353575,2.8094026953625,5.35988272220619,2.60789926388533
"44606","Otud7a",47,0.0138788431897276,192.7,15.2,177.5,5.26631057041295,2.78501124223834,5.18458860121969,2.45767518106324
"474239","Rab21",48,0.0138708098574474,198.7,15.2,183.5,5.29681624042177,2.78501124223834,5.21764946348058,2.49091923964239
"388202","Ssbp1",49,0.0138659981416775,2839.8,53.4,2786.4,7.95184098162888,3.9963641538619,7.93286454068541,3.95469497308564
"412767","Cyp4x1",50,0.0138567450985712,306.2,16.2,290,5.72749900127352,2.84490938381941,5.67332326717149,2.88486968074218
"522121","Tmprss5",51,0.0138526141482126,243.3,15.6,227.7,5.49839697826369,2.8094026953625,5.43241110102874,2.6807580588142
"318009","Ctnna3",52,0.013820539454535,198.7,15.2,183.5,5.29681624042177,2.78501124223834,5.21764946348058,2.49091923964239
"1282","Ltv1",53,0.0137725698724989,285.2,15.8,269.4,5.65669086712235,2.82137888640921,5.59990234416881,2.83618732394334
"509667","Trip4",54,0.0137723808965088,191.2,14.8,176.4,5.25853649653619,2.76000994003292,5.17840706987548,2.47812696280262
"412822","Faah",55,0.0137480677126386,4499.2,80.8,4418.4,8.41187711921523,4.4042772436087,8.393759219251,4.00155595305993
"393483","Lbx2",56,0.0137438088430344,227.7,15.2,212.5,5.43241110102874,2.78501124223834,5.36363683266868,2.63764656051224
"303052","Lrif1",57,0.0137085659665979,188.7,14.8,173.9,5.24544387694097,2.76000994003292,5.16421438202456,2.46385324059017
"312383","-",58,0.0137082876629584,342.8,16.6,326.2,5.84006009294875,2.86789890204411,5.79057160472859,2.97810799482442
"579104","-",59,0.0136886000516564,218.7,15.2,203.5,5.39226297939056,2.78501124223834,5.32056797548286,2.59437057703042
"480268","Trappc9",60,0.0136409489947298,225.7,14.8,210.9,5.42362755751348,2.76000994003292,5.35611446527425,2.65675690671466
