"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","var_ctrl","var_trt","nb1_ctrl","nb1_trt","nb2_ctrl","nb2_trt","alpha_mu_ctrl","alpha_mu_trt","log_var_ctrl","log_var_trt","log_nb1_ctrl","log_nb1_trt","log_nb2_ctrl","log_nb2_trt","log_alpha_mu_ctrl","log_alpha_mu_trt","gene_symbol"
"20",0.0114142662330536,0.0110269056870457,1762,674,2.6,8.4,33.8,90.3,2.6,8.4,31.2,81.9,12,9.75,3.54961738678043,4.51415078760092,1.28093384546206,2.24070968927596,3.47196645255036,4.41763506214125,2.484906649788,2.27726728500976,"-"
"25",0.00272186839759801,0.000538903453766287,17783,30489,20.4,10.6,194.3,36.3,20.4,10.6,173.9,25.7,8.52450980392157,2.42452830188679,5.27453683788263,3.61899332664977,3.06339092202781,2.45100509811232,5.16421438202456,3.2846635654062,2.14294552051007,0.885636990783153,"-"
"31",0.00188063790514546,0.00220468632651933,21416,26654,24.8,45.6,135.2,166.3,24.8,45.6,110.4,120.7,4.45161290322581,2.6469298245614,4.91412439371541,5.11978860799278,3.25037449192757,3.8416005411316,4.71312732749318,4.80155899999348,1.49326648067206,0.973400411583145,"Pcmt1"
"35",0.00327474190296536,0.00430970722932612,15684,18031,111.2,179.6,1846.2,7351.8,111.2,179.6,1735,7172.2,15.6025179856115,39.93429844098,7.52142625804029,8.9028364720439,4.7202829930886,5.19628464098288,7.4593388952203,8.87810713807427,2.74743231056448,3.68723556469232,"Pcmt1"
"37",0.00134804516282786,0.00352102376974599,24088,21819,97.8,167,1338.7,6346.5,97.8,167,1240.9,6179.5,12.6881390593047,37.002994011976,7.20020098728294,8.75581631357883,4.59309760475382,5.12396397940326,7.12439774395399,8.72915445332788,2.5406676247398,3.61099882861304,"Pcmt1"
"38",0.00406503195239563,0.00427729827167273,12745,18172,37.4,55.8,188.3,743.2,37.4,55.8,150.9,687.4,4.03475935828877,12.3189964157706,5.24333305821528,6.61230981591252,3.64805745959368,4.03953632572711,5.02322240960173,6.53437006433738,1.39494666135332,2.51114249502847,"Pcmt1"
"89",0.00484690389431006,0.0039962699715173,10366,19648,42,73.2,345,1281.7,42,73.2,303,1208.5,7.21428571428571,16.5095628415301,5.84643877505772,7.1567225103058,3.76120011569356,4.30676415017333,5.71702770140622,7.09796233005008,1.976063187226,2.80393977917627,"Tab2"
"90",0.000178629708522703,0.00446951470791583,29235,17168,12.8,31,3.7,357.5,12.8,31,0,326.5,-0.7109375,10.5322580645161,1.54756250871601,5.88192866003967,2.62466859216316,3.46573590279973,0,5.79148805507531,NA,2.35444274423134,"Tab2"
"143",0.000502519618453187,0.00513189204972517,27889,13838,8.2,32.6,20.7,297.3,8.2,32.6,12.5,264.7,1.52439024390244,8.11963190184049,3.07731226054641,5.6980996915207,2.21920348405499,3.51452606696916,2.60268968544438,5.58236785276577,0.421594490038048,2.09428482086039,"Ust"
"214",0,0.000618744339082173,29910,30338,0,3.8,0,16.2,0,3.8,0,12.4,NA,3.26315789473684,0,2.84490938381941,0,1.56861591791385,0,2.59525470695687,NA,1.18269540587865,"LOC365036"
