"dataset_name","feature_id","gene_symbol","log2FoldChange","lfc_shrunk","Apeglm_L2FC","regulation_direction","stat","pvalue","padj","empirical_p","empirical_q","empirical_bh","lfdr","HBFSS","pi_valueE","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","weak_cnh_flag","strong_cnh_flag","standard_flag","hbfss_flag","final_class","weak_hbfss_overlap","strong_hbfss_overlap","standard_hbfss_overlap","any_overlap","baseMean.x","lfcSE","pval","padjc","qval","gene_empirical_pvalue","HBFSS_core_pass","raw_lfc_pass","shrunk_lfc_pass","padj_strong_effect","padj_weak_effect","effect_class","hc_pass","standard_significant","HBFSS_significant","display_weak_flag","display_standard_flag","display_strong_flag","display_hbfss_flag","R2_1","R2_2","R2_3","R2_4","R2_5","ZT8_1","ZT8_2","ZT8_3","ZT8_4","ZT8_5","dispGeneEst","dispFit","dispersion","dispIter","baseMean.y","dispOutlier","neglog10_padj","neglog10_empirical_p","neglog10_padjc"
"RT2_ZT8_NormEVS_remainder_dataset","3339","LOC680123",-0.515520980750064,-7.51541642587141e-06,-7.51541642587141e-06,"downregulated",-1.93443129325133,0.0530601220219675,0.999931476033651,0.0121947058897636,0.497639191266189,0.512467189094844,0.655367647137595,1.43832194189018e-05,1.43832194189018e-05,0.014565731311307,1.83666770557858,0.0782697860173502,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,36.9433249826762,0.266497436506827,0.0121947058897636,0.512467189094844,0.497639191266189,0.0121947058897636,FALSE,FALSE,FALSE,1,0.0782697860173502,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,21.650518866853,27.3760326044206,25.4050987736385,40.5213340880565,38.2783569369503,36.1749375487794,58.4446965830773,36.056821741362,40.5001958719833,45.0252568116413,0.0303290010967576,0.0724703087174611,0.057594083877857,11,36.9433249826762,FALSE,2.97606001325331e-05,1.91382866947842,0.290333935250185
"RT2_ZT8_NormEVS_remainder_dataset","16088","Chd2",0.586771724003366,1.11941776636463e-05,1.11941776636463e-05,"upregulated",2.52132894267885,0.0116912503350031,0.999931476033651,0.00108729091301751,0.199354853821642,0.203602611775997,0.321791460880737,3.31756721135143e-05,3.31756721135143e-05,0.014565731311307,1.83666770557858,0.0825124793809595,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,44.5746106192029,0.232723193737639,0.00108729091301751,0.203602611775997,0.199354853821642,0.00108729091301751,FALSE,FALSE,FALSE,1,0.0825124793809595,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,44.8475033670526,48.3643242678097,56.3330451067636,60.7820011320848,56.5061459545456,39.7924313036573,37.76426548445,25.2397752189534,34.4682518059433,41.6483625507682,1e-08,0.0617305931190661,0.0422976807637169,10,44.5746106192029,FALSE,2.97606001325331e-05,2.96365424154863,0.691216655251642
"RT2_ZT8_NormEVS_remainder_dataset","33735","Slc2a12",-0.450177087178128,-8.36343998942185e-06,-8.36343998942185e-06,"downregulated",-1.90640044556607,0.0565982709696309,0.999931476033651,0.0135060336066843,0.509545901397754,0.523120298698425,0.655367647137595,1.56352183389065e-05,1.56352183389065e-05,0.014565731311307,1.83666770557858,0.0374303943720171,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,56.0725183853131,0.236139835271837,0.0135060336066843,0.523120298698425,0.509545901397754,0.0135060336066843,FALSE,FALSE,FALSE,1,0.0374303943720171,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,47.9404346337458,53.8395307886939,61.8558926662502,46.7553854862191,26.4302940755133,77.1732001040627,62.9404424740833,51.0804974669295,77.5535665633723,55.1559395942606,0.0435148498606769,0.0517542514478629,0.0488706838310234,11,56.0725183853131,FALSE,2.97606001325331e-05,1.86947217397172,0.281398427665784
"RT2_ZT8_NormEVS_remainder_dataset","35125","Tent4a",0.525681277143122,1.03522333915377e-05,1.03522333915377e-05,"upregulated",2.28525064122824,0.022298135330947,0.999931476033651,0.00306622942467949,0.300062963082482,0.312085344768317,0.4890802946298,2.60192552996922e-05,2.60192552996922e-05,0.014565731311307,1.83666770557858,0.056429072074528,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,83.1905604517729,0.230032219512074,0.00306622942467949,0.312085344768317,0.300062963082482,0.00306622942467949,FALSE,FALSE,FALSE,1,0.056429072074528,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,126.810181934425,146.005507223577,66.2741707138395,67.0160525302473,83.8478294809387,51.8507438199171,79.1251276817047,71.5126964537013,77.5535665633723,61.9097281160068,0.0694123005217887,0.0403605113230562,0.0515471026591795,7,83.1905604517729,FALSE,2.97606001325331e-05,2.51339535302221,0.50572662491265
"RT2_ZT8_NormEVS_remainder_dataset","44671","Mcee",0.523582061601557,8.2327052764274e-06,8.2327052764274e-06,"upregulated",2.03034992206774,0.042320983106683,0.999931476033651,0.00851986856741016,0.450838597122696,0.464542030125286,0.655367647137595,1.70381360241685e-05,1.70381360241685e-05,0.014565731311307,1.83666770557858,0.0754326533850042,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,40.5473600232748,0.257877746052924,0.00851986856741016,0.464542030125286,0.450838597122696,0.00851986856741016,FALSE,FALSE,FALSE,1,0.0754326533850042,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,62.6318581505389,62.05234057002,45.2873499877903,37.4043083889752,30.9872413299121,36.1749375487794,29.6719228806393,38.4606098574528,30.1597203302004,32.6433111884399,0.0361081848620566,0.0668095755265405,0.0553844750938532,12,40.5473600232748,FALSE,2.97606001325331e-05,2.06956710486813,0.332974986458916
"RT2_ZT8_NormEVS_remainder_dataset","55226","Pnpla2",0.561341485216962,8.91340967043698e-06,8.91340967043698e-06,"upregulated",2.19414201826752,0.0282252013602887,0.999931476033651,0.00446954388774801,0.351445785730896,0.359847510428941,0.655367647137595,2.09441666617465e-05,2.09441666617465e-05,0.014565731311307,1.83666770557858,0.0886262114977846,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,37.5299515326199,0.255836441097916,0.00446954388774801,0.359847510428941,0.351445785730896,0.00446954388774801,FALSE,FALSE,FALSE,1,0.0886262114977846,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,54.1262971671324,51.1019275282518,41.9736414520984,34.287282689894,40.1011358387098,30.1457812906495,32.3693704152428,22.2350400738399,28.4363077399032,40.5227311304772,0.0165518268738028,0.0714616208867429,0.051944045975797,11,37.5299515326199,FALSE,2.97606001325331e-05,2.34973679390187,0.443881497591503
"RT2_ZT8_NormEVS_remainder_dataset","59361","Uhrf2",0.496798307840627,1.22360330691128e-05,1.22360330691128e-05,"upregulated",2.41705067669206,0.0156468385543959,0.999931476033651,0.00173742012559197,0.232449720143044,0.236630338588376,0.321791460880737,3.37726155549602e-05,3.37726155549602e-05,0.014565731311307,1.83666770557858,0.0304523774912602,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,60.6358180083717,0.205539053289747,0.00173742012559197,0.236630338588376,0.232449720143044,0.00173742012559197,FALSE,FALSE,FALSE,1,0.0304523774912602,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,68.0444878672522,69.3526159311989,53.0193365710716,79.4841553265724,85.6706083826982,55.4682375747951,44.9574589100595,55.2871266700884,53.4257902992121,41.6483625507682,0.00782253585440893,0.048988544128728,0.034325458343688,11,60.6358180083717,FALSE,2.97606001325331e-05,2.76009515209728,0.625929574852473
"RT2_ZT8_NormEVS_remainder_dataset","71015","Adprm",0.511642413026009,9.33922582215448e-06,9.33922582215448e-06,"upregulated",2.12098802542656,0.0339228101403691,0.999931476033651,0.00599266275496868,0.398404370067729,0.407640466310221,0.655367647137595,2.07553101966481e-05,2.07553101966481e-05,0.014565731311307,1.83666770557858,0.0594883709990257,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,42.425960759868,0.241228336460368,0.00599266275496868,0.407640466310221,0.398404370067729,0.00599266275496868,FALSE,FALSE,FALSE,1,0.0594883709990257,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,49.4869002670925,63.8774094103148,54.123906082969,42.0798469375971,40.1011358387098,33.7632750455274,42.2600113754559,40.8643979735436,28.4363077399032,29.2664169275668,0.0145178219901968,0.064300622806649,0.0465291379528602,11,42.425960759868,FALSE,2.97606001325331e-05,2.22238016211284,0.38972271028164
"RT2_ZT8_NormEVS_remainder_dataset","71173","Rangrf",0.592385543297315,1.0773514333629e-05,1.0773514333629e-05,"upregulated",2.47416763750787,0.0133547016173337,0.999931476033651,0.00134687346044116,0.215130511550956,0.226897089780663,0.321791460880737,3.09272389167512e-05,3.09272389167512e-05,0.014565731311307,1.83666770557858,0.0900446926069537,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,51.805479052976,0.239428215904562,0.00134687346044116,0.226897089780663,0.215130511550956,0.00134687346044116,FALSE,FALSE,FALSE,1,0.0900446926069537,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,58.7656940671723,90.340907594588,39.7645024283037,62.3405139816254,61.0630932089445,36.1749375487794,35.9659671280476,52.2823915249749,43.0853147574291,38.2714682898951,0.0405240160643112,0.0548632707418998,0.0494867760527405,9,51.805479052976,FALSE,2.97606001325331e-05,2.87067320458408,0.644171074411691
"RT2_ZT8_NormEVS_remainder_dataset","71684","Pelp1",-0.466554025677478,-1.12593704406299e-05,-1.12593704406299e-05,"downregulated",-2.25283258861319,0.0242697065774112,0.999931476033651,0.00351139632604935,0.315522437580654,0.323671237948708,0.4890802946298,2.76363516183342e-05,2.76363516183342e-05,0.014565731311307,1.83666770557858,0.0242344087273728,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,84.3576215563143,0.207096624949252,0.00351139632604935,0.323671237948708,0.315522437580654,0.00351139632604935,FALSE,FALSE,FALSE,1,0.0242344087273728,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56.4459956171524,60.2272717297253,109.352381677835,67.0160525302473,61.9744826598242,97.6723313817044,99.805558780332,102.160994933859,74.106741382778,114.814404869685,0.0383513584990801,0.0400591202341756,0.0394360537057451,9,84.3576215563143,FALSE,2.97606001325331e-05,2.45452014959978,0.489895891129228
