"dataset_name","feature_id","gene_symbol","log2FoldChange","lfc_shrunk","Apeglm_L2FC","regulation_direction","stat","pvalue","padj","empirical_p","empirical_q","empirical_bh","lfdr","HBFSS","pi_valueE","hc_p_threshold_dataset","hbfss_threshold_dataset","resLA_padj","resGA_padj","weak_cnh_flag","strong_cnh_flag","standard_flag","hbfss_flag","final_class","weak_hbfss_overlap","strong_hbfss_overlap","standard_hbfss_overlap","any_overlap","baseMean.x","lfcSE","pval","padjc","qval","gene_empirical_pvalue","HBFSS_core_pass","raw_lfc_pass","shrunk_lfc_pass","padj_strong_effect","padj_weak_effect","effect_class","hc_pass","standard_significant","HBFSS_significant","display_weak_flag","display_standard_flag","display_strong_flag","display_hbfss_flag","R2_1","R2_2","R2_3","R2_4","R2_5","ZT8_1","ZT8_2","ZT8_3","ZT8_4","ZT8_5","dispGeneEst","dispFit","dispersion","dispIter","baseMean.y","dispOutlier","neglog10_padj","neglog10_empirical_p","neglog10_padjc"
"RT2_ZT8_NormEVS_leading_edge_dataset","60635","Scd2",0.515537235155025,5.72497501624988e-06,5.72497501624988e-06,"upregulated",1.69023813664049,0.0909824050337288,0.99920126812015,0.0144002898234241,0.493166616682687,0.502591408030362,0.720968512005727,1.05432786809107e-05,1.05432786809107e-05,0.0220541331368955,1.65651000799492,0.0781101947136941,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,1498.00625740118,0.305008639894793,0.0144002898234241,0.502591408030362,0.493166616682687,0.0144002898234241,FALSE,FALSE,FALSE,1,0.0781101947136941,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3398.9237064966,1806.81681246257,1129.56178014751,1093.64741701438,1383.87867586932,1149.80477970876,1207.84966046779,1365.43867745574,1511.17259822308,932.968466166058,0.132944904544974,0.0760123387965963,0.111053806746895,7,1498.00625740118,FALSE,0.000347023455744123,1.84162876710981,0.298784940090632
"RT2_ZT8_NormEVS_leading_edge_dataset","65983","Hba-a2",-0.5122179600954,-5.33394159007093e-06,-5.33394159007093e-06,"downregulated",-1.62998863312538,0.103103899387539,0.99920126812015,0.0182803063843453,0.530663968648592,0.545687428548873,0.747113157922266,9.27047865153554e-06,9.27047865153554e-06,0.0220541331368955,1.65651000799492,0.0826973847077539,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,1854.04879351319,0.314246338708056,0.0182803063843453,0.545687428548873,0.530663968648592,0.0182803063843453,FALSE,FALSE,FALSE,1,0.0826973847077539,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2438.12274376749,1297.05948339607,949.80605538071,1077.34864775932,1877.10479749513,1347.44689859924,1764.96918030733,1829.08096615626,2347.48575461675,3612.06340765361,0.146152496447344,0.0745553373418929,0.118044057001157,8,1854.04879351319,FALSE,0.000347023455744123,1.73801652961338,0.263056051301596
"RT2_ZT8_NormEVS_leading_edge_dataset","379654","Ldhb",0.446266451165235,5.80190685281677e-06,5.80190685281677e-06,"upregulated",1.58132382464915,0.113804014849103,0.99920126812015,0.0220541331368955,0.562251330956372,0.56789392827506,1,9.61091676714529e-06,9.61091676714529e-06,0.0220541331368955,1.65651000799492,0.0434044548362922,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,990.093671274408,0.282210666916531,0.0220541331368955,0.56789392827506,0.562251330956372,0.0220541331368955,FALSE,FALSE,FALSE,1,0.0434044548362922,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1985.8961252198,1081.49966910842,1030.9860601141,547.638646969941,1061.38467326783,975.780272509594,800.688902085871,810.767143591496,839.730166225715,766.565053651304,0.107734077101734,0.0799045101262149,0.094627924031867,10,990.093671274408,FALSE,0.000347023455744123,1.65651000799492,0.245732774617709
"RT2_ZT8_NormEVS_leading_edge_dataset","469006","Rpl41",-0.357642213545868,-7.81008712650241e-06,-7.81008712650241e-06,"downregulated",-1.64327024007624,0.100327032785834,0.99920126812015,0.0173540237898406,0.522582912977162,0.540943173628485,0.747113157922266,1.37504379229474e-05,1.37504379229474e-05,0.0220541331368955,1.65651000799492,0.00667497824436597,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,1801.8439683976,0.217640534602072,0.0173540237898406,0.540943173628485,0.522582912977162,0.0173540237898406,FALSE,FALSE,FALSE,1,0.00667497824436597,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1925.2139591527,1112.02959988735,1673.46781186125,1287.60277114956,1898.92056825934,2239.94401409209,2190.30675825987,2342.48590887962,1945.13284689314,1403.3354455411,0.0433603022155624,0.0747329464330257,0.0563208458464653,10,1801.8439683976,FALSE,0.000347023455744123,1.76059981152928,0.266848355366298
"RT2_ZT8_NormEVS_leading_edge_dataset","546052","Hsp90ab1",0.340281692227276,8.06390473448322e-06,8.06390473448322e-06,"upregulated",1.62629345117709,0.103887244248068,0.99920126812015,0.0185455922004534,0.532872309241614,0.545687428548873,0.747113157922266,1.3964741971175e-05,1.3964741971175e-05,0.0220541331368955,1.65651000799492,0.00437791158294633,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,1211.35620128852,0.209237571473331,0.0185455922004534,0.545687428548873,0.532872309241614,0.0185455922004534,FALSE,FALSE,FALSE,1,0.00437791158294633,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,882.781034928555,1252.65231135398,1625.91952337455,1468.51910988071,1539.43460653592,1121.21503924032,1325.99898767683,990.398187381229,1052.43902827068,854.204184242408,0.040228653332622,0.0778077313646115,0.0517470997980741,10,1211.35620128852,FALSE,0.000347023455744123,1.73175929416159,0.263056051301596
"RT2_ZT8_NormEVS_leading_edge_dataset","186224","Fam107a",0.379153991134408,7.24895152673399e-06,7.24895152673399e-06,"upregulated",1.63235020842868,0.102605731885293,0.99920126812015,0.0181125087108052,0.52924349743523,0.543204144276683,0.747113157922266,1.26278286339008e-05,1.26278286339008e-05,0.0220541331368955,1.65651000799492,0.0119633203737634,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,487.355418597153,0.23227490594643,0.0181125087108052,0.543204144276683,0.52924349743523,0.0181125087108052,FALSE,FALSE,FALSE,1,0.0119633203737634,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,749.858194972046,511.607627901587,643.641466100481,327.605262026661,519.784451251808,420.144881666551,379.895529025986,392.639477472828,420.292209341864,508.085086211718,0.0490461961909594,0.091746174129283,0.0627172703298046,9,487.355418597153,FALSE,0.000347023455744123,1.74202139265652,0.265036925344585
"RT2_ZT8_NormEVS_leading_edge_dataset","574524","Plp1",-0.303244567450849,-8.01421105546711e-06,-8.01421105546711e-06,"downregulated",-1.6712975392612,0.0946629222539797,0.99920126812015,0.0155334081243246,0.504801723245237,0.513469449021278,0.747113157922266,1.44955699842012e-05,1.44955699842012e-05,0.0220541331368955,1.65651000799492,0.000935563818001979,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,2686.17184160626,0.181442597937946,0.0155334081243246,0.513469449021278,0.504801723245237,0.0155334081243246,FALSE,FALSE,FALSE,1,0.000935563818001979,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2485.0791817956,2145.42149928351,2986.26445983557,1875.98834125715,2530.62940864931,3419.58156646356,2669.26595394575,3463.35934766218,2793.40553769897,2492.72311947103,0.0261016182601636,0.0726563350625392,0.0391602281975959,9,2686.17184160626,FALSE,0.000347023455744123,1.80873324696293,0.289485391436106
"RT2_ZT8_NormEVS_leading_edge_dataset","511144","Eef1a1",0.341322206560363,9.09475087847536e-06,9.09475087847536e-06,"upregulated",1.72982508829195,0.0836615305992046,0.99920126812015,0.0122647555775797,0.467449438121144,0.488416248995795,0.720968512005727,1.73831711697459e-05,1.73831711697459e-05,0.0220541331368955,1.65651000799492,0.00297948918985488,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,1838.87871007922,0.197316022799385,0.0122647555775797,0.488416248995795,0.467449438121144,0.0122647555775797,FALSE,FALSE,FALSE,1,0.00297948918985488,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1775.67576420163,2219.43345268699,2148.95069672827,1773.30609495029,2358.00026608028,1628.37217450646,1368.71451366779,1179.13215568733,2113.42058112149,1823.78140116171,0.0335028407566213,0.0746059089322796,0.0462117415157609,9,1838.87871007922,FALSE,0.000347023455744123,1.91134110235903,0.311209896054299
"RT2_ZT8_NormEVS_leading_edge_dataset","42310","Slc17a7",-0.445156561224343,-6.91153038067655e-06,-6.91153038067655e-06,"downregulated",-1.72762698475901,0.0840551216507794,0.99920126812015,0.0123755296741135,0.468925391067214,0.488416248995795,0.720968512005727,1.31833032741306e-05,1.31833032741306e-05,0.0220541331368955,1.65651000799492,0.0314001121847637,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,3203.86727627522,0.257669372585332,0.0123755296741135,0.488416248995795,0.468925391067214,0.0123755296741135,FALSE,FALSE,FALSE,1,0.0314001121847637,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2367.32688335587,1434.90674661006,3802.70336458284,3719.37914400418,2246.07587694212,3839.72644813011,3524.48531474348,4438.58599418279,3438.36614349797,3227.11684670281,0.0785176790589167,0.0719726455585272,0.0794211688144908,8,3203.86727627522,FALSE,0.000347023455744123,1.90743620414212,0.311209896054299
"RT2_ZT8_NormEVS_leading_edge_dataset","563697","Bex2",0.427442695822906,1.11189060244956e-05,1.11189060244956e-05,"upregulated",1.59543446760074,0.110615113483684,0.99920126812015,0.0208957069736004,0.550630899076266,0.562212057210562,0.747113157922266,1.8679127571818e-05,1.8679127571818e-05,0.0220541331368955,1.65651000799492,0.0323031803804441,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,370.650643810253,0.267916172367586,0.0208957069736004,0.562212057210562,0.550630899076266,0.0208957069736004,FALSE,FALSE,FALSE,1,0.0323031803804441,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,588.761492198668,297.898112449025,610.009749853789,319.455877399132,309.214837788484,270.981018352983,356.265663584179,287.652414717342,376.725333983256,289.541937775673,0.0779922126492494,0.0990891305942157,0.0834632972830599,9,370.650643810253,FALSE,0.000347023455744123,1.67994293059648,0.250099844740915
"RT2_ZT8_NormEVS_leading_edge_dataset","528799","Rab6b",-0.388853318519513,-2.5912574487054e-05,-2.5912574487054e-05,"downregulated",-2.06808780620316,0.0386317671160797,0.99920126812015,0.00275193290001474,0.274070175479107,0.296333138187951,0.417448068797448,6.63455751757002e-05,6.63455751757002e-05,0.0220541331368955,1.65651000799492,0.00358247091294302,1,TRUE,FALSE,FALSE,FALSE,"Weak CNH",FALSE,FALSE,FALSE,FALSE,1151.50908121972,0.188025536127219,0.00275193290001474,0.296333138187951,0.274070175479107,0.00275193290001474,FALSE,FALSE,FALSE,1,0.00358247091294302,"weak_effect",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1104.55990376903,665.182431213817,1182.90864040088,1121.35532474797,913.416836780094,1244.27522647402,1343.26696626892,1204.01348269875,1306.15200830022,1429.95999154346,0.0268197009565746,0.0782953686539884,0.0415638718560433,9,1151.50908121972,FALSE,0.000347023455744123,2.5603621596475,0.528219779746942
