"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","feature_id","empirical_p","empirical_q","lfdr","empirical_bh","lfc_shrunk","padj_strong_effect","padj_weak_effect","effect_class","resGA_padj","resLA_padj","gene_empirical_pvalue","HBFSS","raw_lfc_pass","shrunk_lfc_pass","standard_significant","HBFSS_significant","regulation_direction","gene_symbol","R4_1","R4_2","R4_3","R4_4","R4_5","ZT10_1","ZT10_2","ZT10_3","ZT10_4","ZT10_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","IOD","neglog10_padj","neglog10_empirical_p","neglog10_padjc","dataset_name","hc_p_threshold_dataset","hbfss_threshold_dataset","Apeglm_L2FC","pi_valueE","pval","padjc","qval"
7865.16092403218,1.12803268525407,0.216929669290554,5.19999264712466,1.99296410294308e-07,3.13338245073829e-05,"378009",6.91746212937439e-05,0.0095338731675059,0.0235788181273263,0.010654797032553,1.05518430269749,1,0.761856759517108,"intermediate",1,0.761856759517108,6.91746212937439e-05,4.38962284535366,TRUE,TRUE,TRUE,TRUE,"upregulated","Gapdh",14569.1524100509,8702.90318184329,14057.453708207,7978.80681769963,8653.42482488363,4887.72711221986,4024.45197169956,5302.45165857825,5436.95942497881,5038.27813016085,0.050955677718297,0.0719046850133231,0.0563506434883706,9,FALSE,443.206879208801,4.50398659327398,4.16005320978712,1.97245481891851,"RT4_ZT10_leading_edge_dataset",0.017917484790559,1.7467229555136,1.05518430269749,4.38962284535366,6.91746212937439e-05,0.010654797032553,0.0095338731675059
430.197547416181,3.63454159210078,0.485522804529153,7.48583085736923,7.10959108994606e-14,7.18576528019548e-11,"92652",1.01464630031245e-08,8.59902045305305e-06,0.00017752013727148,8.99610776014526e-06,3.50251635938867,8.14586444255409e-05,1,"strong_effect",8.14586444255409e-05,1,1.01464630031245e-08,27.9980136185982,TRUE,TRUE,TRUE,TRUE,"upregulated","Septin4",756.833000168298,755.332008704029,505.162524830238,261.312378624985,1702.08689482057,58.2777208818334,45.2185614797703,23.4161260683044,51.911435116338,142.424823467445,0.403499667300994,0.0971888632446054,0.272288238246974,10,FALSE,117.137732284121,10.1435269729344,7.99368532385242,5.04594535099584,"RT4_ZT10_leading_edge_dataset",0.017917484790559,1.7467229555136,3.50251635938867,27.9980136185982,1.01464630031245e-08,8.99610776014526e-06,8.59902045305305e-06
2901.39885605749,-1.54541362126955,0.260132696654321,-5.94086649293141,2.83519448744129e-09,9.11772772665778e-07,"144905",5.46662221645455e-06,0.00148850964311122,0.00536099375182828,0.00168585875570922,-1.46232596043061,1,0.993671260349421,"intermediate",1,0.993671260349421,5.46662221645455e-06,7.69517002670775,TRUE,TRUE,TRUE,TRUE,"downregulated","LOC100362110",1017.85837545854,1177.54080403357,1232.4223666117,1839.51520288971,2138.5837550988,5404.6251583022,5527.18044506216,3595.6762473774,2966.5858362072,4114.00036953358,0.0860650738285998,0.0744075732665086,0.0808453306772755,9,FALSE,234.564549944636,6.04011338083066,5.26228093799398,2.77317881416304,"RT4_ZT10_leading_edge_dataset",0.017917484790559,1.7467229555136,-1.46232596043061,7.69517002670775,5.46662221645455e-06,0.00168585875570922,0.00148850964311122
450.782707663435,1.50791138047549,0.424510283616322,3.55211979231666,0.00038214084245309,0.0106917359825707,"437160",0.0065651712664514,0.173295932558302,0.417093334792789,0.18267075218463,1.24944129765784,1,0.911283328651054,"intermediate",1,0.911283328651054,0.0065651712664514,2.7272229151761,TRUE,TRUE,TRUE,TRUE,"upregulated","Eno1",384.274340642727,549.676995041828,542.90455254744,453.939883026406,1404.81748135522,411.74476709991,96.7466896776481,204.240655151321,141.993043112336,317.488668979512,0.291295509501954,0.0959674443706743,0.21300328624013,10,FALSE,96.0181981125357,1.9709517740764,2.18275393993176,0.738330982924718,"RT4_ZT10_leading_edge_dataset",0.017917484790559,1.7467229555136,1.24944129765784,2.7272229151761,0.0065651712664514,0.18267075218463,0.173295932558302
2265.57943703504,-1.59151048553714,0.309948556679184,-5.13475688542873,2.82508975335585e-07,3.82011141754028e-05,"189162",8.52333169150121e-05,0.0107390936865963,0.0235788181273263,0.011282174431223,-1.46872744292573,1,0.986936588272098,"intermediate",1,0.986936588272098,8.52333169150121e-05,5.97682566540619,TRUE,TRUE,TRUE,TRUE,"downregulated","-",855.713348797097,956.722287059872,631.453156037798,1477.49943724522,1723.41001730542,4394.90029867566,4013.93602716938,1843.36947993263,2761.99370957222,3996.79660855516,0.129508696281452,0.0755205667218487,0.114827425777379,8,FALSE,260.150654648898,4.41792397025131,4.06939061035059,1.94760719002704,"RT4_ZT10_leading_edge_dataset",0.017917484790559,1.7467229555136,-1.46872744292573,5.97682566540619,8.52333169150121e-05,0.011282174431223,0.0107390936865963
879.658584441479,1.85551398141872,0.285320791539193,6.50325541089718,7.86001741909304e-11,3.27115430824019e-08,"218802",6.47838053424721e-07,0.000241671304928356,0.00126421032116425,0.000255284184052308,1.77201457088844,0.468288832422391,1,"intermediate",0.468288832422391,1,6.47838053424721e-07,10.9661716150743,TRUE,TRUE,TRUE,TRUE,"upregulated","LOC688682",1583.96008703953,1501.18682783837,1694.03639792209,1499.70582515209,612.099045447632,306.591488117472,345.974575042894,374.65801709287,317.575838358773,560.797742403063,0.102157515504428,0.083522419230737,0.0957408924241372,9,FALSE,84.2192979029805,7.48529896867338,6.18853354550924,3.59297609076402,"RT4_ZT10_leading_edge_dataset",0.017917484790559,1.7467229555136,1.77201457088844,10.9661716150743,6.47838053424721e-07,0.000255284184052308,0.000241671304928356
2723.22864685763,-1.672468906318,0.33224198501399,-5.03388789423341,4.80630813132777e-07,5.96572456651649e-05,"568576",0.000117156415537112,0.0133245744945344,0.0378310698283722,0.0143274216449092,-1.53666513354173,1,0.991995264805746,"intermediate",1,0.991995264805746,0.000117156415537112,6.04099010320368,TRUE,TRUE,TRUE,TRUE,"downregulated","-",480.342925803409,1069.50084293914,1216.45458565442,1974.81924083388,1763.54765962986,5220.92364682686,5098.12990823085,2990.75965727954,2929.94247024272,4487.86553113562,0.167381520037638,0.0746670444304077,0.132107001014039,8,FALSE,359.757569611881,4.2243368015947,3.931233924258,1.8438319579724,"RT4_ZT10_leading_edge_dataset",0.017917484790559,1.7467229555136,-1.53666513354173,6.04099010320368,0.000117156415537112,0.0143274216449092,0.0133245744945344
1708.78606435354,-1.52223003229106,0.398819959537211,-3.81683513046199,0.000135174429617163,0.00491307639524645,"450048",0.00349250984648997,0.118720300815617,0.303086953861836,0.125636015285959,-1.29109551596959,1,0.929789298802484,"intermediate",1,0.929789298802484,0.00349250984648997,3.17204397738145,TRUE,TRUE,TRUE,TRUE,"downregulated","-",326.633189546318,758.64902505342,747.582472090726,1198.1120917193,1383.49435887036,3943.88141532929,3953.99514334736,2090.53969954251,1351.22411993997,1333.74912809617,0.268280424701137,0.0771754700219341,0.19031625125004,10,FALSE,325.209757956075,2.30864648280676,2.45686236079854,0.900885846284699,"RT4_ZT10_leading_edge_dataset",0.017917484790559,1.7467229555136,-1.29109551596959,3.17204397738145,0.00349250984648997,0.125636015285959,0.118720300815617
215.56399257213,1.61259544719518,0.542101143886342,2.97471323457175,0.0029326255589219,0.0462690164405049,"53349",0.0228285337104834,0.341959976332495,0.728272405182533,0.358517219648574,1.16200495688493,1,0.898556165903684,"intermediate",1,0.898556165903684,0.0228285337104834,1.90745668060744,TRUE,TRUE,TRUE,TRUE,"upregulated","Ypel3",99.3489758734855,253.988680467603,197.419837289978,223.096734320145,850.416296748964,127.957604544895,34.7026169495912,49.4340439219759,167.948760670505,151.32637493416,0.500725044198575,0.123820571349851,0.345452942177253,11,FALSE,74.467215461518,1.33470973237824,1.64152198259196,0.44548998025069,"RT4_ZT10_leading_edge_dataset",0.017917484790559,1.7467229555136,1.16200495688493,1.90745668060744,0.0228285337104834,0.358517219648574,0.341959976332495
951.698404028393,-1.24752524875812,0.336407543713255,-3.70837477360936,0.000208593774343624,0.0067227333432198,"178330",0.00454398504189402,0.13884854265687,0.340337041335789,0.145373434792908,-1.06012856483881,1,0.805291848251256,"intermediate",1,0.805291848251256,0.00454398504189402,2.48341806458971,TRUE,TRUE,TRUE,TRUE,"downregulated","Ppp2r2a",477.531162335291,608.435570373886,383.226742974664,402.297120452299,949.506101237413,1353.05665003909,867.56542373978,810.458141141867,1273.35696726547,2391.55016072417,0.165933591084551,0.0825322608158157,0.134700670502313,7,FALSE,128.194413138606,2.17245411466598,2.34256310692591,0.837514948201329,"RT4_ZT10_leading_edge_dataset",0.017917484790559,1.7467229555136,-1.06012856483881,2.48341806458971,0.00454398504189402,0.145373434792908,0.13884854265687
