"rank","feature_id","mu","empirical_variance.x","NB2","NB2_NB1","alpha_mu","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d2_spline"
64,"111191",0,0,0,0,0,0,0,0,0.443858187365037,-5.49430819700517e-08
65,"112064",0,0,0,0,0,0,0,0,0.451339316890398,-5.56461763850597e-08
66,"113742",0,0,0,0,0,0,0,0,0.458820390769583,-5.63492708000678e-08
67,"117295",0,0,0,0,0,0,0,0,0.466301408299497,-5.70523652150758e-08
68,"117645",0,0,0,0,0,0,0,0,0.473782368777045,-5.77554596300839e-08
69,"117795",0,0,0,0,0,0,0,0,0.481263271499135,-5.8458554045092e-08
70,"118444",0,0,0,0,0,0,0,0,0.48874411576267,-5.91616484601e-08
71,"118508",0,0,0,0,0,0,0,0,0.496224900864556,-5.98647428751081e-08
72,"119572",0,0,0,0,0,0,0,0,0.5037056261017,-6.05678372901161e-08
73,"119928",0,0,0,0,0,0,0,0,0.511186290771007,-6.12709317051242e-08
74,"120511",0,0,0,0,0,0,0,0,0.518666894169381,-6.19740261201323e-08
75,"122774",0,0,0,0,0,0,0,0,0.52614743559373,-6.26771205351403e-08
76,"127566",0,0,0,0,0,0,0,0,0.533627914340958,-6.33802149501484e-08
77,"129543",0,0,0,0,0,0,0,0,0.541108329707971,-6.40833093651565e-08
78,"130155",0,0,0,0,0,0,0,0,0.548588680991675,-6.47864037801645e-08
79,"132691",0,0,0,0,0,0,0,0,0.556068967488975,-6.54894981951726e-08
80,"134528",0,0,0,0,0,0,0,0,0.563549188496777,-6.61925926101806e-08
81,"136110",0,0,0,0,0,0,0,0,0.571029343311986,-6.68956870251887e-08
82,"136675",0,0,0,0,0,0,0,0,0.578509431231509,-6.75987814401968e-08
83,"137407",0,0,0,0,0,0,0,0,0.585989451552249,-6.83018758552049e-08
84,"137699",0,0,0,0,0,0,0,0,0.593469403571114,-6.90049702702129e-08
85,"139527",0,0,0,0,0,0,0,0,0.600949286585009,-6.9708064685221e-08
86,"139752",0,0,0,0,0,0,0,0,0.608429099890839,-7.0411159100229e-08
87,"141610",0,0,0,0,0,0,0,0,0.61590884278551,-7.11142535152371e-08
88,"143083",0,0,0,0,0,0,0,0,0.623388514565927,-7.18173479302452e-08
89,"145071",0,0,0,0,0,0,0,0,0.630868114528996,-7.25204423452532e-08
90,"145259",0,0,0,0,0,0,0,0,0.638347641971624,-7.32235367602613e-08
91,"146643",0,0,0,0,0,0,0,0,0.645827096190714,-7.39266311752693e-08
92,"146713",0,0,0,0,0,0,0,0,0.653306476483173,-7.46297255902774e-08
93,"146908",0,0,0,0,0,0,0,0,0.660785782145907,-7.53328200052855e-08
94,"147641",0,0,0,0,0,0,0,0,0.66826501247582,-7.60359144202935e-08
95,"148937",0,0,0,0,0,0,0,0,0.675744166769819,-7.67390088353016e-08
96,"148950",0,0,0,0,0,0,0,0,0.68322324432481,-7.74421032503097e-08
97,"152961",0,0,0,0,0,0,0,0,0.690702244437697,-7.81451976653177e-08
98,"153246",0,0,0,0,0,0,0,0,0.698181166405386,-7.88482920803258e-08
99,"154567",0,0,0,0,0,0,0,0,0.705660009524783,-7.95513864953338e-08
100,"154624",0,0,0,0,0,0,0,0,0.713138773092794,-8.02544809103419e-08
101,"157801",0,0,0,0,0,0,0,0,0.720617456406324,-8.095757532535e-08
102,"160378",0,0,0,0,0,0,0,0,0.728096058762279,-8.16606697403581e-08
103,"162005",0,0,0,0,0,0,0,0,0.735574579457563,-8.23637641553661e-08
104,"164178",0,0,0,0,0,0,0,0,0.743053017789084,-8.30668585703742e-08
105,"164319",0,0,0,0,0,0,0,0,0.750531373053746,-8.37699529853822e-08
106,"164710",0,0,0,0,0,0,0,0,0.758009644548455,-8.44730474003903e-08
107,"165513",0,0,0,0,0,0,0,0,0.765487831570117,-8.51761418153983e-08
108,"167271",0,0,0,0,0,0,0,0,0.772965933415637,-8.58792362304064e-08
109,"167876",0,0,0,0,0,0,0,0,0.78044394938192,-8.65823306454145e-08
110,"167948",0,0,0,0,0,0,0,0,0.787921878765874,-8.72854250604226e-08
111,"172218",0,0,0,0,0,0,0,0,0.795399720864401,-8.79885194754306e-08
112,"172670",0,0,0,0,0,0,0,0,0.80287747497441,-8.86916138904387e-08
113,"172678",0,0,0,0,0,0,0,0,0.810355140392804,-8.93947083054467e-08
114,"173032",0,0,0,0,0,0,0,0,0.817832716416491,-9.00978027204548e-08
115,"173973",0,0,0,0,0,0,0,0,0.825310202342374,-9.08008971354629e-08
116,"175299",0,0,0,0,0,0,0,0,0.832787597467361,-9.15039915504709e-08
117,"176216",0,0,0,0,0,0,0,0,0.840264901088356,-9.2207085965479e-08
118,"177375",0,0,0,0,0,0,0,0,0.847742112502265,-9.2910180380487e-08
119,"179352",0,0,0,0,0,0,0,0,0.855219231005993,-9.36132747954951e-08
120,"181282",0,0,0,0,0,0,0,0,0.862696255896447,-9.43163692105032e-08
121,"182163",0,0,0,0,0,0,0,0,0.870173186470531,-9.50194636255112e-08
122,"188598",0,0,0,0,0,0,0,0,0.877650022025152,-9.57225580405193e-08
123,"191050",0,0,0,0,0,0,0,0,0.885126761857215,-9.64256524555274e-08
124,"192832",0,0,0,0,0,0,0,0,0.892603405263626,-9.71287468705354e-08
125,"193785",0,0,0,0,0,0,0,0,0.900079951541289,-9.78318412855435e-08
126,"198939",0,0,0,0,0,0,0,0,0.907556399987111,-9.85349357005515e-08
127,"200239",0,0,0,0,0,0,0,0,0.915032749897998,-9.92380301155596e-08
128,"204325",0,0,0,0,0,0,0,0,0.922509000570854,-9.99411245305677e-08
129,"205128",0,0,0,0,0,0,0,0,0.929985151302586,-1.00644218945576e-07
130,"206511",0,0,0,0,0,0,0,0,0.937461201390099,-1.01347313360584e-07
131,"209591",0,0,0,0,0,0,0,0,0.944937150130299,-1.02050407775592e-07
132,"213626",0,0,0,0,0,0,0,0,0.952412996820091,-1.027535021906e-07
133,"217452",0,0,0,0,0,0,0,0,0.95988874075638,-1.03456596605608e-07
134,"219016",0,0,0,0,0,0,0,0,0.967364381236073,-1.04159691020616e-07
135,"219795",0,0,0,0,0,0,0,0,0.974839917556075,-1.04862785435624e-07
136,"221755",0,0,0,0,0,0,0,0,0.982315349013292,-1.05565879850632e-07
137,"224097",0,0,0,0,0,0,0,0,0.989790674904629,-1.0626897426564e-07
138,"226263",0,0,0,0,0,0,0,0,0.997265894526991,-1.06972068680648e-07
