"crossing_rank","crossing_type"
2030.94392023988,"sign_change"
2619.12169580546,"sign_change"
2626.82382576785,"sign_change"
3049.98089154808,"sign_change"
4080.39764582722,"sign_change"
5033.84362933533,"sign_change"
5892.57025843753,"sign_change"
6252.17639166308,"sign_change"
6798.60228720225,"sign_change"
7163.32221697896,"sign_change"
7343.70341237984,"sign_change"
7687.25312237016,"sign_change"
8160.10197521128,"sign_change"
8328.62872174226,"sign_change"
8945.61952860445,"sign_change"
10202.0425572551,"sign_change"
10696.7335041459,"sign_change"
11515.497342629,"sign_change"
12832.6750748577,"sign_change"
14160.1577489273,"sign_change"
14974.7765559261,"sign_change"
15520.9069603647,"sign_change"
16084.3642058453,"sign_change"
16511.7771857998,"sign_change"
16915.6951100088,"sign_change"
17227.5040973578,"sign_change"
17310.5478306942,"sign_change"
17709.0558158209,"sign_change"
18306.1334460708,"sign_change"
19052.6758179701,"sign_change"
19680.821713555,"sign_change"
20023.7597123218,"sign_change"
20619.012987807,"sign_change"
21363.7545862758,"sign_change"
21972.2051917318,"sign_change"
22456.3063058529,"sign_change"
22731.1138163104,"sign_change"
22912.4073679546,"sign_change"
23211.0657484413,"sign_change"
23680.5510335523,"sign_change"
23784.3681865326,"sign_change"
24018.8999495151,"sign_change"
24737.5197524978,"sign_change"
25340.3011505767,"sign_change"
25807.3687409761,"sign_change"
25957.2062766584,"sign_change"
26113.5353070424,"sign_change"
26590.4146768728,"sign_change"
27222.3128377286,"sign_change"
28069.816834808,"sign_change"
29313.6699809883,"sign_change"
31736.1162280678,"sign_change"
