"comparison_name","track_key","track_label","dataset_key","dataset_label","dataset_name","n_features","n_weak_cnh","n_strong_cnh","n_standard","n_hbfss","n_overlap","hc_p_threshold","hbfss_threshold"
"RT2_ZT8","normalized_evs","NormEVS","raw_dataset","Original dataset","RT2_ZT8_NormEVS_raw_dataset",31534,59,0,0,8,0,0.0136775581992137,1.86399142858533
"RT2_ZT8","normalized_evs","NormEVS","leading_edge_dataset","Leading-edge dataset","RT2_ZT8_NormEVS_leading_edge_dataset",7107,67,0,0,3,0,0.0220541331368955,1.65651000799492
"RT2_ZT8","normalized_evs","NormEVS","remainder_dataset","Remainder dataset","RT2_ZT8_NormEVS_remainder_dataset",24427,49,0,0,21,2,0.014565731311307,1.83666770557858
