"bin","percentile","lo_rank","hi_rank","n_bin","total_mean","total_variance","median_abs_loading","iod_agg","cv2_agg","ratio_iod_cv2","ratio_cv2_iod","gap"
1,0.0100135403218188,1,318,318,6154.6,284318,0.0126199561221251,46.1960159880415,0.00750593312124938,6154.6,0.000162480096188217,46.1885100549202
2,0.0199955915231288,319,635,317,4819.2,101770.7,0.0114946406536086,21.1177581341301,0.0043820049249108,4819.2,0.000207503320053121,21.1133761292052
3,0.0300091318449476,636,953,318,4692.4,87951.7,0.0107826613881603,18.7434361946978,0.00399442421675429,4692.4,0.000213110561759441,18.7394417704811
4,0.0399911830462575,954,1270,317,4839.4,117127.3,0.010405538036673,24.2028557259164,0.00500121001072787,4839.4,0.00020663718642807,24.1978545159057
5,0.0500047233680763,1271,1588,318,4540.8,85885,0.0100087341040621,18.9140680056378,0.00416536029017745,4540.8,0.000220225510923185,18.9099026453476
6,0.0599867745693863,1589,1905,317,21308.4,360692688.4,0.00967499557440578,16927.2534962738,0.794393454988351,21308.4,4.69298492613242e-05,16926.4591028188
7,0.0700003148912051,1906,2223,318,4834.2,232007,0.00935941621241779,47.992842662695,0.00992777350186069,4834.2,0.000206859459683091,47.9829148891931
8,0.0800138552130239,2224,2541,318,5830.6,252684.2,0.00910826339814293,43.3375981888656,0.00743278533750654,5830.6,0.000171508935615546,43.3301654035281
9,0.0899959064143338,2542,2858,317,5840.4,196623.6,0.00888253665571862,33.6661187589891,0.00576435154424168,5840.4,0.000171221149236354,33.6603544074449
10,0.100009446736153,2859,3176,318,6474.2,818623.7,0.00867173817886928,126.443993080226,0.0195304428470276,6474.2,0.000154459238207037,126.424462637379
11,0.109991497937463,3177,3493,317,6950,556920.9,0.00847964949481123,80.1325035971223,0.0115298566326795,6950,0.000143884892086331,80.1209737404896
12,0.120005038259281,3494,3811,318,11818.8,8630880,0.00828693892446709,730.267032186009,0.0617885937816029,11818.8,8.46109588113852e-05,730.205243592227
13,0.129987089460591,3812,4128,317,8006,409042.2,0.00811778405773383,51.0919560329753,0.00638170822295469,8006,0.000124906320259805,51.0855743247523
14,0.14000062978241,4129,4446,318,20981.4,37062618.9,0.00795286974563164,1766.45118533558,0.0841912925417552,20981.4,4.76612618795695e-05,1766.36699404304
15,0.150014170104229,4447,4764,318,20243.6,14557394.7,0.00780586676113972,719.110963464996,0.0355228795009285,20243.6,4.93983283605683e-05,719.075440585495
16,0.159996221305539,4765,5081,317,20011.2,33073612.1,0.0076681896017347,1652.75506216519,0.0825915018672137,20011.2,4.99720156712241e-05,1652.67247066332
17,0.170009761627358,5082,5399,318,18963,8845296.1,0.0075260752943023,466.450250487792,0.0245979143852656,18963,5.2734272003375e-05,466.425652573407
18,0.179991812828668,5400,5716,317,17883.6,9232585.8,0.00739741249297902,516.259914111253,0.0288677846804476,17883.6,5.5917153145899e-05,516.231046326572
19,0.190005353150487,5717,6034,318,16385,3628747.3,0.00727548160091313,221.467641135185,0.0135164871001028,16385,6.10314311870613e-05,221.454124648085
20,0.199987404351796,6035,6351,317,15067.8,1840605,0.00715948969565267,122.154860032652,0.008107013633885,15067.8,6.6366689231341e-05,122.146753019019
21,0.210000944673615,6352,6669,318,24169.6,12749041.8,0.00704391747056131,527.482531775453,0.0218242143757221,24169.6,4.13742883622402e-05,527.460707561078
22,0.220014484995434,6670,6987,318,37178,64984007.1,0.00694078952601501,1747.91562483189,0.047014783604064,37178,2.68976276292431e-05,1747.86861004829
