"index","rank","d1_here","d2_here","d1_left","d1_right","var_fit_here"
27,27,0.00307634930373398,4.68113372611825e-09,0.00307634754327508,0.00307635690554254,-0.668187153312513
688,688,0.0043861800220991,-4.97713670960445e-09,0.00438616698283487,0.00438615702856146,1.7140238105274
2457,2457,-0.000214153752955512,1.780052230805e-09,-0.000214154199347101,-0.000214150639242639,4.8704276011353
3153,3153,2.65395531720906e-05,-5.56768084800402e-10,2.65390700307404e-05,2.65379564945708e-05,4.80094732096627
3797,3797,-0.000189624255145331,2.56179405049588e-09,-0.000189624200133605,-0.000189619076545504,4.75748730402882
3954,3954,-0.000166006127341645,-1.47558111279778e-09,-0.000166006163526701,-0.000166009114688927,4.72974726427259
4546,4546,-0.000282447900417634,1.9287904056681e-09,-0.000282448826027847,-0.000282444968447035,4.60012072458898
5702,5702,0.000299899888166638,-1.26136390465419e-09,0.000299899915080063,0.000299897392352254,4.65653664818142
7035,7035,-0.00088031040613048,2.01605422979101e-09,-0.000880306471428377,-0.000880302439319917,4.50827954429681
7824,7824,0.000894294961200796,-1.21790974184238e-08,0.000894293893818084,0.000894269535623247,4.39923004428181
8563,8563,-0.000311700568423263,1.60261097483497e-09,-0.00031169691890197,-0.00031169371368002,4.5734069522502
9122,9122,0.00038818892037398,-5.28768173973827e-09,0.000388191363652731,0.000388180788289251,4.62096936416089
9620,9620,0.000145898192497109,1.83668003578905e-09,0.000145898049225449,0.000145901722585521,4.74960308183572
9756,9756,0.000167271040422114,-1.1117820030948e-09,0.000167268577935898,0.000167266354371892,4.77073254579819
10284,10284,-0.00024744262476188,5.1119241627932e-09,-0.000247444045212984,-0.000247433821364659,4.74984517910315
10662,10662,-2.84327962797979e-05,-3.57433948781215e-09,-2.84317100684861e-05,-2.84388587474617e-05,4.69829258184745
11565,11565,-0.000602806106869377,2.5160332975037e-09,-0.000602796427974939,-0.000602791395908344,4.43667683164765
12133,12133,0.000535710944054723,-3.54645693015424e-09,0.000535712300730915,0.000535705207817055,4.4710210856054
12473,12473,0.000326746123119559,4.69578026608235e-09,0.000326746028933274,0.000326755420493806,4.62056226254314
12971,12971,0.00060819583998812,-2.1932160023722e-09,0.000608190015783264,0.000608185629351259,4.84228128406548
13487,13487,-7.08889882153226e-05,7.39314739148225e-09,-7.08909445908727e-05,-7.08761582960897e-05,4.96728785189147
14136,14136,0.000253372210461369,-3.06386856753603e-09,0.000253373359790614,0.000253367232053479,5.04809321361163
14732,14732,-0.000275756711720723,4.24233249910952e-09,-0.000275756884608578,-0.00027574839994358,5.05188812669055
15374,15374,0.000328451437054401,-9.75522982354469e-09,0.000328455720122948,0.0003284362096633,5.06072441611568
15848,15848,-2.87231535865106e-05,6.1659699123469e-10,-2.87198346730144e-05,-2.87186014790319e-05,5.13122593689311
16212,16212,9.80223583423575e-05,-4.20505942031042e-09,9.80231038040491e-05,9.80146936852085e-05,5.14434897445994
16622,16622,-0.000117441465815984,4.33365271455203e-09,-0.000117443300460298,-0.000117434633154869,5.13780437697532
17156,17156,4.45402911683476e-05,-6.89263213473802e-09,4.45427877556361e-05,4.45290024913667e-05,5.11035958987974
17949,17949,-0.000814562898477323,8.37086433524452e-09,-0.000814566893969905,-0.000814550152241235,4.79017042532556
18754,18754,0.000700676132264308,-6.01814644740549e-09,0.00070067883808869,0.000700666801795796,4.81165613335914
20052,20052,-0.000718017156668869,1.75852294772419e-09,-0.000718016935300958,-0.000718013418255062,4.74703171000675
20247,20247,-0.000662743093284475,-8.93783096778738e-09,-0.000662739703002927,-0.000662757578664863,4.61159254001137
20693,20693,-0.00111670597422854,7.53791549415818e-09,-0.00111670241127058,-0.00111668733543959,4.21830179224717
21412,21412,0.00158100692811658,-1.07724122469044e-08,0.001581003480109,0.00158098193528451,4.32708935275345
22719,22719,-0.00121209705130391,1.23108892665838e-08,-0.00121209912063947,-0.00121207449886093,4.67590453866908
23406,23406,0.00072659076239821,-1.07027574911046e-08,0.000726594619059036,0.000726573213544054,4.52046271228899
24322,24322,-0.000918153365765449,1.5455430420575e-08,-0.000918158274788136,-0.000918127363927295,4.57124550482313
24891,24891,0.000511313347666409,-1.64674198198113e-08,0.00051131955155598,0.00051128661671634,4.45841914759987
25516,25516,-0.000532972276688459,6.77462198380252e-09,-0.000532973728916902,-0.000532960179672935,4.42910105446449
26162,26162,7.88644702274893e-05,-1.43909971369499e-09,7.88644508908386e-05,7.88615726914113e-05,4.30864436495921
26520,26520,5.46865258347454e-05,4.59830244049927e-09,5.46844286489685e-05,5.46936252538495e-05,4.33164148967699
26937,26937,0.000293505957559695,-7.71555563720401e-10,0.000293502613598248,0.00029350107048712,4.40070660852467
27890,27890,-0.000321698461634913,3.40767626728455e-09,-0.000321699592849598,-0.000321692777497063,4.3316179667062
28954,28954,7.38485104311359e-05,-1.2786083660646e-09,7.38483720514957e-05,7.38458148347636e-05,4.21358794072483
29303,29303,-1.63374334099007e-05,2.2654979753166e-09,-1.63384152515469e-05,-1.63338842555963e-05,4.22375070014236
29777,29777,6.16465447052573e-05,-3.03570333201338e-10,6.16462443263474e-05,6.1645637185681e-05,4.23775043311569
29993,29993,4.46917261687287e-05,1.316136655033e-09,4.4691332395505e-05,4.46939646688151e-05,4.24935380623777
31739,31739,0.00175594485879369,-3.83485986546582e-09,0.0017559460871946,0.00175593841747487,5.60024256862101
