"index","rank","d1_here","d2_here","d1_left","d1_right","var_fit_here","gap_from_terminal","left_med_log_nb2","right_med_log_nb2","log_nb2_diff","left_med_gap","right_med_gap","gap_diff","left_med_amu","right_med_amu","amu_diff","variance_trough_score_raw","terminal_proximity_raw","passes_support_gate","nb2_score","gap_score","amu_score","trough_score","prox_score","candidate_score"
26004,26004,8.27491466612735e-05,-5.14967633070155e-10,8.27447229985705e-05,8.27436930633043e-05,4.42651542167258,2642,3.49347265777133,4.23700086262362,0.743528204852298,1.47330573810952,1.91136234160142,0.438056603491904,1.63413052502447,1.97426138493674,0.340130859912266,0.00679393452037225,-2642,TRUE,1,0.712264131234139,0.519293520499597,0.477061628041821,0,0.653483981114727
26885,26885,-6.89673104355967e-05,-2.67681861871531e-09,-6.89682529035648e-05,-6.89736065408022e-05,4.33657612918762,1761,3.22684399451738,3.94158180766969,0.714737813152313,1.30833281965018,1.8834398809818,0.575107061331623,1.39812881876689,1.98184215828138,0.583713339514483,0.00803345997200466,-1761,TRUE,0.95526162609524,1,1,1,0.419723677941877,0.92855085562276
28103,28103,6.64284717699879e-05,-1.5244927176399e-09,6.6427080041928e-05,6.64240310564927e-05,4.16671778542607,543,3.46671151286536,3.56671182013973,0.100000307274371,1.45528723260684,1.55408781735094,0.0988005847440934,1.60353819030691,1.68053383411783,0.0769956438109183,0.00566315112090443,-543,TRUE,0,0,0,0,1,0.1
